date,Red_Meat_Weight,Poultry_Meat_Weight,Red_Meat_Production,Poultry_Meat_Production,Red_Meat_Count,Poultry_Meat_Count,unemployment_rate
2012-04-01,1139.84,957.45,7670.3,3537.5,46169.3,715945.0,8.986775147548633
2012-05-01,1201.04,1044.25,8326.0,3807.5,49223.1,785265.0,9.036183017136805
2012-06-01,1157.71,1141.34,8007.3,3674.4,46197.3,740474.0,9.085328308246496
2012-07-01,1087.64,1197.22,7851.8,3677.0,46033.7,755139.0,9.134390123573136
2012-08-01,1039.09,1205.36,8735.9,3865.7,52419.4,797231.0,9.183547565812155
2012-09-01,1047.72,1215.58,7851.4,3500.9,48537.6,694524.0,9.232979737658985
2012-10-01,1082.8000000000002,1179.22,9105.9,3832.4,55895.9,782921.0,9.282865741809054
2012-11-01,1060.88,1112.39,8574.6,3626.1,52162.2,706752.0,9.333384680957797
2012-12-01,1023.37,929.54,7951.2,3405.3,48667.5,672291.0,9.38471565780064
2013-01-01,1043.8300000000002,976.03,8651.0,3755.2,51750.7,769250.0,9.436857241099517
2013-02-01,1114.82,1036.52,7303.7,3441.4,44323.6,679312.0,9.489085863882357
2013-03-01,1148.07,1055.98,7949.6,3498.9,48286.5,709723.0,9.540497425243592
2013-04-01,1182.4,1036.97,8143.299999999999,3712.3,48990.4,754113.0,9.590187824277653
2013-05-01,1237.97,1145.94,8261.7,3820.9,48995.6,777518.0,9.63725296007897
2013-06-01,1166.31,1222.39,7672.0,3552.9,44321.1,710998.0,9.680788731741977
2013-07-01,1071.25,1255.79,8276.1,3799.4,48613.7,781624.0,9.719891038361105
2013-08-01,1035.49,1285.38,8363.7,3861.0,50172.4,776928.0,9.753655779030783
2013-09-01,1005.05,1298.7400000000002,7833.400000000001,3637.7,47134.6,724235.0,9.781178852845445
2013-10-01,1041.0,1228.56,8970.3,3962.7,53959.5,802524.0,9.801556158899523
2013-11-01,1032.99,1166.39,8198.2,3522.3,49460.7,685813.0,9.813883596287443
2013-12-01,1021.91,964.85,8230.5,3612.7,49850.3,716122.0,9.817257064103641
2014-01-01,1022.17,942.39,8455.0,3651.3,50477.6,737173.0,9.811038987169523
2014-02-01,1077.0,976.2,7267.2,3508.7,44199.8,694168.0,9.795657893214392
2014-03-01,1093.6,1002.84,7590.1,3561.5,45133.1,719369.0,9.771808835694525
2014-04-01,1012.33,934.89,7917.2,3712.4,46553.6,742795.0,9.740186868066207
2014-05-01,1015.92,965.15,7868.9,3718.3,45658.8,744590.0,9.701487043785713
2014-06-01,981.42,1040.14,7611.8,3720.1,43453.1,744749.0,9.656404416309323
2014-07-01,930.06,1061.15,7778.5,3861.3,44930.1,775687.0,9.605634039093317
2014-08-01,939.12,1123.73,7551.2,3743.9,43633.1,742631.0,9.549870965593973
2014-09-01,933.97,1125.31,7879.2,3835.5,46037.3,764260.0,9.489810249267572
2014-10-01,970.81,1115.5700000000002,8590.9,4066.1,50998.5,806164.0,9.426146943570393
2014-11-01,956.5,1053.38,7480.400000000001,3537.6000000000004,44772.0,674601.0,9.359576101958712
2014-12-01,930.27,884.78,8232.2,3873.6,49800.4,760058.0,9.290792777888813
2015-01-01,988.55,907.31,8133.9,3844.4,49222.4,756098.0,9.220401447518816
2015-02-01,1131.1699999999998,1006.96,7427.3,3534.3,45499.6,682856.0,9.148644277814215
2015-03-01,1224.32,1056.17,8092.9,3867.4,49724.6,774031.0,9.075672858442354
2015-04-01,1196.31,1099.1,7994.2,3894.6,48862.7,758067.0,9.001638779070571
2015-05-01,1228.95,1162.8,7577.4,3783.5,45022.0,733076.0,8.926693629366202
2015-06-01,1172.9499999999998,1182.35,7999.3,3908.0,48179.6,777798.0,8.85098899899659
2015-07-01,1147.56,1185.5,8042.0,3971.6,48153.6,792719.0,8.774676477629072
2015-08-01,1136.21,1255.96,7765.9,3908.9,47191.600000000006,770159.0,8.697907654930988
2015-09-01,1170.03,1252.7,8241.6,3982.2,49373.3,778608.0,8.620834120569679
2015-10-01,1202.12,1255.53,8584.6,3966.7,51592.6,777185.0,8.543607464212483
2015-11-01,1159.49,1226.53,8033.7,3700.1,48805.2,703890.0,8.466379275526739
2015-12-01,1122.83,1087.96,8509.5,3849.4,51893.2,750594.0,8.389301144179786
2016-01-01,1105.91,1081.9,8073.599999999999,3759.8,48904.6,729337.0,8.312503415862976
2016-02-01,1213.37,1134.84,7771.5,3776.5,47416.7,729642.0,8.236031460363703
2016-03-01,1182.68,1158.95,8483.9,4030.0,51120.5,793593.0,8.159909403493376
2016-04-01,1142.88,1174.65,7928.900000000001,3849.8,47693.3,737965.0,8.0841613710634
2016-05-01,1151.1,1217.09,7958.6,3996.2,47351.9,777186.0,8.008811488885181
2016-06-01,1129.1,1275.71,8415.3,4033.8,49711.6,788912.0,7.93388388277013
2016-07-01,1099.2,1336.9299999999998,7696.8,3825.3,45470.3,739102.0,7.859402678529649
2016-08-01,1118.07,1371.38,8824.5,4169.5,53135.5,829480.0,7.785392001975147
2016-09-01,1130.46,1317.53,8609.1,4041.2,51740.0,777785.0,7.711875978918031
2016-10-01,1205.06,1293.26,8809.199999999999,3958.1,52875.6,764423.0,7.638878735169708
2016-11-01,1173.29,1190.6,8960.9,3899.7,53696.9,745717.0,7.566424396541584
2016-12-01,1079.22,1043.9199999999998,8764.2,3868.6,52947.2,739099.0,7.494537088845067
2017-01-01,1083.85,1100.18,8542.1,4018.5,51361.2,779939.0,7.423239341330953
2017-02-01,1101.34,1132.83,7837.2,3692.8,47447.0,708349.0,7.352547297007603
2017-03-01,1112.95,1189.99,9031.2,4085.8,54408.4,804694.0,7.282475502322765
2017-04-01,1051.35,1217.54,7898.5,3786.7,47775.0,718303.0,7.213038503724193
2017-05-01,1092.72,1285.77,8513.5,4130.0,51364.3,815466.0,7.144250847659633
2017-06-01,1042.45,1332.43,8666.5,4114.9,51504.6,796506.0,7.076127080576837
2017-07-01,1012.82,1393.16,7942.3,3922.9,47025.1,755426.0,7.008681748923555
2017-08-01,1029.79,1412.58,9219.5,4281.8,55007.7,844155.0,6.941929399147536
2017-09-01,1099.96,1396.39,8770.1,4016.7,52455.0,757910.0,6.875884577696533
2017-10-01,1159.67,1399.2,9227.5,4225.7,55733.7,817366.0,6.810561831018294
2017-11-01,1149.34,1343.4,9071.2,4036.9,53839.2,761395.0,6.745975705560569
2017-12-01,1032.29,1186.48,8768.1,3883.2,52777.5,732873.0,6.682140747771109
2018-01-01,1021.19,1200.34,9133.7,4143.0,54460.5,802308.0,6.619064528729489
2018-02-01,1129.15,1254.72,8079.4,3805.0,48724.100000000006,721311.0,6.556726718042592
2018-03-01,1118.59,1327.71,8999.6,3992.8,54350.9,772297.0,6.495100009949124
2018-04-01,1124.37,1335.75,8516.4,3980.9,51115.0,760728.0,6.434157098687792
2018-05-01,1159.9,1363.73,8964.1,4266.5,53163.6,825865.0,6.373870678497305
2018-06-01,1142.1799999999998,1411.2299999999998,8618.2,4052.0,50527.9,775615.0,6.314213443616367
2018-07-01,1064.1,1444.0,8432.0,4163.2,50011.6,806092.0,6.255158088283689
2018-08-01,1096.51,1468.8,9488.2,4431.6,57165.9,855993.0,6.196677306737975
2018-09-01,1136.4,1530.76,8333.300000000001,3977.0,49589.8,746167.0,6.138743793217934
2018-10-01,1150.78,1523.5,9752.6,4388.1,59025.4,855543.0,6.081330241962272
2018-11-01,1135.65,1388.21,9327.1,4068.1,56018.4,759961.0,6.024409347209698
2018-12-01,1069.34,1206.69,8697.9,3762.9,52825.2,715890.0,5.967953803198918
2019-01-01,1045.6,1182.31,9361.5,4205.1,56100.9,817943.0,5.912013971883061
2019-02-01,1119.93,1244.02,8306.0,3812.8,50777.0,724028.0,5.856950886072945
2019-03-01,1134.48,1325.41,8827.0,3909.7,54108.4,758359.0,5.8032032462938075
2019-04-01,1095.92,1349.51,9063.4,4110.2,54416.9,786527.0,5.7512097530708886
2019-05-01,1098.09,1361.49,9094.8,4357.6,53868.0,832376.0,5.701409106929425
2019-06-01,1077.83,1340.04,8705.9,4064.0,51751.9,768189.0,5.654240008394658
2019-07-01,1069.39,1386.68,9141.0,4390.8,54681.4,842995.0,5.6101411579918254
2019-08-01,1113.92,1413.84,9258.6,4386.7,55802.6,835862.0,5.569551256246165
2019-09-01,1128.69,1457.6,8844.3,4228.9,53838.3,794776.0,5.532909003682916
2019-10-01,1115.11,1448.3,10081.3,4607.400000000001,61760.0,881541.0,5.50065310082732
2019-11-01,1121.66,1351.22,9449.9,4020.9,57015.2,740700.0,5.473222248204611
2019-12-01,1092.5800000000002,1207.29,9416.2,4158.3,57226.0,783613.0,5.451055146340031
2020-01-01,1101.5,1215.54,9877.0,4450.4,59447.5,849606.0,5.43443350568904
2020-02-01,1157.28,1260.5,8869.2,3975.0,53712.8,743216.0,5.423011076427992
2020-03-01,1185.79,1266.52,9947.1,4355.9,60034.2,840637.0,5.416284618663459
2020-04-01,1161.99,1313.41,7680.7,4153.400000000001,47136.5,779545.0,5.413750892502017
2020-05-01,1136.89,1368.36,7473.6,4045.1,44041.2,757973.0,5.41490665805024
2020-06-01,936.23,1293.71,9532.2,4254.0,56758.4,802481.0,5.419248675414704
2020-07-01,939.46,1355.45,9571.6,4296.2,57132.3,816160.0,5.426273704701982
2020-08-01,950.86,1414.62,9331.6,4287.1,56172.0,800504.0,5.435478506018649
2020-09-01,960.7,1427.5300000000002,9360.2,4401.8,55854.0,818877.0,5.44635983947128
2020-10-01,968.57,1398.74,10120.8,4371.7,60349.3,819085.0,5.45841446516645
2020-11-01,981.7,1292.22,9330.5,4040.9,55424.7,746605.0,5.471139143210732
2020-12-01,966.17,1078.95,9662.7,4220.8,57645.4,794974.0,5.484030633710702
2021-01-01,986.13,1088.75,9555.0,4124.1,56429.6,770950.0,5.4966481816647015
2021-02-01,1010.52,1117.62,8728.8,3757.7,52285.5,701189.0,5.508800971638135
2021-03-01,1031.67,1085.27,10041.8,4476.4,59614.9,861837.0,5.520360673088179
2021-04-01,967.93,1082.62,9366.7,4263.4,55355.9,789620.0,5.531198955472006
2021-05-01,937.56,1072.48,8544.7,4117.1,49907.5,765879.0,5.5411874882467895
2021-06-01,907.49,1112.16,9288.2,4424.9,54944.9,834481.0,5.550197940869703
2021-07-01,870.75,1136.66,8719.8,4285.9,51105.3,797416.0,5.55810198279792
2021-08-01,868.9200000000001,1160.56,9127.9,4407.6,54487.2,827917.0,5.564771283488615
2021-09-01,897.2099999999999,1138.31,9107.9,4448.5,54704.3,822479.0,5.570077512398961
2021-10-01,940.34,1146.9,9451.0,4342.6,56265.5,801272.0,5.573892338986131
2021-11-01,947.81,1054.27,9561.6,4191.400000000001,56565.1,777446.0,5.5760874327073
2021-12-01,920.37,875.97,9519.8,4198.1,56108.2,790761.0,5.576534463019639
2022-01-01,929.28,898.93,9074.1,4160.5,52888.5,781966.0,5.575105099380324
2022-02-01,986.4,1008.11,8816.9,3970.1,50912.8,739068.0,5.571671011246528
2022-03-01,1035.12,1073.0,9906.0,4467.4,57602.6,853670.0,5.566103868075426
2022-04-01,1048.53,1084.54,9041.5,4116.2,52153.3,763486.0,5.558275339324188
2022-05-01,1092.8,1090.25,8921.6,4246.6,51852.1,806859.0,5.548057094449991
2022-06-01,1097.22,1117.16,9402.6,4400.1,54671.7,838308.0,5.5353208029100065
2022-07-01,1081.41,1178.73,8420.7,4172.8,48837.5,783311.0,5.519938134161409
2022-08-01,1066.8000000000002,1229.3,9599.0,4660.2,56756.2,891608.0,5.501780757661373
2022-09-01,1088.52,1260.28,9276.7,4500.4,54687.0,834047.0,5.48072034286707
2022-10-01,1097.9199999999998,1253.77,9460.5,4537.3,55729.0,838744.0,5.456628559235674
2022-11-01,1051.18,1161.03,9530.7,4453.6,55808.1,820649.0,5.429377076224361
2022-12-01,1006.71,1042.79,8899.5,4325.8,52467.6,802229.0,5.398837563290302
