,Date,Year,Month,Unit,Type_Of_Meat,Production
68,2012-11-01,2012,11,Million Pounds,Poultry,3626.1
69,2012-11-01,2012,11,Million Pounds,Red Meat,8574.6
70,2012-12-01,2012,12,Million Pounds,Poultry,3405.2999999999997
71,2012-12-01,2012,12,Million Pounds,Red Meat,7951.2
72,2013-01-01,2013,1,Million Pounds,Poultry,3755.2
73,2013-01-01,2013,1,Million Pounds,Red Meat,8651.0
74,2013-02-01,2013,2,Million Pounds,Poultry,3441.4
75,2013-02-01,2013,2,Million Pounds,Red Meat,7303.7
76,2013-03-01,2013,3,Million Pounds,Poultry,3498.8999999999996
77,2013-03-01,2013,3,Million Pounds,Red Meat,7949.6
78,2013-04-01,2013,4,Million Pounds,Poultry,3712.2999999999997
79,2013-04-01,2013,4,Million Pounds,Red Meat,8143.299999999999
80,2013-05-01,2013,5,Million Pounds,Poultry,3820.9
81,2013-05-01,2013,5,Million Pounds,Red Meat,8261.7
82,2013-06-01,2013,6,Million Pounds,Poultry,3552.9
83,2013-06-01,2013,6,Million Pounds,Red Meat,7672.0
84,2013-07-01,2013,7,Million Pounds,Poultry,3799.4
85,2013-07-01,2013,7,Million Pounds,Red Meat,8276.1
86,2013-08-01,2013,8,Million Pounds,Poultry,3861.0
87,2013-08-01,2013,8,Million Pounds,Red Meat,8363.7
88,2013-09-01,2013,9,Million Pounds,Poultry,3637.7
89,2013-09-01,2013,9,Million Pounds,Red Meat,7833.400000000001
90,2013-10-01,2013,10,Million Pounds,Poultry,3962.7000000000003
91,2013-10-01,2013,10,Million Pounds,Red Meat,8970.3
92,2013-11-01,2013,11,Million Pounds,Poultry,3522.3
93,2013-11-01,2013,11,Million Pounds,Red Meat,8198.2
94,2013-12-01,2013,12,Million Pounds,Poultry,3612.7000000000003
95,2013-12-01,2013,12,Million Pounds,Red Meat,8230.5
96,2014-01-01,2014,1,Million Pounds,Poultry,3651.2999999999997
97,2014-01-01,2014,1,Million Pounds,Red Meat,8455.0
98,2014-02-01,2014,2,Million Pounds,Poultry,3508.7
99,2014-02-01,2014,2,Million Pounds,Red Meat,7267.2
100,2014-03-01,2014,3,Million Pounds,Poultry,3561.5
101,2014-03-01,2014,3,Million Pounds,Red Meat,7590.1
102,2014-04-01,2014,4,Million Pounds,Poultry,3712.4
103,2014-04-01,2014,4,Million Pounds,Red Meat,7917.2
104,2014-05-01,2014,5,Million Pounds,Poultry,3718.2999999999997
105,2014-05-01,2014,5,Million Pounds,Red Meat,7868.9
106,2014-06-01,2014,6,Million Pounds,Poultry,3720.1
107,2014-06-01,2014,6,Million Pounds,Red Meat,7611.8
108,2014-07-01,2014,7,Million Pounds,Poultry,3861.2999999999997
109,2014-07-01,2014,7,Million Pounds,Red Meat,7778.5
110,2014-08-01,2014,8,Million Pounds,Poultry,3743.8999999999996
111,2014-08-01,2014,8,Million Pounds,Red Meat,7551.2
112,2014-09-01,2014,9,Million Pounds,Poultry,3835.5
113,2014-09-01,2014,9,Million Pounds,Red Meat,7879.2
114,2014-10-01,2014,10,Million Pounds,Poultry,4066.1
115,2014-10-01,2014,10,Million Pounds,Red Meat,8590.9
116,2014-11-01,2014,11,Million Pounds,Poultry,3537.6000000000004
117,2014-11-01,2014,11,Million Pounds,Red Meat,7480.400000000001
118,2014-12-01,2014,12,Million Pounds,Poultry,3873.6
119,2014-12-01,2014,12,Million Pounds,Red Meat,8232.2
120,2015-01-01,2015,1,Million Pounds,Poultry,3844.3999999999996
121,2015-01-01,2015,1,Million Pounds,Red Meat,8133.9
122,2015-02-01,2015,2,Million Pounds,Poultry,3534.3
123,2015-02-01,2015,2,Million Pounds,Red Meat,7427.3
124,2015-03-01,2015,3,Million Pounds,Poultry,3867.4
125,2015-03-01,2015,3,Million Pounds,Red Meat,8092.9
126,2015-04-01,2015,4,Million Pounds,Poultry,3894.6000000000004
127,2015-04-01,2015,4,Million Pounds,Red Meat,7994.2
128,2015-05-01,2015,5,Million Pounds,Poultry,3783.5
129,2015-05-01,2015,5,Million Pounds,Red Meat,7577.4
130,2015-06-01,2015,6,Million Pounds,Poultry,3908.0
131,2015-06-01,2015,6,Million Pounds,Red Meat,7999.3
132,2015-07-01,2015,7,Million Pounds,Poultry,3971.6
133,2015-07-01,2015,7,Million Pounds,Red Meat,8042.0
134,2015-08-01,2015,8,Million Pounds,Poultry,3908.9
135,2015-08-01,2015,8,Million Pounds,Red Meat,7765.9
136,2015-09-01,2015,9,Million Pounds,Poultry,3982.2000000000003
137,2015-09-01,2015,9,Million Pounds,Red Meat,8241.6
138,2015-10-01,2015,10,Million Pounds,Poultry,3966.7000000000003
139,2015-10-01,2015,10,Million Pounds,Red Meat,8584.6
140,2015-11-01,2015,11,Million Pounds,Poultry,3700.1
141,2015-11-01,2015,11,Million Pounds,Red Meat,8033.7
142,2015-12-01,2015,12,Million Pounds,Poultry,3849.4
143,2015-12-01,2015,12,Million Pounds,Red Meat,8509.5
144,2016-01-01,2016,1,Million Pounds,Poultry,3759.8
145,2016-01-01,2016,1,Million Pounds,Red Meat,8073.599999999999
146,2016-02-01,2016,2,Million Pounds,Poultry,3776.5
147,2016-02-01,2016,2,Million Pounds,Red Meat,7771.5
148,2016-03-01,2016,3,Million Pounds,Poultry,4030.0
149,2016-03-01,2016,3,Million Pounds,Red Meat,8483.9
150,2016-04-01,2016,4,Million Pounds,Poultry,3849.7999999999997
151,2016-04-01,2016,4,Million Pounds,Red Meat,7928.900000000001
152,2016-05-01,2016,5,Million Pounds,Poultry,3996.2000000000003
153,2016-05-01,2016,5,Million Pounds,Red Meat,7958.6
154,2016-06-01,2016,6,Million Pounds,Poultry,4033.8
155,2016-06-01,2016,6,Million Pounds,Red Meat,8415.3
156,2016-07-01,2016,7,Million Pounds,Poultry,3825.2999999999997
157,2016-07-01,2016,7,Million Pounds,Red Meat,7696.8
158,2016-08-01,2016,8,Million Pounds,Poultry,4169.5
159,2016-08-01,2016,8,Million Pounds,Red Meat,8824.5
160,2016-09-01,2016,9,Million Pounds,Poultry,4041.2000000000003
161,2016-09-01,2016,9,Million Pounds,Red Meat,8609.1
162,2016-10-01,2016,10,Million Pounds,Poultry,3958.1
163,2016-10-01,2016,10,Million Pounds,Red Meat,8809.199999999999
164,2016-11-01,2016,11,Million Pounds,Poultry,3899.7
165,2016-11-01,2016,11,Million Pounds,Red Meat,8960.9
166,2016-12-01,2016,12,Million Pounds,Poultry,3868.6
167,2016-12-01,2016,12,Million Pounds,Red Meat,8764.2
168,2017-01-01,2017,1,Million Pounds,Poultry,4018.5
169,2017-01-01,2017,1,Million Pounds,Red Meat,8542.1
170,2017-02-01,2017,2,Million Pounds,Poultry,3692.8
171,2017-02-01,2017,2,Million Pounds,Red Meat,7837.2
172,2017-03-01,2017,3,Million Pounds,Poultry,4085.7999999999997
173,2017-03-01,2017,3,Million Pounds,Red Meat,9031.199999999999
174,2017-04-01,2017,4,Million Pounds,Poultry,3786.7000000000003
175,2017-04-01,2017,4,Million Pounds,Red Meat,7898.5
176,2017-05-01,2017,5,Million Pounds,Poultry,4130.0
177,2017-05-01,2017,5,Million Pounds,Red Meat,8513.5
178,2017-06-01,2017,6,Million Pounds,Poultry,4114.9
179,2017-06-01,2017,6,Million Pounds,Red Meat,8666.5
180,2017-07-01,2017,7,Million Pounds,Poultry,3922.9
181,2017-07-01,2017,7,Million Pounds,Red Meat,7942.3
182,2017-08-01,2017,8,Million Pounds,Poultry,4281.8
183,2017-08-01,2017,8,Million Pounds,Red Meat,9219.5
184,2017-09-01,2017,9,Million Pounds,Poultry,4016.7000000000003
185,2017-09-01,2017,9,Million Pounds,Red Meat,8770.1
186,2017-10-01,2017,10,Million Pounds,Poultry,4225.7
187,2017-10-01,2017,10,Million Pounds,Red Meat,9227.5
188,2017-11-01,2017,11,Million Pounds,Poultry,4036.9
189,2017-11-01,2017,11,Million Pounds,Red Meat,9071.2
190,2017-12-01,2017,12,Million Pounds,Poultry,3883.2000000000003
191,2017-12-01,2017,12,Million Pounds,Red Meat,8768.1
192,2018-01-01,2018,1,Million Pounds,Poultry,4143.0
193,2018-01-01,2018,1,Million Pounds,Red Meat,9133.699999999999
194,2018-02-01,2018,2,Million Pounds,Poultry,3805.0
195,2018-02-01,2018,2,Million Pounds,Red Meat,8079.4
196,2018-03-01,2018,3,Million Pounds,Poultry,3992.7999999999997
197,2018-03-01,2018,3,Million Pounds,Red Meat,8999.6
198,2018-04-01,2018,4,Million Pounds,Poultry,3980.9
199,2018-04-01,2018,4,Million Pounds,Red Meat,8516.4
200,2018-05-01,2018,5,Million Pounds,Poultry,4266.5
201,2018-05-01,2018,5,Million Pounds,Red Meat,8964.1
202,2018-06-01,2018,6,Million Pounds,Poultry,4052.0
203,2018-06-01,2018,6,Million Pounds,Red Meat,8618.2
204,2018-07-01,2018,7,Million Pounds,Poultry,4163.2
205,2018-07-01,2018,7,Million Pounds,Red Meat,8432.0
206,2018-08-01,2018,8,Million Pounds,Poultry,4431.6
207,2018-08-01,2018,8,Million Pounds,Red Meat,9488.2
208,2018-09-01,2018,9,Million Pounds,Poultry,3977.0
209,2018-09-01,2018,9,Million Pounds,Red Meat,8333.300000000001
210,2018-10-01,2018,10,Million Pounds,Poultry,4388.1
211,2018-10-01,2018,10,Million Pounds,Red Meat,9752.599999999999
212,2018-11-01,2018,11,Million Pounds,Poultry,4068.1
213,2018-11-01,2018,11,Million Pounds,Red Meat,9327.1
214,2018-12-01,2018,12,Million Pounds,Poultry,3762.8999999999996
215,2018-12-01,2018,12,Million Pounds,Red Meat,8697.9
216,2019-01-01,2019,1,Million Pounds,Poultry,4205.1
217,2019-01-01,2019,1,Million Pounds,Red Meat,9361.5
218,2019-02-01,2019,2,Million Pounds,Poultry,3812.7999999999997
219,2019-02-01,2019,2,Million Pounds,Red Meat,8306.0
220,2019-03-01,2019,3,Million Pounds,Poultry,3909.7000000000003
221,2019-03-01,2019,3,Million Pounds,Red Meat,8827.0
222,2019-04-01,2019,4,Million Pounds,Poultry,4110.2
223,2019-04-01,2019,4,Million Pounds,Red Meat,9063.4
224,2019-05-01,2019,5,Million Pounds,Poultry,4357.6
225,2019-05-01,2019,5,Million Pounds,Red Meat,9094.800000000001
226,2019-06-01,2019,6,Million Pounds,Poultry,4064.0
227,2019-06-01,2019,6,Million Pounds,Red Meat,8705.9
228,2019-07-01,2019,7,Million Pounds,Poultry,4390.8
229,2019-07-01,2019,7,Million Pounds,Red Meat,9141.0
230,2019-08-01,2019,8,Million Pounds,Poultry,4386.7
231,2019-08-01,2019,8,Million Pounds,Red Meat,9258.6
232,2019-09-01,2019,9,Million Pounds,Poultry,4228.9
233,2019-09-01,2019,9,Million Pounds,Red Meat,8844.3
234,2019-10-01,2019,10,Million Pounds,Poultry,4607.400000000001
235,2019-10-01,2019,10,Million Pounds,Red Meat,10081.300000000001
236,2019-11-01,2019,11,Million Pounds,Poultry,4020.8999999999996
237,2019-11-01,2019,11,Million Pounds,Red Meat,9449.9
238,2019-12-01,2019,12,Million Pounds,Poultry,4158.3
239,2019-12-01,2019,12,Million Pounds,Red Meat,9416.2
240,2020-01-01,2020,1,Million Pounds,Poultry,4450.4
241,2020-01-01,2020,1,Million Pounds,Red Meat,9877.0
242,2020-02-01,2020,2,Million Pounds,Poultry,3975.0
243,2020-02-01,2020,2,Million Pounds,Red Meat,8869.2
244,2020-03-01,2020,3,Million Pounds,Poultry,4355.9
245,2020-03-01,2020,3,Million Pounds,Red Meat,9947.1
246,2020-04-01,2020,4,Million Pounds,Poultry,4153.400000000001
247,2020-04-01,2020,4,Million Pounds,Red Meat,7680.7
248,2020-05-01,2020,5,Million Pounds,Poultry,4045.1
249,2020-05-01,2020,5,Million Pounds,Red Meat,7473.6
250,2020-06-01,2020,6,Million Pounds,Poultry,4254.0
251,2020-06-01,2020,6,Million Pounds,Red Meat,9532.199999999999
252,2020-07-01,2020,7,Million Pounds,Poultry,4296.2
253,2020-07-01,2020,7,Million Pounds,Red Meat,9571.6
254,2020-08-01,2020,8,Million Pounds,Poultry,4287.1
255,2020-08-01,2020,8,Million Pounds,Red Meat,9331.6
256,2020-09-01,2020,9,Million Pounds,Poultry,4401.8
257,2020-09-01,2020,9,Million Pounds,Red Meat,9360.2
258,2020-10-01,2020,10,Million Pounds,Poultry,4371.7
259,2020-10-01,2020,10,Million Pounds,Red Meat,10120.8
260,2020-11-01,2020,11,Million Pounds,Poultry,4040.8999999999996
261,2020-11-01,2020,11,Million Pounds,Red Meat,9330.5
262,2020-12-01,2020,12,Million Pounds,Poultry,4220.8
263,2020-12-01,2020,12,Million Pounds,Red Meat,9662.7
264,2021-01-01,2021,1,Million Pounds,Poultry,4124.1
265,2021-01-01,2021,1,Million Pounds,Red Meat,9555.0
266,2021-02-01,2021,2,Million Pounds,Poultry,3757.7000000000003
267,2021-02-01,2021,2,Million Pounds,Red Meat,8728.8
268,2021-03-01,2021,3,Million Pounds,Poultry,4476.4
269,2021-03-01,2021,3,Million Pounds,Red Meat,10041.8
270,2021-04-01,2021,4,Million Pounds,Poultry,4263.4
271,2021-04-01,2021,4,Million Pounds,Red Meat,9366.7
272,2021-05-01,2021,5,Million Pounds,Poultry,4117.1
273,2021-05-01,2021,5,Million Pounds,Red Meat,8544.7
274,2021-06-01,2021,6,Million Pounds,Poultry,4424.9
275,2021-06-01,2021,6,Million Pounds,Red Meat,9288.199999999999
276,2021-07-01,2021,7,Million Pounds,Poultry,4285.9
277,2021-07-01,2021,7,Million Pounds,Red Meat,8719.8
278,2021-08-01,2021,8,Million Pounds,Poultry,4407.6
279,2021-08-01,2021,8,Million Pounds,Red Meat,9127.9
280,2021-09-01,2021,9,Million Pounds,Poultry,4448.5
281,2021-09-01,2021,9,Million Pounds,Red Meat,9107.9
282,2021-10-01,2021,10,Million Pounds,Poultry,4342.6
283,2021-10-01,2021,10,Million Pounds,Red Meat,9451.0
284,2021-11-01,2021,11,Million Pounds,Poultry,4191.400000000001
285,2021-11-01,2021,11,Million Pounds,Red Meat,9561.6
286,2021-12-01,2021,12,Million Pounds,Poultry,4198.1
287,2021-12-01,2021,12,Million Pounds,Red Meat,9519.8
288,2022-01-01,2022,1,Million Pounds,Poultry,4160.5
289,2022-01-01,2022,1,Million Pounds,Red Meat,9074.1
290,2022-02-01,2022,2,Million Pounds,Poultry,3970.1
291,2022-02-01,2022,2,Million Pounds,Red Meat,8816.9
292,2022-03-01,2022,3,Million Pounds,Poultry,4467.4
293,2022-03-01,2022,3,Million Pounds,Red Meat,9906.0
294,2022-04-01,2022,4,Million Pounds,Poultry,4116.2
295,2022-04-01,2022,4,Million Pounds,Red Meat,9041.5
296,2022-05-01,2022,5,Million Pounds,Poultry,4246.6
297,2022-05-01,2022,5,Million Pounds,Red Meat,8921.6
298,2022-06-01,2022,6,Million Pounds,Poultry,4400.1
299,2022-06-01,2022,6,Million Pounds,Red Meat,9402.6
300,2022-07-01,2022,7,Million Pounds,Poultry,4172.8
301,2022-07-01,2022,7,Million Pounds,Red Meat,8420.7
302,2022-08-01,2022,8,Million Pounds,Poultry,4660.2
303,2022-08-01,2022,8,Million Pounds,Red Meat,9599.0
304,2022-09-01,2022,9,Million Pounds,Poultry,4500.4
305,2022-09-01,2022,9,Million Pounds,Red Meat,9276.7
306,2022-10-01,2022,10,Million Pounds,Poultry,4537.3
307,2022-10-01,2022,10,Million Pounds,Red Meat,9460.5
308,2022-11-01,2022,11,Million Pounds,Poultry,4453.6
309,2022-11-01,2022,11,Million Pounds,Red Meat,9530.7
310,2022-12-01,2022,12,Million Pounds,Poultry,4325.8
311,2022-12-01,2022,12,Million Pounds,Red Meat,8899.5
