,Date,Year,Month,Unit,Type_Of_Meat,Weight
45,2011-11-01,2011,11,Million Pounds,Red Meat,929.34
46,2011-12-01,2011,12,Million Pounds,Poultry,847.43
47,2011-12-01,2011,12,Million Pounds,Red Meat,961.13
48,2012-01-01,2012,1,Million Pounds,Poultry,839.3
49,2012-01-01,2012,1,Million Pounds,Red Meat,961.46
50,2012-02-01,2012,2,Million Pounds,Poultry,910.8399999999999
51,2012-02-01,2012,2,Million Pounds,Red Meat,1092.6499999999999
52,2012-03-01,2012,3,Million Pounds,Poultry,957.9300000000001
53,2012-03-01,2012,3,Million Pounds,Red Meat,1118.69
54,2012-04-01,2012,4,Million Pounds,Poultry,957.45
55,2012-04-01,2012,4,Million Pounds,Red Meat,1139.8400000000001
56,2012-05-01,2012,5,Million Pounds,Poultry,1044.25
57,2012-05-01,2012,5,Million Pounds,Red Meat,1201.04
58,2012-06-01,2012,6,Million Pounds,Poultry,1141.34
59,2012-06-01,2012,6,Million Pounds,Red Meat,1157.71
60,2012-07-01,2012,7,Million Pounds,Poultry,1197.22
61,2012-07-01,2012,7,Million Pounds,Red Meat,1087.6399999999999
62,2012-08-01,2012,8,Million Pounds,Poultry,1205.3600000000001
63,2012-08-01,2012,8,Million Pounds,Red Meat,1039.0900000000001
64,2012-09-01,2012,9,Million Pounds,Poultry,1215.58
65,2012-09-01,2012,9,Million Pounds,Red Meat,1047.72
66,2012-10-01,2012,10,Million Pounds,Poultry,1179.22
67,2012-10-01,2012,10,Million Pounds,Red Meat,1082.8000000000002
68,2012-11-01,2012,11,Million Pounds,Poultry,1112.3899999999999
69,2012-11-01,2012,11,Million Pounds,Red Meat,1060.8799999999999
70,2012-12-01,2012,12,Million Pounds,Poultry,929.54
71,2012-12-01,2012,12,Million Pounds,Red Meat,1023.3700000000001
72,2013-01-01,2013,1,Million Pounds,Poultry,976.03
73,2013-01-01,2013,1,Million Pounds,Red Meat,1043.8300000000002
74,2013-02-01,2013,2,Million Pounds,Poultry,1036.52
75,2013-02-01,2013,2,Million Pounds,Red Meat,1114.82
76,2013-03-01,2013,3,Million Pounds,Poultry,1055.98
77,2013-03-01,2013,3,Million Pounds,Red Meat,1148.07
78,2013-04-01,2013,4,Million Pounds,Poultry,1036.97
79,2013-04-01,2013,4,Million Pounds,Red Meat,1182.3999999999999
80,2013-05-01,2013,5,Million Pounds,Poultry,1145.94
81,2013-05-01,2013,5,Million Pounds,Red Meat,1237.97
82,2013-06-01,2013,6,Million Pounds,Poultry,1222.3899999999999
83,2013-06-01,2013,6,Million Pounds,Red Meat,1166.31
84,2013-07-01,2013,7,Million Pounds,Poultry,1255.79
85,2013-07-01,2013,7,Million Pounds,Red Meat,1071.25
86,2013-08-01,2013,8,Million Pounds,Poultry,1285.3799999999999
87,2013-08-01,2013,8,Million Pounds,Red Meat,1035.49
88,2013-09-01,2013,9,Million Pounds,Poultry,1298.7400000000002
89,2013-09-01,2013,9,Million Pounds,Red Meat,1005.05
90,2013-10-01,2013,10,Million Pounds,Poultry,1228.56
91,2013-10-01,2013,10,Million Pounds,Red Meat,1041.0
92,2013-11-01,2013,11,Million Pounds,Poultry,1166.39
93,2013-11-01,2013,11,Million Pounds,Red Meat,1032.99
94,2013-12-01,2013,12,Million Pounds,Poultry,964.85
95,2013-12-01,2013,12,Million Pounds,Red Meat,1021.9100000000001
96,2014-01-01,2014,1,Million Pounds,Poultry,942.39
97,2014-01-01,2014,1,Million Pounds,Red Meat,1022.17
98,2014-02-01,2014,2,Million Pounds,Poultry,976.2
99,2014-02-01,2014,2,Million Pounds,Red Meat,1077.0
100,2014-03-01,2014,3,Million Pounds,Poultry,1002.84
101,2014-03-01,2014,3,Million Pounds,Red Meat,1093.6000000000001
102,2014-04-01,2014,4,Million Pounds,Poultry,934.89
103,2014-04-01,2014,4,Million Pounds,Red Meat,1012.33
104,2014-05-01,2014,5,Million Pounds,Poultry,965.15
105,2014-05-01,2014,5,Million Pounds,Red Meat,1015.92
106,2014-06-01,2014,6,Million Pounds,Poultry,1040.14
107,2014-06-01,2014,6,Million Pounds,Red Meat,981.4200000000001
108,2014-07-01,2014,7,Million Pounds,Poultry,1061.15
109,2014-07-01,2014,7,Million Pounds,Red Meat,930.0600000000001
110,2014-08-01,2014,8,Million Pounds,Poultry,1123.73
111,2014-08-01,2014,8,Million Pounds,Red Meat,939.12
112,2014-09-01,2014,9,Million Pounds,Poultry,1125.31
113,2014-09-01,2014,9,Million Pounds,Red Meat,933.9699999999999
114,2014-10-01,2014,10,Million Pounds,Poultry,1115.5700000000002
115,2014-10-01,2014,10,Million Pounds,Red Meat,970.81
116,2014-11-01,2014,11,Million Pounds,Poultry,1053.38
117,2014-11-01,2014,11,Million Pounds,Red Meat,956.5
118,2014-12-01,2014,12,Million Pounds,Poultry,884.78
119,2014-12-01,2014,12,Million Pounds,Red Meat,930.27
120,2015-01-01,2015,1,Million Pounds,Poultry,907.31
121,2015-01-01,2015,1,Million Pounds,Red Meat,988.55
122,2015-02-01,2015,2,Million Pounds,Poultry,1006.9599999999999
123,2015-02-01,2015,2,Million Pounds,Red Meat,1131.1699999999998
124,2015-03-01,2015,3,Million Pounds,Poultry,1056.17
125,2015-03-01,2015,3,Million Pounds,Red Meat,1224.32
126,2015-04-01,2015,4,Million Pounds,Poultry,1099.1
127,2015-04-01,2015,4,Million Pounds,Red Meat,1196.31
128,2015-05-01,2015,5,Million Pounds,Poultry,1162.8
129,2015-05-01,2015,5,Million Pounds,Red Meat,1228.95
130,2015-06-01,2015,6,Million Pounds,Poultry,1182.35
131,2015-06-01,2015,6,Million Pounds,Red Meat,1172.9499999999998
132,2015-07-01,2015,7,Million Pounds,Poultry,1185.5
133,2015-07-01,2015,7,Million Pounds,Red Meat,1147.56
134,2015-08-01,2015,8,Million Pounds,Poultry,1255.96
135,2015-08-01,2015,8,Million Pounds,Red Meat,1136.21
136,2015-09-01,2015,9,Million Pounds,Poultry,1252.7
137,2015-09-01,2015,9,Million Pounds,Red Meat,1170.03
138,2015-10-01,2015,10,Million Pounds,Poultry,1255.53
139,2015-10-01,2015,10,Million Pounds,Red Meat,1202.12
140,2015-11-01,2015,11,Million Pounds,Poultry,1226.53
141,2015-11-01,2015,11,Million Pounds,Red Meat,1159.49
142,2015-12-01,2015,12,Million Pounds,Poultry,1087.96
143,2015-12-01,2015,12,Million Pounds,Red Meat,1122.83
144,2016-01-01,2016,1,Million Pounds,Poultry,1081.9
145,2016-01-01,2016,1,Million Pounds,Red Meat,1105.91
146,2016-02-01,2016,2,Million Pounds,Poultry,1134.84
147,2016-02-01,2016,2,Million Pounds,Red Meat,1213.37
148,2016-03-01,2016,3,Million Pounds,Poultry,1158.95
149,2016-03-01,2016,3,Million Pounds,Red Meat,1182.68
150,2016-04-01,2016,4,Million Pounds,Poultry,1174.65
151,2016-04-01,2016,4,Million Pounds,Red Meat,1142.88
152,2016-05-01,2016,5,Million Pounds,Poultry,1217.0900000000001
153,2016-05-01,2016,5,Million Pounds,Red Meat,1151.1000000000001
154,2016-06-01,2016,6,Million Pounds,Poultry,1275.71
155,2016-06-01,2016,6,Million Pounds,Red Meat,1129.1000000000001
156,2016-07-01,2016,7,Million Pounds,Poultry,1336.9299999999998
157,2016-07-01,2016,7,Million Pounds,Red Meat,1099.2
158,2016-08-01,2016,8,Million Pounds,Poultry,1371.3799999999999
159,2016-08-01,2016,8,Million Pounds,Red Meat,1118.07
160,2016-09-01,2016,9,Million Pounds,Poultry,1317.53
161,2016-09-01,2016,9,Million Pounds,Red Meat,1130.46
162,2016-10-01,2016,10,Million Pounds,Poultry,1293.26
163,2016-10-01,2016,10,Million Pounds,Red Meat,1205.06
164,2016-11-01,2016,11,Million Pounds,Poultry,1190.6
165,2016-11-01,2016,11,Million Pounds,Red Meat,1173.29
166,2016-12-01,2016,12,Million Pounds,Poultry,1043.9199999999998
167,2016-12-01,2016,12,Million Pounds,Red Meat,1079.22
168,2017-01-01,2017,1,Million Pounds,Poultry,1100.18
169,2017-01-01,2017,1,Million Pounds,Red Meat,1083.85
170,2017-02-01,2017,2,Million Pounds,Poultry,1132.83
171,2017-02-01,2017,2,Million Pounds,Red Meat,1101.34
172,2017-03-01,2017,3,Million Pounds,Poultry,1189.99
173,2017-03-01,2017,3,Million Pounds,Red Meat,1112.95
174,2017-04-01,2017,4,Million Pounds,Poultry,1217.54
175,2017-04-01,2017,4,Million Pounds,Red Meat,1051.3500000000001
176,2017-05-01,2017,5,Million Pounds,Poultry,1285.77
177,2017-05-01,2017,5,Million Pounds,Red Meat,1092.72
178,2017-06-01,2017,6,Million Pounds,Poultry,1332.43
179,2017-06-01,2017,6,Million Pounds,Red Meat,1042.45
180,2017-07-01,2017,7,Million Pounds,Poultry,1393.16
181,2017-07-01,2017,7,Million Pounds,Red Meat,1012.8199999999999
182,2017-08-01,2017,8,Million Pounds,Poultry,1412.58
183,2017-08-01,2017,8,Million Pounds,Red Meat,1029.79
184,2017-09-01,2017,9,Million Pounds,Poultry,1396.3899999999999
185,2017-09-01,2017,9,Million Pounds,Red Meat,1099.96
186,2017-10-01,2017,10,Million Pounds,Poultry,1399.2
187,2017-10-01,2017,10,Million Pounds,Red Meat,1159.67
188,2017-11-01,2017,11,Million Pounds,Poultry,1343.3999999999999
189,2017-11-01,2017,11,Million Pounds,Red Meat,1149.34
190,2017-12-01,2017,12,Million Pounds,Poultry,1186.48
191,2017-12-01,2017,12,Million Pounds,Red Meat,1032.29
192,2018-01-01,2018,1,Million Pounds,Poultry,1200.3400000000001
193,2018-01-01,2018,1,Million Pounds,Red Meat,1021.19
194,2018-02-01,2018,2,Million Pounds,Poultry,1254.72
195,2018-02-01,2018,2,Million Pounds,Red Meat,1129.15
196,2018-03-01,2018,3,Million Pounds,Poultry,1327.71
197,2018-03-01,2018,3,Million Pounds,Red Meat,1118.59
198,2018-04-01,2018,4,Million Pounds,Poultry,1335.75
199,2018-04-01,2018,4,Million Pounds,Red Meat,1124.37
200,2018-05-01,2018,5,Million Pounds,Poultry,1363.73
201,2018-05-01,2018,5,Million Pounds,Red Meat,1159.9
202,2018-06-01,2018,6,Million Pounds,Poultry,1411.2299999999998
203,2018-06-01,2018,6,Million Pounds,Red Meat,1142.1799999999998
204,2018-07-01,2018,7,Million Pounds,Poultry,1444.0
205,2018-07-01,2018,7,Million Pounds,Red Meat,1064.1
206,2018-08-01,2018,8,Million Pounds,Poultry,1468.8
207,2018-08-01,2018,8,Million Pounds,Red Meat,1096.51
208,2018-09-01,2018,9,Million Pounds,Poultry,1530.76
209,2018-09-01,2018,9,Million Pounds,Red Meat,1136.4
210,2018-10-01,2018,10,Million Pounds,Poultry,1523.5
211,2018-10-01,2018,10,Million Pounds,Red Meat,1150.78
212,2018-11-01,2018,11,Million Pounds,Poultry,1388.21
213,2018-11-01,2018,11,Million Pounds,Red Meat,1135.65
214,2018-12-01,2018,12,Million Pounds,Poultry,1206.69
215,2018-12-01,2018,12,Million Pounds,Red Meat,1069.3400000000001
216,2019-01-01,2019,1,Million Pounds,Poultry,1182.31
217,2019-01-01,2019,1,Million Pounds,Red Meat,1045.6000000000001
218,2019-02-01,2019,2,Million Pounds,Poultry,1244.02
219,2019-02-01,2019,2,Million Pounds,Red Meat,1119.93
220,2019-03-01,2019,3,Million Pounds,Poultry,1325.41
221,2019-03-01,2019,3,Million Pounds,Red Meat,1134.48
222,2019-04-01,2019,4,Million Pounds,Poultry,1349.51
223,2019-04-01,2019,4,Million Pounds,Red Meat,1095.92
224,2019-05-01,2019,5,Million Pounds,Poultry,1361.49
225,2019-05-01,2019,5,Million Pounds,Red Meat,1098.0900000000001
226,2019-06-01,2019,6,Million Pounds,Poultry,1340.04
227,2019-06-01,2019,6,Million Pounds,Red Meat,1077.83
228,2019-07-01,2019,7,Million Pounds,Poultry,1386.68
229,2019-07-01,2019,7,Million Pounds,Red Meat,1069.39
230,2019-08-01,2019,8,Million Pounds,Poultry,1413.84
231,2019-08-01,2019,8,Million Pounds,Red Meat,1113.92
232,2019-09-01,2019,9,Million Pounds,Poultry,1457.6000000000001
233,2019-09-01,2019,9,Million Pounds,Red Meat,1128.69
234,2019-10-01,2019,10,Million Pounds,Poultry,1448.3
235,2019-10-01,2019,10,Million Pounds,Red Meat,1115.1100000000001
236,2019-11-01,2019,11,Million Pounds,Poultry,1351.22
237,2019-11-01,2019,11,Million Pounds,Red Meat,1121.66
238,2019-12-01,2019,12,Million Pounds,Poultry,1207.29
239,2019-12-01,2019,12,Million Pounds,Red Meat,1092.5800000000002
240,2020-01-01,2020,1,Million Pounds,Poultry,1215.54
241,2020-01-01,2020,1,Million Pounds,Red Meat,1101.5
242,2020-02-01,2020,2,Million Pounds,Poultry,1260.5
243,2020-02-01,2020,2,Million Pounds,Red Meat,1157.28
244,2020-03-01,2020,3,Million Pounds,Poultry,1266.52
245,2020-03-01,2020,3,Million Pounds,Red Meat,1185.79
246,2020-04-01,2020,4,Million Pounds,Poultry,1313.41
247,2020-04-01,2020,4,Million Pounds,Red Meat,1161.99
248,2020-05-01,2020,5,Million Pounds,Poultry,1368.3600000000001
249,2020-05-01,2020,5,Million Pounds,Red Meat,1136.89
250,2020-06-01,2020,6,Million Pounds,Poultry,1293.71
251,2020-06-01,2020,6,Million Pounds,Red Meat,936.23
252,2020-07-01,2020,7,Million Pounds,Poultry,1355.45
253,2020-07-01,2020,7,Million Pounds,Red Meat,939.46
254,2020-08-01,2020,8,Million Pounds,Poultry,1414.6200000000001
255,2020-08-01,2020,8,Million Pounds,Red Meat,950.86
256,2020-09-01,2020,9,Million Pounds,Poultry,1427.5300000000002
257,2020-09-01,2020,9,Million Pounds,Red Meat,960.7
258,2020-10-01,2020,10,Million Pounds,Poultry,1398.74
259,2020-10-01,2020,10,Million Pounds,Red Meat,968.5699999999999
260,2020-11-01,2020,11,Million Pounds,Poultry,1292.22
261,2020-11-01,2020,11,Million Pounds,Red Meat,981.7
262,2020-12-01,2020,12,Million Pounds,Poultry,1078.95
263,2020-12-01,2020,12,Million Pounds,Red Meat,966.17
264,2021-01-01,2021,1,Million Pounds,Poultry,1088.75
265,2021-01-01,2021,1,Million Pounds,Red Meat,986.13
266,2021-02-01,2021,2,Million Pounds,Poultry,1117.6200000000001
267,2021-02-01,2021,2,Million Pounds,Red Meat,1010.52
268,2021-03-01,2021,3,Million Pounds,Poultry,1085.27
269,2021-03-01,2021,3,Million Pounds,Red Meat,1031.67
270,2021-04-01,2021,4,Million Pounds,Poultry,1082.62
271,2021-04-01,2021,4,Million Pounds,Red Meat,967.9300000000001
272,2021-05-01,2021,5,Million Pounds,Poultry,1072.48
273,2021-05-01,2021,5,Million Pounds,Red Meat,937.5600000000001
274,2021-06-01,2021,6,Million Pounds,Poultry,1112.16
275,2021-06-01,2021,6,Million Pounds,Red Meat,907.49
276,2021-07-01,2021,7,Million Pounds,Poultry,1136.6599999999999
277,2021-07-01,2021,7,Million Pounds,Red Meat,870.75
278,2021-08-01,2021,8,Million Pounds,Poultry,1160.56
279,2021-08-01,2021,8,Million Pounds,Red Meat,868.9200000000001
280,2021-09-01,2021,9,Million Pounds,Poultry,1138.31
281,2021-09-01,2021,9,Million Pounds,Red Meat,897.2099999999999
282,2021-10-01,2021,10,Million Pounds,Poultry,1146.8999999999999
283,2021-10-01,2021,10,Million Pounds,Red Meat,940.34
284,2021-11-01,2021,11,Million Pounds,Poultry,1054.27
285,2021-11-01,2021,11,Million Pounds,Red Meat,947.81
286,2021-12-01,2021,12,Million Pounds,Poultry,875.97
287,2021-12-01,2021,12,Million Pounds,Red Meat,920.37
288,2022-01-01,2022,1,Million Pounds,Poultry,898.93
289,2022-01-01,2022,1,Million Pounds,Red Meat,929.28
290,2022-02-01,2022,2,Million Pounds,Poultry,1008.11
291,2022-02-01,2022,2,Million Pounds,Red Meat,986.4
292,2022-03-01,2022,3,Million Pounds,Poultry,1073.0
293,2022-03-01,2022,3,Million Pounds,Red Meat,1035.1200000000001
294,2022-04-01,2022,4,Million Pounds,Poultry,1084.54
295,2022-04-01,2022,4,Million Pounds,Red Meat,1048.53
296,2022-05-01,2022,5,Million Pounds,Poultry,1090.25
297,2022-05-01,2022,5,Million Pounds,Red Meat,1092.8
298,2022-06-01,2022,6,Million Pounds,Poultry,1117.16
299,2022-06-01,2022,6,Million Pounds,Red Meat,1097.22
300,2022-07-01,2022,7,Million Pounds,Poultry,1178.73
301,2022-07-01,2022,7,Million Pounds,Red Meat,1081.41
302,2022-08-01,2022,8,Million Pounds,Poultry,1229.3
303,2022-08-01,2022,8,Million Pounds,Red Meat,1066.8000000000002
304,2022-09-01,2022,9,Million Pounds,Poultry,1260.28
305,2022-09-01,2022,9,Million Pounds,Red Meat,1088.52
306,2022-10-01,2022,10,Million Pounds,Poultry,1253.77
307,2022-10-01,2022,10,Million Pounds,Red Meat,1097.9199999999998
308,2022-11-01,2022,11,Million Pounds,Poultry,1161.03
309,2022-11-01,2022,11,Million Pounds,Red Meat,1051.18
310,2022-12-01,2022,12,Million Pounds,Poultry,1042.79
311,2022-12-01,2022,12,Million Pounds,Red Meat,1006.71
312,2023-01-01,2023,1,Million Pounds,Poultry,1111.56
313,2023-01-01,2023,1,Million Pounds,Red Meat,1028.24
314,2023-02-01,2023,2,Million Pounds,Poultry,1150.84
315,2023-02-01,2023,2,Million Pounds,Red Meat,1080.1
316,2023-03-01,2023,3,Million Pounds,Poultry,1176.53
317,2023-03-01,2023,3,Million Pounds,Red Meat,1053.68
318,2023-04-01,2023,4,Million Pounds,Poultry,1183.8700000000001
319,2023-04-01,2023,4,Million Pounds,Red Meat,1039.1100000000001
320,2023-05-01,2023,5,Million Pounds,Poultry,1191.1000000000001
321,2023-05-01,2023,5,Million Pounds,Red Meat,1045.61
322,2023-06-01,2023,6,Million Pounds,Poultry,1239.1699999999998
323,2023-06-01,2023,6,Million Pounds,Red Meat,983.49
324,2023-07-01,2023,7,Million Pounds,Poultry,1298.72
325,2023-07-01,2023,7,Million Pounds,Red Meat,923.34
326,2023-08-01,2023,8,Million Pounds,Poultry,1287.53
327,2023-08-01,2023,8,Million Pounds,Red Meat,909.79
328,2023-09-01,2023,9,Million Pounds,Poultry,1281.79
329,2023-09-01,2023,9,Million Pounds,Red Meat,891.9599999999999
330,2023-10-01,2023,10,Million Pounds,Poultry,1255.1299999999999
331,2023-10-01,2023,10,Million Pounds,Red Meat,909.97
332,2023-11-01,2023,11,Million Pounds,Poultry,1180.77
333,2023-11-01,2023,11,Million Pounds,Red Meat,910.64
334,2023-12-01,2023,12,Million Pounds,Poultry,1085.82
335,2023-12-01,2023,12,Million Pounds,Red Meat,896.39
