Date-Time,Value,Unit,Commodity
2018-02-01,136.2835,Cents per Pound,Coffee
2018-01-01,138.876087,Cents per Pound,Coffee
2017-12-01,137.3061905,Cents per Pound,Coffee
2017-11-01,140.9040909,Cents per Pound,Coffee
2017-10-01,140.7095455,Cents per Pound,Coffee
2017-09-01,146.5604762,Cents per Pound,Coffee
2017-08-01,149.8773913,Cents per Pound,Coffee
2017-07-01,149.8028571,Cents per Pound,Coffee
2017-06-01,143.2227273,Cents per Pound,Coffee
2017-05-01,150,Cents per Pound,Coffee
2017-04-01,155.574,Cents per Pound,Coffee
2017-03-01,160.1504348,Cents per Pound,Coffee
2017-02-01,166.351,Cents per Pound,Coffee
2017-01-01,168.6127273,Cents per Pound,Coffee
2016-12-01,161.7809091,Cents per Pound,Coffee
2016-11-01,184.1154545,Cents per Pound,Coffee
2016-10-01,178.9552381,Cents per Pound,Coffee
2016-09-01,176.2954545,Cents per Pound,Coffee
2016-08-01,167.5413043,Cents per Pound,Coffee
2016-07-01,171.7638095,Cents per Pound,Coffee
2016-06-01,165.4522727,Cents per Pound,Coffee
2016-05-01,155.1945455,Cents per Pound,Coffee
2016-04-01,154.217619,Cents per Pound,Coffee
2016-03-01,157.6313043,Cents per Pound,Coffee
2016-02-01,147.6971429,Cents per Pound,Coffee
2016-01-01,145.4347619,Cents per Pound,Coffee
2015-12-01,148.6121739,Cents per Pound,Coffee
2015-11-01,147.9785714,Cents per Pound,Coffee
2015-10-01,153.2504545,Cents per Pound,Coffee
2015-09-01,146.1468182,Cents per Pound,Coffee
2015-08-01,156.9233333,Cents per Pound,Coffee
2015-07-01,154.4465217,Cents per Pound,Coffee
2015-06-01,159.755,Cents per Pound,Coffee
2015-05-01,158.4828571,Cents per Pound,Coffee
2015-04-01,163.9977273,Cents per Pound,Coffee
2015-03-01,160.7359091,Cents per Pound,Coffee
2015-02-01,178.8885,Cents per Pound,Coffee
2015-01-01,189.6263636,Cents per Pound,Coffee
2014-12-01,193.386087,Cents per Pound,Coffee
2014-11-01,209.376,Cents per Pound,Coffee
2014-10-01,225.2856522,Cents per Pound,Coffee
2014-09-01,210.5263636,Cents per Pound,Coffee
2014-08-01,212.9652381,Cents per Pound,Coffee
2014-07-01,196.8952174,Cents per Pound,Coffee
2014-06-01,197.8909524,Cents per Pound,Coffee
2014-05-01,214.2027273,Cents per Pound,Coffee
2014-04-01,223.4940909,Cents per Pound,Coffee
2014-03-01,214.0866667,Cents per Pound,Coffee
2014-02-01,173.6435,Cents per Pound,Coffee
2014-01-01,132.5182609,Cents per Pound,Coffee
2013-12-01,125.7354545,Cents per Pound,Coffee
2013-11-01,122.0180952,Cents per Pound,Coffee
2013-10-01,128.6986957,Cents per Pound,Coffee
2013-09-01,132.2814286,Cents per Pound,Coffee
2013-08-01,135.1540909,Cents per Pound,Coffee
2013-07-01,138.3873913,Cents per Pound,Coffee
2013-06-01,138.2595,Cents per Pound,Coffee
2013-05-01,147.186087,Cents per Pound,Coffee
2013-04-01,149.7868182,Cents per Pound,Coffee
2013-03-01,149.8080952,Cents per Pound,Coffee
2013-02-01,149.459,Cents per Pound,Coffee
2013-01-01,157.0373913,Cents per Pound,Coffee
2012-12-01,152.707619,Cents per Pound,Coffee
2012-11-01,159.9063636,Cents per Pound,Coffee
2012-10-01,173.3173913,Cents per Pound,Coffee
2012-09-01,178.977,Cents per Pound,Coffee
2012-08-01,174.8243478,Cents per Pound,Coffee
2012-07-01,190.4459091,Cents per Pound,Coffee
2012-06-01,168.6866667,Cents per Pound,Coffee
2012-05-01,184.3647826,Cents per Pound,Coffee
2012-04-01,191.4485714,Cents per Pound,Coffee
2012-03-01,201.2559091,Cents per Pound,Coffee
2012-02-01,224.157619,Cents per Pound,Coffee
2012-01-01,237.2068182,Cents per Pound,Coffee
2011-12-01,236.2977273,Cents per Pound,Coffee
2011-11-01,245.0872727,Cents per Pound,Coffee
2011-10-01,247.8238095,Cents per Pound,Coffee
2011-09-01,274.8804545,Cents per Pound,Coffee
2011-08-01,270.4404348,Cents per Pound,Coffee
2011-07-01,268.0214286,Cents per Pound,Coffee
2011-06-01,274.9809091,Cents per Pound,Coffee
2011-05-01,291.0659091,Cents per Pound,Coffee
2011-04-01,300.4771429,Cents per Pound,Coffee
2011-03-01,292.0673913,Cents per Pound,Coffee
2011-02-01,288.3885,Cents per Pound,Coffee
2011-01-01,263.7657143,Cents per Pound,Coffee
2010-12-01,249.443913,Cents per Pound,Coffee
2010-11-01,233.5127273,Cents per Pound,Coffee
2010-10-01,217.4390476,Cents per Pound,Coffee
2010-09-01,222.7131818,Cents per Pound,Coffee
2010-08-01,211.59,Cents per Pound,Coffee
2010-07-01,203.2136364,Cents per Pound,Coffee
2010-06-01,190.9031818,Cents per Pound,Coffee
2010-05-01,173.3690476,Cents per Pound,Coffee
2010-04-01,169.3895455,Cents per Pound,Coffee
2010-03-01,164.5026087,Cents per Pound,Coffee
2010-02-01,157.8565,Cents per Pound,Coffee
2010-01-01,158.6557143,Cents per Pound,Coffee
2009-12-01,157.943913,Cents per Pound,Coffee
2009-11-01,152.2104762,Cents per Pound,Coffee
2009-10-01,154.5722727,Cents per Pound,Coffee
2009-09-01,148.51,Cents per Pound,Coffee
2009-08-01,149.7619048,Cents per Pound,Coffee
2009-07-01,140.8978261,Cents per Pound,Coffee
2009-06-01,149.7813636,Cents per Pound,Coffee
2009-05-01,150.492381,Cents per Pound,Coffee
2009-04-01,135.0781818,Cents per Pound,Coffee
2009-03-01,128.52,Cents per Pound,Coffee
2009-02-01,129.4815,Cents per Pound,Coffee
2009-01-01,127.8072727,Cents per Pound,Coffee
2008-12-01,118.7921739,Cents per Pound,Coffee
2008-11-01,121.886,Cents per Pound,Coffee
2008-10-01,123.5869565,Cents per Pound,Coffee
2008-09-01,143.2690909,Cents per Pound,Coffee
2008-08-01,146.4280952,Cents per Pound,Coffee
2008-07-01,147.3569565,Cents per Pound,Coffee
2008-06-01,146.1495238,Cents per Pound,Coffee
2008-05-01,142.0436364,Cents per Pound,Coffee
2008-04-01,140.7045455,Cents per Pound,Coffee
2008-03-01,149.2204762,Cents per Pound,Coffee
2008-02-01,157.2895238,Cents per Pound,Coffee
2008-01-01,139.8226087,Cents per Pound,Coffee
2007-12-01,138.0428571,Cents per Pound,Coffee
2007-11-01,131.0454545,Cents per Pound,Coffee
2007-10-01,134.2908696,Cents per Pound,Coffee
2007-09-01,128.0435,Cents per Pound,Coffee
2007-08-01,123.1508696,Cents per Pound,Coffee
2007-07-01,117.6331818,Cents per Pound,Coffee
2007-06-01,119.3280952,Cents per Pound,Coffee
2007-05-01,113.3269565,Cents per Pound,Coffee
2007-04-01,114.6947619,Cents per Pound,Coffee
2007-03-01,117.0836364,Cents per Pound,Coffee
2007-02-01,122.032,Cents per Pound,Coffee
2007-01-01,124.6943478,Cents per Pound,Coffee
2006-12-01,128.3561905,Cents per Pound,Coffee
2006-11-01,122.2654545,Cents per Pound,Coffee
2006-10-01,110.6331818,Cents per Pound,Coffee
2006-09-01,109.8266667,Cents per Pound,Coffee
2006-08-01,111.73,Cents per Pound,Coffee
2006-07-01,104.997619,Cents per Pound,Coffee
2006-06-01,103.1495455,Cents per Pound,Coffee
2006-05-01,109.6295652,Cents per Pound,Coffee
2006-04-01,115.3375,Cents per Pound,Coffee
2006-03-01,113.6604348,Cents per Pound,Coffee
2006-02-01,119.1215,Cents per Pound,Coffee
2006-01-01,124.1986364,Cents per Pound,Coffee
2005-12-01,105.9245455,Cents per Pound,Coffee
2005-11-01,107.7422727,Cents per Pound,Coffee
2005-10-01,105.0990476,Cents per Pound,Coffee
2005-09-01,99.49090909,Cents per Pound,Coffee
2005-08-01,108.203913,Cents per Pound,Coffee
2005-07-01,109.9285714,Cents per Pound,Coffee
2005-06-01,121.1559091,Cents per Pound,Coffee
2005-05-01,128.3977273,Cents per Pound,Coffee
2005-04-01,129.5295238,Cents per Pound,Coffee
2005-03-01,134.7778261,Cents per Pound,Coffee
2005-02-01,120.8325,Cents per Pound,Coffee
2005-01-01,107.1642857,Cents per Pound,Coffee
2004-12-01,104.3882609,Cents per Pound,Coffee
2004-11-01,90.26772727,Cents per Pound,Coffee
2004-10-01,80.55095238,Cents per Pound,Coffee
2004-09-01,80.46590909,Cents per Pound,Coffee
2004-08-01,73.60818182,Cents per Pound,Coffee
2004-07-01,74.96772727,Cents per Pound,Coffee
2004-06-01,82.21454545,Cents per Pound,Coffee
2004-05-01,77.44,Cents per Pound,Coffee
2004-04-01,75.53772727,Cents per Pound,Coffee
2004-03-01,78.05913043,Cents per Pound,Coffee
2004-02-01,76.2255,Cents per Pound,Coffee
2004-01-01,72.02863636,Cents per Pound,Coffee
2003-12-01,64.88434783,Cents per Pound,Coffee
2003-11-01,62.2775,Cents per Pound,Coffee
2003-10-01,64.28347826,Cents per Pound,Coffee
2003-09-01,66.41045455,Cents per Pound,Coffee
2003-08-01,63.89142857,Cents per Pound,Coffee
2003-07-01,62.95130435,Cents per Pound,Coffee
2003-06-01,61.04666667,Cents per Pound,Coffee
2003-05-01,66.09681818,Cents per Pound,Coffee
2003-04-01,64.69227273,Cents per Pound,Coffee
2003-03-01,61.74809524,Cents per Pound,Coffee
2003-02-01,66.4085,Cents per Pound,Coffee
2003-01-01,65.38347826,Cents per Pound,Coffee
2002-12-01,63.65590909,Cents per Pound,Coffee
2002-11-01,69.86809524,Cents per Pound,Coffee
2002-10-01,65.73086957,Cents per Pound,Coffee
2002-09-01,60.66619048,Cents per Pound,Coffee
2002-08-01,54.36409091,Cents per Pound,Coffee
2002-07-01,56.4773913,Cents per Pound,Coffee
2002-06-01,58.5555,Cents per Pound,Coffee
2002-05-01,61.46043478,Cents per Pound,Coffee
2002-04-01,65.33681818,Cents per Pound,Coffee
2002-03-01,64.07047619,Cents per Pound,Coffee
2002-02-01,59.116,Cents per Pound,Coffee
2002-01-01,58.24304348,Cents per Pound,Coffee
2001-12-01,56.5852381,Cents per Pound,Coffee
2001-11-01,58.84772727,Cents per Pound,Coffee
2001-10-01,56.36782609,Cents per Pound,Coffee
2001-09-01,58.267,Cents per Pound,Coffee
2001-08-01,59.33130435,Cents per Pound,Coffee
2001-07-01,58.94136364,Cents per Pound,Coffee
2001-06-01,63.84619048,Cents per Pound,Coffee
2001-05-01,69.63130435,Cents per Pound,Coffee
2001-04-01,65.99761905,Cents per Pound,Coffee
2001-03-01,66.66590909,Cents per Pound,Coffee
2001-02-01,67.2755,Cents per Pound,Coffee
2001-01-01,65.6526087,Cents per Pound,Coffee
2000-12-01,65.90333333,Cents per Pound,Coffee
2000-11-01,71.39045455,Cents per Pound,Coffee
2000-10-01,76.76454545,Cents per Pound,Coffee
2000-09-01,75.8352381,Cents per Pound,Coffee
2000-08-01,79.30391304,Cents per Pound,Coffee
2000-07-01,87.65619048,Cents per Pound,Coffee
2000-06-01,86.89409091,Cents per Pound,Coffee
2000-05-01,91.50608696,Cents per Pound,Coffee
2000-04-01,94.65,Cents per Pound,Coffee
2000-03-01,100.6526087,Cents per Pound,Coffee
2000-02-01,104.0414286,Cents per Pound,Coffee
2000-01-01,111.8514286,Cents per Pound,Coffee
1999-12-01,123.1652174,Cents per Pound,Coffee
1999-11-01,112.4509091,Cents per Pound,Coffee
1999-10-01,92.75904762,Cents per Pound,Coffee
1999-09-01,84.52409091,Cents per Pound,Coffee
1999-08-01,91.49954545,Cents per Pound,Coffee
1999-07-01,95.79181818,Cents per Pound,Coffee
1999-06-01,108.1172727,Cents per Pound,Coffee
1999-05-01,111.3547619,Cents per Pound,Coffee
1999-04-01,102.8286364,Cents per Pound,Coffee
1999-03-01,105.1321739,Cents per Pound,Coffee
1999-02-01,104.762,Cents per Pound,Coffee
1999-01-01,114.227619,Cents per Pound,Coffee
1998-12-01,117.056087,Cents per Pound,Coffee
1998-11-01,116.1219048,Cents per Pound,Coffee
1998-10-01,109.3872727,Cents per Pound,Coffee
1998-09-01,112.9440909,Cents per Pound,Coffee
1998-08-01,123.6471429,Cents per Pound,Coffee
1998-07-01,116.9413043,Cents per Pound,Coffee
1998-06-01,126.6631818,Cents per Pound,Coffee
1998-05-01,138.937619,Cents per Pound,Coffee
1998-04-01,150.255,Cents per Pound,Coffee
1998-03-01,158.39,Cents per Pound,Coffee
1998-02-01,178.374,Cents per Pound,Coffee
1998-01-01,176.9136364,Cents per Pound,Coffee
1997-12-01,176.7795652,Cents per Pound,Coffee
1997-11-01,160.3115,Cents per Pound,Coffee
1997-10-01,169.1491304,Cents per Pound,Coffee
1997-09-01,190.8645455,Cents per Pound,Coffee
1997-08-01,191.0990476,Cents per Pound,Coffee
1997-07-01,190.1582609,Cents per Pound,Coffee
1997-06-01,226.7609524,Cents per Pound,Coffee
1997-05-01,265.6059091,Cents per Pound,Coffee
1997-04-01,205.4409091,Cents per Pound,Coffee
1997-03-01,193.4080952,Cents per Pound,Coffee
1997-02-01,166.3255,Cents per Pound,Coffee
1997-01-01,131.233913,Cents per Pound,Coffee
1996-12-01,116.8936364,Cents per Pound,Coffee
1996-11-01,123.9138095,Cents per Pound,Coffee
1996-10-01,123.7769565,Cents per Pound,Coffee
1996-09-01,119.812381,Cents per Pound,Coffee
1996-08-01,125.5077273,Cents per Pound,Coffee
1996-07-01,123.7008696,Cents per Pound,Coffee
1996-06-01,125.03,Cents per Pound,Coffee
1996-05-01,129.5956522,Cents per Pound,Coffee
1996-04-01,121.8831818,Cents per Pound,Coffee
1996-03-01,120.807619,Cents per Pound,Coffee
1996-02-01,124.7804762,Cents per Pound,Coffee
1996-01-01,107.9617391,Cents per Pound,Coffee
1995-12-01,106.3680952,Cents per Pound,Coffee
1995-11-01,125.2604545,Cents per Pound,Coffee
1995-10-01,127.0859091,Cents per Pound,Coffee
1995-09-01,137.1380952,Cents per Pound,Coffee
1995-08-01,150.9917391,Cents per Pound,Coffee
1995-07-01,140.2966667,Cents per Pound,Coffee
1995-06-01,158.6031818,Cents per Pound,Coffee
1995-05-01,173.2456522,Cents per Pound,Coffee
1995-04-01,173.237,Cents per Pound,Coffee
1995-03-01,179.2108696,Cents per Pound,Coffee
1995-02-01,167.475,Cents per Pound,Coffee
1995-01-01,171.0881818,Cents per Pound,Coffee
1994-12-01,162.265,Cents per Pound,Coffee
1994-11-01,188.1163636,Cents per Pound,Coffee
1994-10-01,207.3138095,Cents per Pound,Coffee
1994-09-01,218.6804545,Cents per Pound,Coffee
1994-08-01,199.1395652,Cents per Pound,Coffee
1994-07-01,201.41,Cents per Pound,Coffee
1994-06-01,133.3613636,Cents per Pound,Coffee
1994-05-01,117.1663636,Cents per Pound,Coffee
1994-04-01,90.93761905,Cents per Pound,Coffee
1994-03-01,87.01478261,Cents per Pound,Coffee
1994-02-01,83.2,Cents per Pound,Coffee
1994-01-01,79.58238095,Cents per Pound,Coffee
1993-12-01,82.5526087,Cents per Pound,Coffee
1993-11-01,79.23863636,Cents per Pound,Coffee
1993-10-01,76.64333333,Cents per Pound,Coffee
1993-09-01,81.12181818,Cents per Pound,Coffee
1993-08-01,76.18727273,Cents per Pound,Coffee
1993-07-01,70.47909091,Cents per Pound,Coffee
1993-06-01,63.19045455,Cents per Pound,Coffee
1993-05-01,61.65904762,Cents per Pound,Coffee
1993-04-01,58.41454545,Cents per Pound,Coffee
1993-03-01,64.68130435,Cents per Pound,Coffee
1993-02-01,67.4365,Cents per Pound,Coffee
1993-01-01,71.81904762,Cents per Pound,Coffee
1992-12-01,75.13913043,Cents per Pound,Coffee
1992-11-01,52.51285714,Cents per Pound,Coffee
1992-10-01,50.83,Cents per Pound,Coffee
1992-09-01,51.67318182,Cents per Pound,Coffee
1992-08-01,53.35380952,Cents per Pound,Coffee
1992-07-01,58.34913043,Cents per Pound,Coffee
1992-06-01,59.44818182,Cents per Pound,Coffee
1992-05-01,60.79666667,Cents per Pound,Coffee
1992-04-01,66.52227273,Cents per Pound,Coffee
1992-03-01,69.89363636,Cents per Pound,Coffee
1992-02-01,69.298,Cents per Pound,Coffee
1992-01-01,73.03181818,Cents per Pound,Coffee
1991-12-01,75.09667969,Cents per Pound,Coffee
1991-11-01,78.51779175,Cents per Pound,Coffee
1991-10-01,79.86181641,Cents per Pound,Coffee
1991-09-01,87.45098877,Cents per Pound,Coffee
1991-08-01,81.61880493,Cents per Pound,Coffee
1991-07-01,82.80825806,Cents per Pound,Coffee
1991-06-01,85.5,Cents per Pound,Coffee
1991-05-01,87.58999634,Cents per Pound,Coffee
1991-04-01,92.26998901,Cents per Pound,Coffee
1991-03-01,93.72000122,Cents per Pound,Coffee
1991-02-01,89.57000732,Cents per Pound,Coffee
1991-01-01,86.32000732,Cents per Pound,Coffee
1990-12-01,89.89001465,Cents per Pound,Coffee
1990-11-01,84.83999634,Cents per Pound,Coffee
1990-10-01,91.41000366,Cents per Pound,Coffee
1990-09-01,94.92001343,Cents per Pound,Coffee
1990-08-01,94.42001343,Cents per Pound,Coffee
1990-07-01,86.48001099,Cents per Pound,Coffee
1990-06-01,88.26000977,Cents per Pound,Coffee
1990-05-01,92.01998901,Cents per Pound,Coffee
1990-04-01,93.73001099,Cents per Pound,Coffee
1990-03-01,93.95999146,Cents per Pound,Coffee
1990-02-01,84.01000977,Cents per Pound,Coffee
1990-01-01,75.82998657,Cents per Pound,Coffee
2024-01-01,198.7579285,Dollar per Metric Ton,Corn
2023-12-01,207.3979689,,
2023-11-01,209.0402968,,
2023-10-01,221.9025188,,
2023-09-01,223.8476664,,
2023-08-01,207.6758887,,
2023-07-01,235.2719473,,
2023-06-01,266.9352396,,
2023-05-01,268.1725264,,
2023-04-01,291.1797449,,
2023-03-01,284.957405,,
2023-02-01,298.2453034,,
2023-01-01,302.8399884,,
2022-12-01,302.2354051,,
2022-11-01,320.9296829,,
2022-10-01,343.5532833,,
2022-09-01,312.5461279,,
2022-08-01,293.9307903,,
2022-07-01,312.682042,,
2022-06-01,335.717134,,
2022-05-01,344.9092996,,
2022-04-01,348.507117,,
2022-03-01,335.9306842,,
2022-02-01,292.671593,,
2022-01-01,276.7191782,,
2021-12-01,264.5731468,,
2021-11-01,248.7677461,,
2021-10-01,239.6024509,,
2021-09-01,235.8156036,,
2021-08-01,257.0207554,,
2021-07-01,278.4457556,,
2021-06-01,292.5237268,,
2021-05-01,304.2975497,,
2021-04-01,268.6224488,,
2021-03-01,245.7603568,,
2021-02-01,245.5540566,,
2021-01-01,231.7544615,,
2020-12-01,199.1844175,,
2020-11-01,190.6250376,,
2020-10-01,186.7663875,,
2020-09-01,166.6025335,,
2020-08-01,149.3929998,,
2020-07-01,152.5876196,,
2020-06-01,148.0423804,,
2020-05-01,143.9892438,,
2020-04-01,147.0121602,,
2020-03-01,162.1791482,,
2020-02-01,168.7445985,,
2020-01-01,171.8141352,,
2019-12-01,167.0590173,,
2019-11-01,166.3617855,,
2019-10-01,167.2977941,,
2019-09-01,157.3744366,,
2019-08-01,163.6286143,,
2019-07-01,189.4863732,,
2019-06-01,195.1679223,,
2019-05-01,171.1801536,,
2019-04-01,161.6533866,,
2019-03-01,166.321332,,
2019-02-01,169.6562835,,
2019-01-01,166.8462415,,
2018-12-01,167.4898806,,
2018-11-01,160.8782077,,
2018-10-01,160.3655651,,
2018-09-01,154.9450034,,
2018-08-01,162.5222585,,
2018-07-01,156.5542655,,
2018-06-01,165.1402855,,
2018-05-01,179.1790589,,
2018-04-01,175.6009825,,
2018-03-01,172.07659,,
2018-02-01,163.4609697,,
2018-01-01,155.9168753,,
2017-12-01,149.0874275,,
2017-11-01,148.7921659,,
2017-10-01,148.7223768,,
2017-09-01,147.3158579,,
2017-08-01,148.5434304,,
2017-07-01,157.6106459,,
2017-06-01,157.9739071,,
2017-05-01,158.6002196,,
2017-04-01,156.5404521,,
2017-03-01,158.9791193,,
2017-02-01,162.9625359,,
2017-01-01,160.012107,,
2016-12-01,152.7299247,,
2016-11-01,151.3314157,,
2016-10-01,152.617444,,
2016-09-01,148.5119017,,
2016-08-01,150.2154124,,
2016-07-01,161.8230448,,
2016-06-01,179.9127393,,
2016-05-01,169.0021199,,
2016-04-01,164.4654019,,
2016-03-01,159.2265321,,
2016-02-01,159.7168454,,
2016-01-01,161.0988769,,
2015-12-01,164.0044018,,
2015-11-01,166.0924241,,
2015-10-01,171.4485732,,
2015-09-01,166.077624,,
2015-08-01,162.7406991,,
2015-07-01,179.6085304,,
2015-06-01,166.8138607,,
2015-05-01,166.3503895,,
2015-04-01,172.151577,,
2015-03-01,174.2938214,,
2015-02-01,173.7588658,,
2015-01-01,174.7948714,,
2014-12-01,178.7129461,,
2014-11-01,178.7085351,,
2014-10-01,163.3780893,,
2014-09-01,163.1343813,,
2014-08-01,176.4820806,,
2014-07-01,182.2945163,,
2014-06-01,202.633823,,
2014-05-01,216.975101,,
2014-04-01,222.4304107,,
2014-03-01,222.3929172,,
2014-02-01,209.3560195,,
2014-01-01,198.7719886,,
2013-12-01,197.5534486,,
2013-11-01,199.1824442,,
2013-10-01,201.7799929,,
2013-09-01,207.4901734,,
2013-08-01,234.9387661,,
2013-07-01,279.0132714,,
2013-06-01,297.1119132,,
2013-05-01,295.368975,,
2013-04-01,279.7648464,,
2013-03-01,309.5792051,,
2013-02-01,302.6103405,,
2013-01-01,303.3602112,,
2012-12-01,308.7504006,,
2012-11-01,321.5968705,,
2012-10-01,321.3824173,,
2012-09-01,320.7059056,,
2012-08-01,332.2334953,,
2012-07-01,332.9988526,,
2012-06-01,267.3289218,,
2012-05-01,268.8849036,,
2012-04-01,274.2192966,,
2012-03-01,280.715052,,
2012-02-01,279.5143214,,
2012-01-01,272.9201455,,
2011-12-01,258.5179405,,
2011-11-01,274.2783489,,
2011-10-01,274.846376,,
2011-09-01,296.2994964,,
2011-08-01,310.3071116,,
2011-07-01,300.8322095,,
2011-06-01,310.5364743,,
2011-05-01,308.5752214,,
2011-04-01,318.938776,,
2011-03-01,290.4347217,,
2011-02-01,293.396797,,
2011-01-01,265.285524,,
2010-12-01,250.6255509,,
2010-11-01,238.2367488,,
2010-10-01,235.703123,,
2010-09-01,205.8395204,,
2010-08-01,175.6001304,,
2010-07-01,163.9217456,,
2010-06-01,152.8739339,,
2010-05-01,163.2403005,,
2010-04-01,157.2666427,,
2010-03-01,158.9277694,,
2010-02-01,161.9069613,,
2010-01-01,167.3356308,,
2009-12-01,164.6128196,,
2009-11-01,171.6868545,,
2009-10-01,167.2791214,,
2009-09-01,150.592793,,
2009-08-01,152.0362942,,
2009-07-01,151.8002554,,
2009-06-01,179.3937946,,
2009-05-01,180.0702121,,
2009-04-01,168.7959054,,
2009-03-01,164.5770304,,
2009-02-01,163.3999605,,
2009-01-01,173.2951299,,
2008-12-01,158.909797,,
2008-11-01,164.3044002,,
2008-10-01,183.0247029,,
2008-09-01,233.9456134,,
2008-08-01,235.1594667,,
2008-07-01,267.1414541,,
2008-06-01,287.1320709,,
2008-05-01,243.5317736,,
2008-04-01,246.6418625,,
2008-03-01,233.9259293,,
2008-02-01,220.0475977,,
2008-01-01,206.5588043,,
2007-12-01,180.2832637,,
2007-11-01,171.1139434,,
2007-10-01,164.1141037,,
2007-09-01,160.1250316,,
2007-08-01,151.0307857,,
2007-07-01,147.2164013,,
2007-06-01,164.5372645,,
2007-05-01,160.1391589,,
2007-04-01,152.6305668,,
2007-03-01,169.5832697,,
2007-02-01,177.3848855,,
2007-01-01,165.160019,,
2006-12-01,160.7207348,,
2006-11-01,164.1064013,,
2006-10-01,142.2624107,,
2006-09-01,120.2698946,,
2006-08-01,115.2772893,,
2006-07-01,114.3056102,,
2006-06-01,109.6123566,,
2006-05-01,110.6246821,,
2006-04-01,107.9103474,,
2006-03-01,104.9520804,,
2006-02-01,106.9365021,,
2006-01-01,102.7904075,,
2005-12-01,102.6760522,,
2005-11-01,95.97970643,,
2005-10-01,101.5512461,,
2005-09-01,97.07076837,,
2005-08-01,99.28663643,,
2005-07-01,105.6642871,,
2005-06-01,97.61527679,,
2005-05-01,95.36481241,,
2005-04-01,96.47087177,,
2005-03-01,100.0140111,,
2005-02-01,94.35939361,,
2005-01-01,96.03875875,,
2004-12-01,95.60852041,,
