Date,Year,Month,Unit,Animal,Weight,Commercial_Or_Federally_Inspected,Live_Or_Dressed,Type_Of_Meat
Aug-2016,2016,8,Average Weight in Pounds,Cattle,"1,352.00",Commercial,Live,Red Meat
Jul-2016,2016,7,Average Weight in Pounds,Cattle,"1,345.00",Commercial,Live,Red Meat
Jun-2016,2016,6,Average Weight in Pounds,Cattle,"1,334.00",Commercial,Live,Red Meat
May-2016,2016,5,Average Weight in Pounds,Cattle,"1,333.00",Commercial,Live,Red Meat
Apr-2016,2016,4,Average Weight in Pounds,Cattle,"1,348.00",Commercial,Live,Red Meat
Mar-2016,2016,3,Average Weight in Pounds,Cattle,"1,370.00",Commercial,Live,Red Meat
Feb-2016,2016,2,Average Weight in Pounds,Cattle,"1,372.00",Commercial,Live,Red Meat
Jan-2016,2016,1,Average Weight in Pounds,Cattle,"1,381.00",Commercial,Live,Red Meat
Dec-2015,2015,12,Average Weight in Pounds,Cattle,"1,388.00",Commercial,Live,Red Meat
Nov-2015,2015,11,Average Weight in Pounds,Cattle,"1,392.00",Commercial,Live,Red Meat
Oct-2015,2015,10,Average Weight in Pounds,Cattle,"1,390.00",Commercial,Live,Red Meat
Sep-2015,2015,9,Average Weight in Pounds,Cattle,"1,382.00",Commercial,Live,Red Meat
Aug-2015,2015,8,Average Weight in Pounds,Cattle,"1,363.00",Commercial,Live,Red Meat
Jul-2015,2015,7,Average Weight in Pounds,Cattle,"1,346.00",Commercial,Live,Red Meat
Jun-2015,2015,6,Average Weight in Pounds,Cattle,"1,332.00",Commercial,Live,Red Meat
May-2015,2015,5,Average Weight in Pounds,Cattle,"1,332.00",Commercial,Live,Red Meat
Apr-2015,2015,4,Average Weight in Pounds,Cattle,"1,338.00",Commercial,Live,Red Meat
Mar-2015,2015,3,Average Weight in Pounds,Cattle,"1,347.00",Commercial,Live,Red Meat
Feb-2015,2015,2,Average Weight in Pounds,Cattle,"1,355.00",Commercial,Live,Red Meat
Jan-2015,2015,1,Average Weight in Pounds,Cattle,"1,358.00",Commercial,Live,Red Meat
Dec-2014,2014,12,Average Weight in Pounds,Cattle,"1,363.00",Commercial,Live,Red Meat
Nov-2014,2014,11,Average Weight in Pounds,Cattle,"1,363.00",Commercial,Live,Red Meat
Oct-2014,2014,10,Average Weight in Pounds,Cattle,"1,355.00",Commercial,Live,Red Meat
Sep-2014,2014,9,Average Weight in Pounds,Cattle,"1,344.00",Commercial,Live,Red Meat
Aug-2014,2014,8,Average Weight in Pounds,Cattle,"1,329.00",Commercial,Live,Red Meat
Jul-2014,2014,7,Average Weight in Pounds,Cattle,"1,320.00",Commercial,Live,Red Meat
Jun-2014,2014,6,Average Weight in Pounds,Cattle,"1,307.00",Commercial,Live,Red Meat
May-2014,2014,5,Average Weight in Pounds,Cattle,"1,299.00",Commercial,Live,Red Meat
Apr-2014,2014,4,Average Weight in Pounds,Cattle,"1,306.00",Commercial,Live,Red Meat
Mar-2014,2014,3,Average Weight in Pounds,Cattle,"1,318.00",Commercial,Live,Red Meat
Feb-2014,2014,2,Average Weight in Pounds,Cattle,"1,330.00",Commercial,Live,Red Meat
Jan-2014,2014,1,Average Weight in Pounds,Cattle,"1,334.00",Commercial,Live,Red Meat
Dec-2013,2013,12,Average Weight in Pounds,Cattle,"1,334.00",Commercial,Live,Red Meat
Nov-2013,2013,11,Average Weight in Pounds,Cattle,"1,339.00",Commercial,Live,Red Meat
Oct-2013,2013,10,Average Weight in Pounds,Cattle,"1,327.00",Commercial,Live,Red Meat
Sep-2013,2013,9,Average Weight in Pounds,Cattle,"1,313.00",Commercial,Live,Red Meat
Aug-2013,2013,8,Average Weight in Pounds,Cattle,"1,310.00",Commercial,Live,Red Meat
Jul-2013,2013,7,Average Weight in Pounds,Cattle,"1,302.00",Commercial,Live,Red Meat
Jun-2013,2013,6,Average Weight in Pounds,Cattle,"1,300.00",Commercial,Live,Red Meat
May-2013,2013,5,Average Weight in Pounds,Cattle,"1,289.00",Commercial,Live,Red Meat
Apr-2013,2013,4,Average Weight in Pounds,Cattle,"1,296.00",Commercial,Live,Red Meat
Mar-2013,2013,3,Average Weight in Pounds,Cattle,"1,313.00",Commercial,Live,Red Meat
Feb-2013,2013,2,Average Weight in Pounds,Cattle,"1,320.00",Commercial,Live,Red Meat
Jan-2013,2013,1,Average Weight in Pounds,Cattle,"1,328.00",Commercial,Live,Red Meat
Dec-2012,2012,12,Average Weight in Pounds,Cattle,"1,324.00",Commercial,Live,Red Meat
Nov-2012,2012,11,Average Weight in Pounds,Cattle,"1,321.00",Commercial,Live,Red Meat
Oct-2012,2012,10,Average Weight in Pounds,Cattle,"1,318.00",Commercial,Live,Red Meat
Sep-2012,2012,9,Average Weight in Pounds,Cattle,"1,311.00",Commercial,Live,Red Meat
Aug-2012,2012,8,Average Weight in Pounds,Cattle,"1,300.00",Commercial,Live,Red Meat
Jul-2012,2012,7,Average Weight in Pounds,Cattle,"1,295.00",Commercial,Live,Red Meat
Jun-2012,2012,6,Average Weight in Pounds,Cattle,"1,290.00",Commercial,Live,Red Meat
May-2012,2012,5,Average Weight in Pounds,Cattle,"1,280.00",Commercial,Live,Red Meat
Apr-2012,2012,4,Average Weight in Pounds,Cattle,"1,281.00",Commercial,Live,Red Meat
Mar-2012,2012,3,Average Weight in Pounds,Cattle,"1,299.00",Commercial,Live,Red Meat
Feb-2012,2012,2,Average Weight in Pounds,Cattle,"1,307.00",Commercial,Live,Red Meat
Jan-2012,2012,1,Average Weight in Pounds,Cattle,"1,300.00",Commercial,Live,Red Meat
Dec-2011,2011,12,Average Weight in Pounds,Cattle,"1,297.00",Commercial,Live,Red Meat
Nov-2011,2011,11,Average Weight in Pounds,Cattle,"1,293.00",Commercial,Live,Red Meat
Oct-2011,2011,10,Average Weight in Pounds,Cattle,"1,289.00",Commercial,Live,Red Meat
Sep-2011,2011,9,Average Weight in Pounds,Cattle,"1,278.00",Commercial,Live,Red Meat
Aug-2011,2011,8,Average Weight in Pounds,Cattle,"1,270.00",Commercial,Live,Red Meat
Jul-2011,2011,7,Average Weight in Pounds,Cattle,"1,272.00",Commercial,Live,Red Meat
Jun-2011,2011,6,Average Weight in Pounds,Cattle,"1,262.00",Commercial,Live,Red Meat
May-2011,2011,5,Average Weight in Pounds,Cattle,"1,253.00",Commercial,Live,Red Meat
Apr-2011,2011,4,Average Weight in Pounds,Cattle,"1,257.00",Commercial,Live,Red Meat
Mar-2011,2011,3,Average Weight in Pounds,Cattle,"1,276.00",Commercial,Live,Red Meat
Feb-2011,2011,2,Average Weight in Pounds,Cattle,"1,286.00",Commercial,Live,Red Meat
Jan-2011,2011,1,Average Weight in Pounds,Cattle,"1,301.00",Commercial,Live,Red Meat
Dec-2010,2010,12,Average Weight in Pounds,Cattle,"1,305.00",Commercial,Live,Red Meat
Nov-2010,2010,11,Average Weight in Pounds,Cattle,"1,299.00",Commercial,Live,Red Meat
Oct-2010,2010,10,Average Weight in Pounds,Cattle,"1,298.00",Commercial,Live,Red Meat
Sep-2010,2010,9,Average Weight in Pounds,Cattle,"1,289.00",Commercial,Live,Red Meat
Aug-2010,2010,8,Average Weight in Pounds,Cattle,"1,277.00",Commercial,Live,Red Meat
Jul-2010,2010,7,Average Weight in Pounds,Cattle,"1,273.00",Commercial,Live,Red Meat
Jun-2010,2010,6,Average Weight in Pounds,Cattle,"1,261.00",Commercial,Live,Red Meat
May-2010,2010,5,Average Weight in Pounds,Cattle,"1,250.00",Commercial,Live,Red Meat
Apr-2010,2010,4,Average Weight in Pounds,Cattle,"1,253.00",Commercial,Live,Red Meat
Mar-2010,2010,3,Average Weight in Pounds,Cattle,"1,273.00",Commercial,Live,Red Meat
Feb-2010,2010,2,Average Weight in Pounds,Cattle,"1,285.00",Commercial,Live,Red Meat
Jan-2010,2010,1,Average Weight in Pounds,Cattle,"1,290.00",Commercial,Live,Red Meat
Dec-2009,2009,12,Average Weight in Pounds,Cattle,"1,296.00",Commercial,Live,Red Meat
Nov-2009,2009,11,Average Weight in Pounds,Cattle,"1,298.00",Commercial,Live,Red Meat
Oct-2009,2009,10,Average Weight in Pounds,Cattle,"1,312.00",Commercial,Live,Red Meat
Sep-2009,2009,9,Average Weight in Pounds,Cattle,"1,310.00",Commercial,Live,Red Meat
Aug-2009,2009,8,Average Weight in Pounds,Cattle,"1,293.00",Commercial,Live,Red Meat
Jul-2009,2009,7,Average Weight in Pounds,Cattle,"1,282.00",Commercial,Live,Red Meat
Jun-2009,2009,6,Average Weight in Pounds,Cattle,"1,269.00",Commercial,Live,Red Meat
May-2009,2009,5,Average Weight in Pounds,Cattle,"1,264.00",Commercial,Live,Red Meat
Apr-2009,2009,4,Average Weight in Pounds,Cattle,"1,276.00",Commercial,Live,Red Meat
Mar-2009,2009,3,Average Weight in Pounds,Cattle,"1,305.00",Commercial,Live,Red Meat
Feb-2009,2009,2,Average Weight in Pounds,Cattle,"1,310.00",Commercial,Live,Red Meat
Jan-2009,2009,1,Average Weight in Pounds,Cattle,"1,306.00",Commercial,Live,Red Meat
Dec-2008,2008,12,Average Weight in Pounds,Cattle,"1,303.00",Commercial,Live,Red Meat
Nov-2008,2008,11,Average Weight in Pounds,Cattle,"1,302.00",Commercial,Live,Red Meat
Oct-2008,2008,10,Average Weight in Pounds,Cattle,"1,303.00",Commercial,Live,Red Meat
Sep-2008,2008,9,Average Weight in Pounds,Cattle,"1,297.00",Commercial,Live,Red Meat
Aug-2008,2008,8,Average Weight in Pounds,Cattle,"1,284.00",Commercial,Live,Red Meat
Jul-2008,2008,7,Average Weight in Pounds,Cattle,"1,273.00",Commercial,Live,Red Meat
Jun-2008,2008,6,Average Weight in Pounds,Cattle,"1,261.00",Commercial,Live,Red Meat
May-2008,2008,5,Average Weight in Pounds,Cattle,"1,251.00",Commercial,Live,Red Meat
Apr-2008,2008,4,Average Weight in Pounds,Cattle,"1,259.00",Commercial,Live,Red Meat
Mar-2008,2008,3,Average Weight in Pounds,Cattle,"1,276.00",Commercial,Live,Red Meat
Feb-2008,2008,2,Average Weight in Pounds,Cattle,"1,285.00",Commercial,Live,Red Meat
Jan-2008,2008,1,Average Weight in Pounds,Cattle,"1,291.00",Commercial,Live,Red Meat
Dec-2007,2007,12,Average Weight in Pounds,Cattle,"1,302.00",Commercial,Live,Red Meat
Nov-2007,2007,11,Average Weight in Pounds,Cattle,"1,304.00",Commercial,Live,Red Meat
Oct-2007,2007,10,Average Weight in Pounds,Cattle,"1,300.00",Commercial,Live,Red Meat
Sep-2007,2007,9,Average Weight in Pounds,Cattle,"1,290.00",Commercial,Live,Red Meat
Aug-2007,2007,8,Average Weight in Pounds,Cattle,"1,279.00",Commercial,Live,Red Meat
Jul-2007,2007,7,Average Weight in Pounds,Cattle,"1,269.00",Commercial,Live,Red Meat
Jun-2007,2007,6,Average Weight in Pounds,Cattle,"1,250.00",Commercial,Live,Red Meat
May-2007,2007,5,Average Weight in Pounds,Cattle,"1,232.00",Commercial,Live,Red Meat
Apr-2007,2007,4,Average Weight in Pounds,Cattle,"1,235.00",Commercial,Live,Red Meat
Mar-2007,2007,3,Average Weight in Pounds,Cattle,"1,260.00",Commercial,Live,Red Meat
Feb-2007,2007,2,Average Weight in Pounds,Cattle,"1,274.00",Commercial,Live,Red Meat
Jan-2007,2007,1,Average Weight in Pounds,Cattle,"1,290.00",Commercial,Live,Red Meat
Dec-2006,2006,12,Average Weight in Pounds,Cattle,"1,300.00",Commercial,Live,Red Meat
Nov-2006,2006,11,Average Weight in Pounds,Cattle,"1,295.00",Commercial,Live,Red Meat
Oct-2006,2006,10,Average Weight in Pounds,Cattle,"1,291.00",Commercial,Live,Red Meat
Sep-2006,2006,9,Average Weight in Pounds,Cattle,"1,285.00",Commercial,Live,Red Meat
Aug-2006,2006,8,Average Weight in Pounds,Cattle,"1,276.00",Commercial,Live,Red Meat
Jul-2006,2006,7,Average Weight in Pounds,Cattle,"1,273.00",Commercial,Live,Red Meat
Jun-2006,2006,6,Average Weight in Pounds,Cattle,"1,264.00",Commercial,Live,Red Meat
May-2006,2006,5,Average Weight in Pounds,Cattle,"1,244.00",Commercial,Live,Red Meat
Apr-2006,2006,4,Average Weight in Pounds,Cattle,"1,240.00",Commercial,Live,Red Meat
Mar-2006,2006,3,Average Weight in Pounds,Cattle,"1,269.00",Commercial,Live,Red Meat
Feb-2006,2006,2,Average Weight in Pounds,Cattle,"1,284.00",Commercial,Live,Red Meat
Jan-2006,2006,1,Average Weight in Pounds,Cattle,"1,285.00",Commercial,Live,Red Meat
Dec-2005,2005,12,Average Weight in Pounds,Cattle,"1,280.00",Commercial,Live,Red Meat
Nov-2005,2005,11,Average Weight in Pounds,Cattle,"1,284.00",Commercial,Live,Red Meat
Oct-2005,2005,10,Average Weight in Pounds,Cattle,"1,280.00",Commercial,Live,Red Meat
Sep-2005,2005,9,Average Weight in Pounds,Cattle,"1,275.00",Commercial,Live,Red Meat
Aug-2005,2005,8,Average Weight in Pounds,Cattle,"1,266.00",Commercial,Live,Red Meat
Jul-2005,2005,7,Average Weight in Pounds,Cattle,"1,254.00",Commercial,Live,Red Meat
Jun-2005,2005,6,Average Weight in Pounds,Cattle,"1,245.00",Commercial,Live,Red Meat
May-2005,2005,5,Average Weight in Pounds,Cattle,"1,222.00",Commercial,Live,Red Meat
Apr-2005,2005,4,Average Weight in Pounds,Cattle,"1,218.00",Commercial,Live,Red Meat
Mar-2005,2005,3,Average Weight in Pounds,Cattle,"1,237.00",Commercial,Live,Red Meat
Feb-2005,2005,2,Average Weight in Pounds,Cattle,"1,253.00",Commercial,Live,Red Meat
Jan-2005,2005,1,Average Weight in Pounds,Cattle,"1,262.00",Commercial,Live,Red Meat
Dec-2004,2004,12,Average Weight in Pounds,Cattle,"1,268.00",Commercial,Live,Red Meat
Nov-2004,2004,11,Average Weight in Pounds,Cattle,"1,268.00",Commercial,Live,Red Meat
Oct-2004,2004,10,Average Weight in Pounds,Cattle,"1,267.00",Commercial,Live,Red Meat
Sep-2004,2004,9,Average Weight in Pounds,Cattle,"1,265.00",Commercial,Live,Red Meat
Aug-2004,2004,8,Average Weight in Pounds,Cattle,"1,252.00",Commercial,Live,Red Meat
Jul-2004,2004,7,Average Weight in Pounds,Cattle,"1,239.00",Commercial,Live,Red Meat
Jun-2004,2004,6,Average Weight in Pounds,Cattle,"1,225.00",Commercial,Live,Red Meat
May-2004,2004,5,Average Weight in Pounds,Cattle,"1,204.00",Commercial,Live,Red Meat
Apr-2004,2004,4,Average Weight in Pounds,Cattle,"1,200.00",Commercial,Live,Red Meat
Mar-2004,2004,3,Average Weight in Pounds,Cattle,"1,217.00",Commercial,Live,Red Meat
Feb-2004,2004,2,Average Weight in Pounds,Cattle,"1,233.00",Commercial,Live,Red Meat
Jan-2004,2004,1,Average Weight in Pounds,Cattle,"1,249.00",Commercial,Live,Red Meat
Dec-2003,2003,12,Average Weight in Pounds,Cattle,"1,244.00",Commercial,Live,Red Meat
Nov-2003,2003,11,Average Weight in Pounds,Cattle,"1,236.00",Commercial,Live,Red Meat
Oct-2003,2003,10,Average Weight in Pounds,Cattle,"1,231.00",Commercial,Live,Red Meat
Sep-2003,2003,9,Average Weight in Pounds,Cattle,"1,228.00",Commercial,Live,Red Meat
Aug-2003,2003,8,Average Weight in Pounds,Cattle,"1,225.00",Commercial,Live,Red Meat
Jul-2003,2003,7,Average Weight in Pounds,Cattle,"1,225.00",Commercial,Live,Red Meat
Jun-2003,2003,6,Average Weight in Pounds,Cattle,"1,217.00",Commercial,Live,Red Meat
May-2003,2003,5,Average Weight in Pounds,Cattle,"1,208.00",Commercial,Live,Red Meat
Apr-2003,2003,4,Average Weight in Pounds,Cattle,"1,209.00",Commercial,Live,Red Meat
Mar-2003,2003,3,Average Weight in Pounds,Cattle,"1,234.00",Commercial,Live,Red Meat
Feb-2003,2003,2,Average Weight in Pounds,Cattle,"1,261.00",Commercial,Live,Red Meat
Jan-2003,2003,1,Average Weight in Pounds,Cattle,"1,269.00",Commercial,Live,Red Meat
Dec-2002,2002,12,Average Weight in Pounds,Cattle,"1,265.00",Commercial,Live,Red Meat
Nov-2002,2002,11,Average Weight in Pounds,Cattle,"1,260.00",Commercial,Live,Red Meat
Oct-2002,2002,10,Average Weight in Pounds,Cattle,"1,270.00",Commercial,Live,Red Meat
Sep-2002,2002,9,Average Weight in Pounds,Cattle,"1,263.00",Commercial,Live,Red Meat
Aug-2002,2002,8,Average Weight in Pounds,Cattle,"1,259.00",Commercial,Live,Red Meat
Jul-2002,2002,7,Average Weight in Pounds,Cattle,"1,248.00",Commercial,Live,Red Meat
Jun-2002,2002,6,Average Weight in Pounds,Cattle,"1,236.00",Commercial,Live,Red Meat
May-2002,2002,5,Average Weight in Pounds,Cattle,"1,223.00",Commercial,Live,Red Meat
Apr-2002,2002,4,Average Weight in Pounds,Cattle,"1,227.00",Commercial,Live,Red Meat
Mar-2002,2002,3,Average Weight in Pounds,Cattle,"1,241.00",Commercial,Live,Red Meat
Feb-2002,2002,2,Average Weight in Pounds,Cattle,"1,255.00",Commercial,Live,Red Meat
Jan-2002,2002,1,Average Weight in Pounds,Cattle,"1,260.00",Commercial,Live,Red Meat
Dec-2001,2001,12,Average Weight in Pounds,Cattle,"1,256.00",Commercial,Live,Red Meat
Nov-2001,2001,11,Average Weight in Pounds,Cattle,"1,255.00",Commercial,Live,Red Meat
Oct-2001,2001,10,Average Weight in Pounds,Cattle,"1,247.00",Commercial,Live,Red Meat
Sep-2001,2001,9,Average Weight in Pounds,Cattle,"1,240.00",Commercial,Live,Red Meat
Aug-2001,2001,8,Average Weight in Pounds,Cattle,"1,228.00",Commercial,Live,Red Meat
Jul-2001,2001,7,Average Weight in Pounds,Cattle,"1,216.00",Commercial,Live,Red Meat
Jun-2001,2001,6,Average Weight in Pounds,Cattle,"1,198.00",Commercial,Live,Red Meat
May-2001,2001,5,Average Weight in Pounds,Cattle,"1,184.00",Commercial,Live,Red Meat
Apr-2001,2001,4,Average Weight in Pounds,Cattle,"1,186.00",Commercial,Live,Red Meat
Mar-2001,2001,3,Average Weight in Pounds,Cattle,"1,199.00",Commercial,Live,Red Meat
Feb-2001,2001,2,Average Weight in Pounds,Cattle,"1,217.00",Commercial,Live,Red Meat
Jan-2001,2001,1,Average Weight in Pounds,Cattle,"1,226.00",Commercial,Live,Red Meat
Dec-2000,2000,12,Average Weight in Pounds,Cattle,"1,224.00",Commercial,Live,Red Meat
Nov-2000,2000,11,Average Weight in Pounds,Cattle,"1,230.00",Commercial,Live,Red Meat
Oct-2000,2000,10,Average Weight in Pounds,Cattle,"1,231.00",Commercial,Live,Red Meat
Sep-2000,2000,9,Average Weight in Pounds,Cattle,"1,231.00",Commercial,Live,Red Meat
Aug-2000,2000,8,Average Weight in Pounds,Cattle,"1,226.00",Commercial,Live,Red Meat
Jul-2000,2000,7,Average Weight in Pounds,Cattle,"1,220.00",Commercial,Live,Red Meat
Jun-2000,2000,6,Average Weight in Pounds,Cattle,"1,205.00",Commercial,Live,Red Meat
May-2000,2000,5,Average Weight in Pounds,Cattle,"1,196.00",Commercial,Live,Red Meat
