Date,Year,Month,Unit,Production,Animal,Commercial or Federally Inspected,Type of Meat
Nov-2021,2021,11,Million Pounds,"2,380.10",Beef,Commercial,Red Meat
Oct-2021,2021,10,Million Pounds,"2,363.50",Beef,Commercial,Red Meat
Sep-2021,2021,9,Million Pounds,"2,300.00",Beef,Commercial,Red Meat
Aug-2021,2021,8,Million Pounds,"2,360.60",Beef,Commercial,Red Meat
Jul-2021,2021,7,Million Pounds,"2,318.60",Beef,Commercial,Red Meat
Jun-2021,2021,6,Million Pounds,"2,400.70",Beef,Commercial,Red Meat
May-2021,2021,5,Million Pounds,"2,213.90",Beef,Commercial,Red Meat
Apr-2021,2021,4,Million Pounds,"2,348.60",Beef,Commercial,Red Meat
Mar-2021,2021,3,Million Pounds,"2,481.70",Beef,Commercial,Red Meat
Feb-2021,2021,2,Million Pounds,"2,107.60",Beef,Commercial,Red Meat
Jan-2021,2021,1,Million Pounds,"2,310.40",Beef,Commercial,Red Meat
Dec-2020,2020,12,Million Pounds,"2,327.40",Beef,Commercial,Red Meat
Nov-2020,2020,11,Million Pounds,"2,267.30",Beef,Commercial,Red Meat
Oct-2020,2020,10,Million Pounds,"2,474.20",Beef,Commercial,Red Meat
Sep-2020,2020,9,Million Pounds,"2,356.50",Beef,Commercial,Red Meat
Aug-2020,2020,8,Million Pounds,"2,335.60",Beef,Commercial,Red Meat
Jul-2020,2020,7,Million Pounds,"2,423.20",Beef,Commercial,Red Meat
Jun-2020,2020,6,Million Pounds,"2,375.70",Beef,Commercial,Red Meat
May-2020,2020,5,Million Pounds,"1,865.60",Beef,Commercial,Red Meat
Apr-2020,2020,4,Million Pounds,"1,817.30",Beef,Commercial,Red Meat
Mar-2020,2020,3,Million Pounds,"2,411.20",Beef,Commercial,Red Meat
Feb-2020,2020,2,Million Pounds,"2,131.30",Beef,Commercial,Red Meat
Jan-2020,2020,1,Million Pounds,"2,388.40",Beef,Commercial,Red Meat
Dec-2019,2019,12,Million Pounds,"2,265.10",Beef,Commercial,Red Meat
Nov-2019,2019,11,Million Pounds,"2,296.90",Beef,Commercial,Red Meat
Oct-2019,2019,10,Million Pounds,"2,439.30",Beef,Commercial,Red Meat
Sep-2019,2019,9,Million Pounds,"2,188.60",Beef,Commercial,Red Meat
Aug-2019,2019,8,Million Pounds,"2,373.40",Beef,Commercial,Red Meat
Jul-2019,2019,7,Million Pounds,"2,360.70",Beef,Commercial,Red Meat
Jun-2019,2019,6,Million Pounds,"2,227.10",Beef,Commercial,Red Meat
May-2019,2019,5,Million Pounds,"2,328.00",Beef,Commercial,Red Meat
Apr-2019,2019,4,Million Pounds,"2,261.70",Beef,Commercial,Red Meat
Mar-2019,2019,3,Million Pounds,"2,117.10",Beef,Commercial,Red Meat
Feb-2019,2019,2,Million Pounds,"1,987.10",Beef,Commercial,Red Meat
Jan-2019,2019,1,Million Pounds,"2,309.60",Beef,Commercial,Red Meat
Dec-2018,2018,12,Million Pounds,"2,116.00",Beef,Commercial,Red Meat
Nov-2018,2018,11,Million Pounds,"2,315.10",Beef,Commercial,Red Meat
Oct-2018,2018,10,Million Pounds,"2,430.60",Beef,Commercial,Red Meat
Sep-2018,2018,9,Million Pounds,"2,157.50",Beef,Commercial,Red Meat
Aug-2018,2018,8,Million Pounds,"2,429.60",Beef,Commercial,Red Meat
Jul-2018,2018,7,Million Pounds,"2,231.60",Beef,Commercial,Red Meat
Jun-2018,2018,6,Million Pounds,"2,300.90",Beef,Commercial,Red Meat
May-2018,2018,5,Million Pounds,"2,307.00",Beef,Commercial,Red Meat
Apr-2018,2018,4,Million Pounds,"2,117.70",Beef,Commercial,Red Meat
Mar-2018,2018,3,Million Pounds,"2,203.50",Beef,Commercial,Red Meat
Feb-2018,2018,2,Million Pounds,"1,983.90",Beef,Commercial,Red Meat
Jan-2018,2018,1,Million Pounds,"2,279.00",Beef,Commercial,Red Meat
Dec-2017,2017,12,Million Pounds,"2,148.40",Beef,Commercial,Red Meat
Nov-2017,2017,11,Million Pounds,"2,290.60",Beef,Commercial,Red Meat
Oct-2017,2017,10,Million Pounds,"2,303.00",Beef,Commercial,Red Meat
Sep-2017,2017,9,Million Pounds,"2,225.60",Beef,Commercial,Red Meat
Aug-2017,2017,8,Million Pounds,"2,402.10",Beef,Commercial,Red Meat
Jul-2017,2017,7,Million Pounds,"2,107.90",Beef,Commercial,Red Meat
Jun-2017,2017,6,Million Pounds,"2,280.30",Beef,Commercial,Red Meat
May-2017,2017,5,Million Pounds,"2,163.40",Beef,Commercial,Red Meat
Apr-2017,2017,4,Million Pounds,"1,963.10",Beef,Commercial,Red Meat
Mar-2017,2017,3,Million Pounds,"2,249.70",Beef,Commercial,Red Meat
Feb-2017,2017,2,Million Pounds,"1,933.90",Beef,Commercial,Red Meat
Jan-2017,2017,1,Million Pounds,"2,119.30",Beef,Commercial,Red Meat
Dec-2016,2016,12,Million Pounds,"2,173.30",Beef,Commercial,Red Meat
Nov-2016,2016,11,Million Pounds,"2,240.20",Beef,Commercial,Red Meat
Oct-2016,2016,10,Million Pounds,"2,211.20",Beef,Commercial,Red Meat
Sep-2016,2016,9,Million Pounds,"2,181.50",Beef,Commercial,Red Meat
Aug-2016,2016,8,Million Pounds,"2,265.80",Beef,Commercial,Red Meat
Jul-2016,2016,7,Million Pounds,"2,024.20",Beef,Commercial,Red Meat
Jun-2016,2016,6,Million Pounds,"2,193.00",Beef,Commercial,Red Meat
May-2016,2016,5,Million Pounds,"2,030.20",Beef,Commercial,Red Meat
Apr-2016,2016,4,Million Pounds,"1,964.00",Beef,Commercial,Red Meat
Mar-2016,2016,3,Million Pounds,"2,097.30",Beef,Commercial,Red Meat
Feb-2016,2016,2,Million Pounds,"1,886.00",Beef,Commercial,Red Meat
Jan-2016,2016,1,Million Pounds,"1,954.20",Beef,Commercial,Red Meat
Dec-2015,2015,12,Million Pounds,"2,046.30",Beef,Commercial,Red Meat
Nov-2015,2015,11,Million Pounds,"1,936.10",Beef,Commercial,Red Meat
Oct-2015,2015,10,Million Pounds,"2,126.30",Beef,Commercial,Red Meat
Sep-2015,2015,9,Million Pounds,"2,086.60",Beef,Commercial,Red Meat
Aug-2015,2015,8,Million Pounds,"1,934.90",Beef,Commercial,Red Meat
Jul-2015,2015,7,Million Pounds,"2,046.80",Beef,Commercial,Red Meat
Jun-2015,2015,6,Million Pounds,"2,001.60",Beef,Commercial,Red Meat
May-2015,2015,5,Million Pounds,"1,925.50",Beef,Commercial,Red Meat
Apr-2015,2015,4,Million Pounds,"1,928.80",Beef,Commercial,Red Meat
Mar-2015,2015,3,Million Pounds,"1,933.30",Beef,Commercial,Red Meat
Feb-2015,2015,2,Million Pounds,"1,768.10",Beef,Commercial,Red Meat
Jan-2015,2015,1,Million Pounds,"1,963.50",Beef,Commercial,Red Meat
Dec-2014,2014,12,Million Pounds,"2,000.20",Beef,Commercial,Red Meat
Nov-2014,2014,11,Million Pounds,"1,849.50",Beef,Commercial,Red Meat
Oct-2014,2014,10,Million Pounds,"2,171.10",Beef,Commercial,Red Meat
Sep-2014,2014,9,Million Pounds,"2,068.40",Beef,Commercial,Red Meat
Aug-2014,2014,8,Million Pounds,"2,023.50",Beef,Commercial,Red Meat
Jul-2014,2014,7,Million Pounds,"2,087.40",Beef,Commercial,Red Meat
Jun-2014,2014,6,Million Pounds,"2,069.00",Beef,Commercial,Red Meat
May-2014,2014,5,Million Pounds,"2,071.70",Beef,Commercial,Red Meat
Apr-2014,2014,4,Million Pounds,"2,043.10",Beef,Commercial,Red Meat
Mar-2014,2014,3,Million Pounds,"1,937.00",Beef,Commercial,Red Meat
Feb-2014,2014,2,Million Pounds,"1,788.40",Beef,Commercial,Red Meat
Jan-2014,2014,1,Million Pounds,"2,140.90",Beef,Commercial,Red Meat
Dec-2013,2013,12,Million Pounds,"2,047.30",Beef,Commercial,Red Meat
Nov-2013,2013,11,Million Pounds,"2,057.60",Beef,Commercial,Red Meat
Oct-2013,2013,10,Million Pounds,"2,318.20",Beef,Commercial,Red Meat
Sep-2013,2013,9,Million Pounds,"2,073.80",Beef,Commercial,Red Meat
Aug-2013,2013,8,Million Pounds,"2,241.20",Beef,Commercial,Red Meat
Jul-2013,2013,7,Million Pounds,"2,294.10",Beef,Commercial,Red Meat
Jun-2013,2013,6,Million Pounds,"2,157.00",Beef,Commercial,Red Meat
May-2013,2013,5,Million Pounds,"2,227.60",Beef,Commercial,Red Meat
Apr-2013,2013,4,Million Pounds,"2,128.60",Beef,Commercial,Red Meat
Mar-2013,2013,3,Million Pounds,"2,039.80",Beef,Commercial,Red Meat
Feb-2013,2013,2,Million Pounds,"1,873.40",Beef,Commercial,Red Meat
Jan-2013,2013,1,Million Pounds,"2,261.30",Beef,Commercial,Red Meat
Dec-2012,2012,12,Million Pounds,"2,020.10",Beef,Commercial,Red Meat
Nov-2012,2012,11,Million Pounds,"2,207.50",Beef,Commercial,Red Meat
Oct-2012,2012,10,Million Pounds,"2,344.80",Beef,Commercial,Red Meat
Sep-2012,2012,9,Million Pounds,"2,015.50",Beef,Commercial,Red Meat
Aug-2012,2012,8,Million Pounds,"2,368.60",Beef,Commercial,Red Meat
Jul-2012,2012,7,Million Pounds,"2,201.40",Beef,Commercial,Red Meat
Jun-2012,2012,6,Million Pounds,"2,250.70",Beef,Commercial,Red Meat
May-2012,2012,5,Million Pounds,"2,231.90",Beef,Commercial,Red Meat
Apr-2012,2012,4,Million Pounds,"1,990.60",Beef,Commercial,Red Meat
Mar-2012,2012,3,Million Pounds,"2,159.50",Beef,Commercial,Red Meat
Feb-2012,2012,2,Million Pounds,"2,008.90",Beef,Commercial,Red Meat
Jan-2012,2012,1,Million Pounds,"2,113.10",Beef,Commercial,Red Meat
Dec-2011,2011,12,Million Pounds,"2,126.30",Beef,Commercial,Red Meat
Nov-2011,2011,11,Million Pounds,"2,148.80",Beef,Commercial,Red Meat
Oct-2011,2011,10,Million Pounds,"2,215.10",Beef,Commercial,Red Meat
Sep-2011,2011,9,Million Pounds,"2,215.20",Beef,Commercial,Red Meat
Aug-2011,2011,8,Million Pounds,"2,386.90",Beef,Commercial,Red Meat
Jul-2011,2011,7,Million Pounds,"2,134.10",Beef,Commercial,Red Meat
Jun-2011,2011,6,Million Pounds,"2,375.00",Beef,Commercial,Red Meat
May-2011,2011,5,Million Pounds,"2,131.90",Beef,Commercial,Red Meat
Apr-2011,2011,4,Million Pounds,"2,052.50",Beef,Commercial,Red Meat
Mar-2011,2011,3,Million Pounds,"2,266.20",Beef,Commercial,Red Meat
Feb-2011,2011,2,Million Pounds,"2,020.40",Beef,Commercial,Red Meat
Jan-2011,2011,1,Million Pounds,"2,122.90",Beef,Commercial,Red Meat
Dec-2010,2010,12,Million Pounds,"2,270.90",Beef,Commercial,Red Meat
Nov-2010,2010,11,Million Pounds,"2,235.50",Beef,Commercial,Red Meat
Oct-2010,2010,10,Million Pounds,"2,234.90",Beef,Commercial,Red Meat
Sep-2010,2010,9,Million Pounds,"2,252.20",Beef,Commercial,Red Meat
Aug-2010,2010,8,Million Pounds,"2,286.60",Beef,Commercial,Red Meat
Jul-2010,2010,7,Million Pounds,"2,229.60",Beef,Commercial,Red Meat
Jun-2010,2010,6,Million Pounds,"2,320.00",Beef,Commercial,Red Meat
May-2010,2010,5,Million Pounds,"2,087.20",Beef,Commercial,Red Meat
Apr-2010,2010,4,Million Pounds,"2,139.20",Beef,Commercial,Red Meat
Mar-2010,2010,3,Million Pounds,"2,211.20",Beef,Commercial,Red Meat
Feb-2010,2010,2,Million Pounds,"1,955.20",Beef,Commercial,Red Meat
Jan-2010,2010,1,Million Pounds,"2,081.80",Beef,Commercial,Red Meat
Dec-2009,2009,12,Million Pounds,"2,134.40",Beef,Commercial,Red Meat
Nov-2009,2009,11,Million Pounds,"2,016.10",Beef,Commercial,Red Meat
Oct-2009,2009,10,Million Pounds,"2,275.70",Beef,Commercial,Red Meat
Sep-2009,2009,9,Million Pounds,"2,234.10",Beef,Commercial,Red Meat
Aug-2009,2009,8,Million Pounds,"2,184.20",Beef,Commercial,Red Meat
Jul-2009,2009,7,Million Pounds,"2,271.20",Beef,Commercial,Red Meat
Jun-2009,2009,6,Million Pounds,"2,289.00",Beef,Commercial,Red Meat
May-2009,2009,5,Million Pounds,"2,179.40",Beef,Commercial,Red Meat
Apr-2009,2009,4,Million Pounds,"2,133.40",Beef,Commercial,Red Meat
Mar-2009,2009,3,Million Pounds,"2,144.00",Beef,Commercial,Red Meat
Feb-2009,2009,2,Million Pounds,"1,986.00",Beef,Commercial,Red Meat
Jan-2009,2009,1,Million Pounds,"2,117.90",Beef,Commercial,Red Meat
Dec-2008,2008,12,Million Pounds,"2,082.00",Beef,Commercial,Red Meat
Nov-2008,2008,11,Million Pounds,"1,959.30",Beef,Commercial,Red Meat
Oct-2008,2008,10,Million Pounds,"2,340.90",Beef,Commercial,Red Meat
Sep-2008,2008,9,Million Pounds,"2,269.90",Beef,Commercial,Red Meat
Aug-2008,2008,8,Million Pounds,"2,266.80",Beef,Commercial,Red Meat
Jul-2008,2008,7,Million Pounds,"2,371.60",Beef,Commercial,Red Meat
Jun-2008,2008,6,Million Pounds,"2,263.40",Beef,Commercial,Red Meat
May-2008,2008,5,Million Pounds,"2,380.10",Beef,Commercial,Red Meat
Apr-2008,2008,4,Million Pounds,"2,255.40",Beef,Commercial,Red Meat
Mar-2008,2008,3,Million Pounds,"2,100.50",Beef,Commercial,Red Meat
Feb-2008,2008,2,Million Pounds,"2,038.60",Beef,Commercial,Red Meat
Jan-2008,2008,1,Million Pounds,"2,232.70",Beef,Commercial,Red Meat
Dec-2007,2007,12,Million Pounds,"2,061.40",Beef,Commercial,Red Meat
Nov-2007,2007,11,Million Pounds,"2,228.80",Beef,Commercial,Red Meat
Oct-2007,2007,10,Million Pounds,"2,443.00",Beef,Commercial,Red Meat
Sep-2007,2007,9,Million Pounds,"2,094.70",Beef,Commercial,Red Meat
Aug-2007,2007,8,Million Pounds,"2,450.60",Beef,Commercial,Red Meat
Jul-2007,2007,7,Million Pounds,"2,256.70",Beef,Commercial,Red Meat
Jun-2007,2007,6,Million Pounds,"2,348.50",Beef,Commercial,Red Meat
May-2007,2007,5,Million Pounds,"2,285.10",Beef,Commercial,Red Meat
Apr-2007,2007,4,Million Pounds,"2,015.00",Beef,Commercial,Red Meat
Mar-2007,2007,3,Million Pounds,"2,118.20",Beef,Commercial,Red Meat
Feb-2007,2007,2,Million Pounds,"1,952.50",Beef,Commercial,Red Meat
Jan-2007,2007,1,Million Pounds,"2,166.00",Beef,Commercial,Red Meat
Dec-2006,2006,12,Million Pounds,"2,049.60",Beef,Commercial,Red Meat
Nov-2006,2006,11,Million Pounds,"2,226.60",Beef,Commercial,Red Meat
Oct-2006,2006,10,Million Pounds,"2,236.40",Beef,Commercial,Red Meat
Sep-2006,2006,9,Million Pounds,"2,169.90",Beef,Commercial,Red Meat
Aug-2006,2006,8,Million Pounds,"2,450.00",Beef,Commercial,Red Meat
Jul-2006,2006,7,Million Pounds,"2,213.60",Beef,Commercial,Red Meat
Jun-2006,2006,6,Million Pounds,"2,446.10",Beef,Commercial,Red Meat
May-2006,2006,5,Million Pounds,"2,309.00",Beef,Commercial,Red Meat
Apr-2006,2006,4,Million Pounds,"1,969.20",Beef,Commercial,Red Meat
Mar-2006,2006,3,Million Pounds,"2,203.70",Beef,Commercial,Red Meat
Feb-2006,2006,2,Million Pounds,"1,826.90",Beef,Commercial,Red Meat
Jan-2006,2006,1,Million Pounds,"2,051.00",Beef,Commercial,Red Meat
Dec-2005,2005,12,Million Pounds,"2,057.30",Beef,Commercial,Red Meat
Nov-2005,2005,11,Million Pounds,"2,071.30",Beef,Commercial,Red Meat
Oct-2005,2005,10,Million Pounds,"2,080.70",Beef,Commercial,Red Meat
Sep-2005,2005,9,Million Pounds,"2,158.00",Beef,Commercial,Red Meat
Aug-2005,2005,8,Million Pounds,"2,319.00",Beef,Commercial,Red Meat
Jul-2005,2005,7,Million Pounds,"2,082.80",Beef,Commercial,Red Meat
Jun-2005,2005,6,Million Pounds,"2,227.00",Beef,Commercial,Red Meat
May-2005,2005,5,Million Pounds,"2,074.00",Beef,Commercial,Red Meat
Apr-2005,2005,4,Million Pounds,"1,887.80",Beef,Commercial,Red Meat
Mar-2005,2005,3,Million Pounds,"2,041.70",Beef,Commercial,Red Meat
Feb-2005,2005,2,Million Pounds,"1,767.40",Beef,Commercial,Red Meat
Jan-2005,2005,1,Million Pounds,"1,915.60",Beef,Commercial,Red Meat
Dec-2004,2004,12,Million Pounds,"2,042.00",Beef,Commercial,Red Meat
Nov-2004,2004,11,Million Pounds,"1,941.00",Beef,Commercial,Red Meat
Oct-2004,2004,10,Million Pounds,"2,114.00",Beef,Commercial,Red Meat
Sep-2004,2004,9,Million Pounds,"2,105.00",Beef,Commercial,Red Meat
Aug-2004,2004,8,Million Pounds,"2,151.00",Beef,Commercial,Red Meat
Jul-2004,2004,7,Million Pounds,"2,104.00",Beef,Commercial,Red Meat
Jun-2004,2004,6,Million Pounds,"2,227.00",Beef,Commercial,Red Meat
May-2004,2004,5,Million Pounds,"2,070.00",Beef,Commercial,Red Meat
Apr-2004,2004,4,Million Pounds,"1,956.00",Beef,Commercial,Red Meat
Mar-2004,2004,3,Million Pounds,"2,108.00",Beef,Commercial,Red Meat
Feb-2004,2004,2,Million Pounds,"1,804.00",Beef,Commercial,Red Meat
Jan-2004,2004,1,Million Pounds,"1,926.00",Beef,Commercial,Red Meat
Dec-2003,2003,12,Million Pounds,"1,978.00",Beef,Commercial,Red Meat
Nov-2003,2003,11,Million Pounds,"1,783.00",Beef,Commercial,Red Meat
Oct-2003,2003,10,Million Pounds,"2,212.00",Beef,Commercial,Red Meat
Sep-2003,2003,9,Million Pounds,"2,314.00",Beef,Commercial,Red Meat
Aug-2003,2003,8,Million Pounds,"2,328.00",Beef,Commercial,Red Meat
Jul-2003,2003,7,Million Pounds,"2,439.00",Beef,Commercial,Red Meat
Jun-2003,2003,6,Million Pounds,"2,391.00",Beef,Commercial,Red Meat
May-2003,2003,5,Million Pounds,"2,360.00",Beef,Commercial,Red Meat
Apr-2003,2003,4,Million Pounds,"2,151.00",Beef,Commercial,Red Meat
Mar-2003,2003,3,Million Pounds,"2,048.00",Beef,Commercial,Red Meat
Feb-2003,2003,2,Million Pounds,"1,942.00",Beef,Commercial,Red Meat
Jan-2003,2003,1,Million Pounds,"2,291.00",Beef,Commercial,Red Meat
Dec-2002,2002,12,Million Pounds,"2,107.00",Beef,Commercial,Red Meat
Nov-2002,2002,11,Million Pounds,"2,164.00",Beef,Commercial,Red Meat
Oct-2002,2002,10,Million Pounds,"2,512.00",Beef,Commercial,Red Meat
Sep-2002,2002,9,Million Pounds,"2,201.00",Beef,Commercial,Red Meat
Aug-2002,2002,8,Million Pounds,"2,469.00",Beef,Commercial,Red Meat
Jul-2002,2002,7,Million Pounds,"2,427.00",Beef,Commercial,Red Meat
Jun-2002,2002,6,Million Pounds,"2,302.00",Beef,Commercial,Red Meat
May-2002,2002,5,Million Pounds,"2,336.00",Beef,Commercial,Red Meat
Apr-2002,2002,4,Million Pounds,"2,195.00",Beef,Commercial,Red Meat
Mar-2002,2002,3,Million Pounds,"2,059.00",Beef,Commercial,Red Meat
Feb-2002,2002,2,Million Pounds,"1,987.00",Beef,Commercial,Red Meat
Jan-2002,2002,1,Million Pounds,"2,331.00",Beef,Commercial,Red Meat
Dec-2001,2001,12,Million Pounds,"2,110.00",Beef,Commercial,Red Meat
Nov-2001,2001,11,Million Pounds,"2,201.00",Beef,Commercial,Red Meat
Oct-2001,2001,10,Million Pounds,"2,389.00",Beef,Commercial,Red Meat
Sep-2001,2001,9,Million Pounds,"2,121.00",Beef,Commercial,Red Meat
Aug-2001,2001,8,Million Pounds,"2,425.00",Beef,Commercial,Red Meat
Jul-2001,2001,7,Million Pounds,"2,177.00",Beef,Commercial,Red Meat
Jun-2001,2001,6,Million Pounds,"2,269.00",Beef,Commercial,Red Meat
May-2001,2001,5,Million Pounds,"2,294.00",Beef,Commercial,Red Meat
Apr-2001,2001,4,Million Pounds,"1,939.00",Beef,Commercial,Red Meat
Mar-2001,2001,3,Million Pounds,"2,096.00",Beef,Commercial,Red Meat
Feb-2001,2001,2,Million Pounds,"1,881.00",Beef,Commercial,Red Meat
Jan-2001,2001,1,Million Pounds,"2,205.00",Beef,Commercial,Red Meat
Dec-2000,2000,12,Million Pounds,"1,997.00",Beef,Commercial,Red Meat
Nov-2000,2000,11,Million Pounds,"2,169.00",Beef,Commercial,Red Meat
Oct-2000,2000,10,Million Pounds,"2,345.00",Beef,Commercial,Red Meat
Sep-2000,2000,9,Million Pounds,"2,275.00",Beef,Commercial,Red Meat
Aug-2000,2000,8,Million Pounds,"2,437.00",Beef,Commercial,Red Meat
Jul-2000,2000,7,Million Pounds,"2,202.00",Beef,Commercial,Red Meat
Jun-2000,2000,6,Million Pounds,"2,369.00",Beef,Commercial,Red Meat
May-2000,2000,5,Million Pounds,"2,303.00",Beef,Commercial,Red Meat
Apr-2000,2000,4,Million Pounds,"2,027.00",Beef,Commercial,Red Meat
Mar-2000,2000,3,Million Pounds,"2,300.00",Beef,Commercial,Red Meat
Feb-2000,2000,2,Million Pounds,"2,175.00",Beef,Commercial,Red Meat
Jan-2000,2000,1,Million Pounds,"2,178.00",Beef,Commercial,Red Meat
Dec-1999,1999,12,Million Pounds,"2,113.00",Beef,Commercial,Red Meat
Nov-1999,1999,11,Million Pounds,"2,144.00",Beef,Commercial,Red Meat
Oct-1999,1999,10,Million Pounds,"2,265.00",Beef,Commercial,Red Meat
Sep-1999,1999,9,Million Pounds,"2,275.00",Beef,Commercial,Red Meat
Aug-1999,1999,8,Million Pounds,"2,307.00",Beef,Commercial,Red Meat
Jul-1999,1999,7,Million Pounds,"2,256.00",Beef,Commercial,Red Meat
Jun-1999,1999,6,Million Pounds,"2,321.00",Beef,Commercial,Red Meat
May-1999,1999,5,Million Pounds,"2,151.00",Beef,Commercial,Red Meat
Apr-1999,1999,4,Million Pounds,"2,155.00",Beef,Commercial,Red Meat
Mar-1999,1999,3,Million Pounds,"2,231.00",Beef,Commercial,Red Meat
Feb-1999,1999,2,Million Pounds,"1,998.00",Beef,Commercial,Red Meat
Jan-1999,1999,1,Million Pounds,"2,170.00",Beef,Commercial,Red Meat
Dec-1998,1998,12,Million Pounds,"2,100.00",Beef,Commercial,Red Meat
Nov-1998,1998,11,Million Pounds,"2,003.00",Beef,Commercial,Red Meat
Oct-1998,1998,10,Million Pounds,"2,236.00",Beef,Commercial,Red Meat
Sep-1998,1998,9,Million Pounds,"2,197.00",Beef,Commercial,Red Meat
Aug-1998,1998,8,Million Pounds,"2,228.00",Beef,Commercial,Red Meat
Jul-1998,1998,7,Million Pounds,"2,213.00",Beef,Commercial,Red Meat
Jun-1998,1998,6,Million Pounds,"2,248.00",Beef,Commercial,Red Meat
May-1998,1998,5,Million Pounds,"2,123.00",Beef,Commercial,Red Meat
Apr-1998,1998,4,Million Pounds,"2,090.00",Beef,Commercial,Red Meat
Mar-1998,1998,3,Million Pounds,"2,081.00",Beef,Commercial,Red Meat
Feb-1998,1998,2,Million Pounds,"1,977.00",Beef,Commercial,Red Meat
Jan-1998,1998,1,Million Pounds,"2,157.00",Beef,Commercial,Red Meat
Dec-1997,1997,12,Million Pounds,"2,024.00",Beef,Commercial,Red Meat
Nov-1997,1997,11,Million Pounds,"1,934.00",Beef,Commercial,Red Meat
Oct-1997,1997,10,Million Pounds,"2,300.00",Beef,Commercial,Red Meat
Sep-1997,1997,9,Million Pounds,"2,126.00",Beef,Commercial,Red Meat
Aug-1997,1997,8,Million Pounds,"2,221.00",Beef,Commercial,Red Meat
Jul-1997,1997,7,Million Pounds,"2,256.00",Beef,Commercial,Red Meat
Jun-1997,1997,6,Million Pounds,"2,132.00",Beef,Commercial,Red Meat
May-1997,1997,5,Million Pounds,"2,189.00",Beef,Commercial,Red Meat
Apr-1997,1997,4,Million Pounds,"2,095.00",Beef,Commercial,Red Meat
Mar-1997,1997,3,Million Pounds,"1,966.00",Beef,Commercial,Red Meat
Feb-1997,1997,2,Million Pounds,"1,919.00",Beef,Commercial,Red Meat
Jan-1997,1997,1,Million Pounds,"2,222.00",Beef,Commercial,Red Meat
Dec-1996,1996,12,Million Pounds,"1,950.00",Beef,Commercial,Red Meat
Nov-1996,1996,11,Million Pounds,"1,955.00",Beef,Commercial,Red Meat
Oct-1996,1996,10,Million Pounds,"2,179.00",Beef,Commercial,Red Meat
Sep-1996,1996,9,Million Pounds,"1,934.00",Beef,Commercial,Red Meat
Aug-1996,1996,8,Million Pounds,"2,262.00",Beef,Commercial,Red Meat
Jul-1996,1996,7,Million Pounds,"2,194.00",Beef,Commercial,Red Meat
Jun-1996,1996,6,Million Pounds,"2,186.00",Beef,Commercial,Red Meat
May-1996,1996,5,Million Pounds,"2,302.00",Beef,Commercial,Red Meat
Apr-1996,1996,4,Million Pounds,"2,154.00",Beef,Commercial,Red Meat
Mar-1996,1996,3,Million Pounds,"2,035.00",Beef,Commercial,Red Meat
Feb-1996,1996,2,Million Pounds,"2,048.00",Beef,Commercial,Red Meat
Jan-1996,1996,1,Million Pounds,"2,220.00",Beef,Commercial,Red Meat
Dec-1995,1995,12,Million Pounds,"1,998.00",Beef,Commercial,Red Meat
Nov-1995,1995,11,Million Pounds,"2,098.00",Beef,Commercial,Red Meat
Oct-1995,1995,10,Million Pounds,"2,181.00",Beef,Commercial,Red Meat
Sep-1995,1995,9,Million Pounds,"2,220.00",Beef,Commercial,Red Meat
