Date,Year,Month,Unit,Animal,Count,Commercial_Or_Federally_Inspected,Type_Of_Meat
Feb-2019,2019,2,"1,000 Head",Cattle,"2,454.40",Commercial,Red Meat
Jan-2019,2019,1,"1,000 Head",Cattle,"2,831.40",Commercial,Red Meat
Dec-2018,2018,12,"1,000 Head",Cattle,"2,580.20",Commercial,Red Meat
Nov-2018,2018,11,"1,000 Head",Cattle,"2,800.80",Commercial,Red Meat
Oct-2018,2018,10,"1,000 Head",Cattle,"2,959.50",Commercial,Red Meat
Sep-2018,2018,9,"1,000 Head",Cattle,"2,617.30",Commercial,Red Meat
Aug-2018,2018,8,"1,000 Head",Cattle,"2,977.80",Commercial,Red Meat
Jul-2018,2018,7,"1,000 Head",Cattle,"2,765.80",Commercial,Red Meat
Jun-2018,2018,6,"1,000 Head",Cattle,"2,878.80",Commercial,Red Meat
May-2018,2018,5,"1,000 Head",Cattle,"2,907.40",Commercial,Red Meat
Apr-2018,2018,4,"1,000 Head",Cattle,"2,639.50",Commercial,Red Meat
Mar-2018,2018,3,"1,000 Head",Cattle,"2,701.60",Commercial,Red Meat
Feb-2018,2018,2,"1,000 Head",Cattle,"2,417.90",Commercial,Red Meat
Jan-2018,2018,1,"1,000 Head",Cattle,"2,758.10",Commercial,Red Meat
Dec-2017,2017,12,"1,000 Head",Cattle,"2,580.40",Commercial,Red Meat
Nov-2017,2017,11,"1,000 Head",Cattle,"2,762.80",Commercial,Red Meat
Oct-2017,2017,10,"1,000 Head",Cattle,"2,801.30",Commercial,Red Meat
Sep-2017,2017,9,"1,000 Head",Cattle,"2,698.90",Commercial,Red Meat
Aug-2017,2017,8,"1,000 Head",Cattle,"2,943.50",Commercial,Red Meat
Jul-2017,2017,7,"1,000 Head",Cattle,"2,612.00",Commercial,Red Meat
Jun-2017,2017,6,"1,000 Head",Cattle,"2,859.00",Commercial,Red Meat
May-2017,2017,5,"1,000 Head",Cattle,"2,753.80",Commercial,Red Meat
Apr-2017,2017,4,"1,000 Head",Cattle,"2,463.30",Commercial,Red Meat
Mar-2017,2017,3,"1,000 Head",Cattle,"2,768.30",Commercial,Red Meat
Feb-2017,2017,2,"1,000 Head",Cattle,"2,369.20",Commercial,Red Meat
Jan-2017,2017,1,"1,000 Head",Cattle,"2,576.90",Commercial,Red Meat
Dec-2016,2016,12,"1,000 Head",Cattle,"2,612.00",Commercial,Red Meat
Nov-2016,2016,11,"1,000 Head",Cattle,"2,669.00",Commercial,Red Meat
Oct-2016,2016,10,"1,000 Head",Cattle,"2,637.70",Commercial,Red Meat
Sep-2016,2016,9,"1,000 Head",Cattle,"2,619.30",Commercial,Red Meat
Aug-2016,2016,8,"1,000 Head",Cattle,"2,750.60",Commercial,Red Meat
Jul-2016,2016,7,"1,000 Head",Cattle,"2,474.90",Commercial,Red Meat
Jun-2016,2016,6,"1,000 Head",Cattle,"2,706.00",Commercial,Red Meat
May-2016,2016,5,"1,000 Head",Cattle,"2,515.40",Commercial,Red Meat
Apr-2016,2016,4,"1,000 Head",Cattle,"2,409.10",Commercial,Red Meat
Mar-2016,2016,3,"1,000 Head",Cattle,"2,534.10",Commercial,Red Meat
Feb-2016,2016,2,"1,000 Head",Cattle,"2,290.90",Commercial,Red Meat
Jan-2016,2016,1,"1,000 Head",Cattle,"2,359.20",Commercial,Red Meat
Dec-2015,2015,12,"1,000 Head",Cattle,"2,452.40",Commercial,Red Meat
Nov-2015,2015,11,"1,000 Head",Cattle,"2,296.20",Commercial,Red Meat
Oct-2015,2015,10,"1,000 Head",Cattle,"2,514.30",Commercial,Red Meat
Sep-2015,2015,9,"1,000 Head",Cattle,"2,474.60",Commercial,Red Meat
Aug-2015,2015,8,"1,000 Head",Cattle,"2,323.30",Commercial,Red Meat
Jul-2015,2015,7,"1,000 Head",Cattle,"2,493.30",Commercial,Red Meat
Jun-2015,2015,6,"1,000 Head",Cattle,"2,466.00",Commercial,Red Meat
May-2015,2015,5,"1,000 Head",Cattle,"2,379.40",Commercial,Red Meat
Apr-2015,2015,4,"1,000 Head",Cattle,"2,383.30",Commercial,Red Meat
Mar-2015,2015,3,"1,000 Head",Cattle,"2,381.00",Commercial,Red Meat
Feb-2015,2015,2,"1,000 Head",Cattle,"2,170.20",Commercial,Red Meat
Jan-2015,2015,1,"1,000 Head",Cattle,"2,417.60",Commercial,Red Meat
Dec-2014,2014,12,"1,000 Head",Cattle,"2,439.30",Commercial,Red Meat
Nov-2014,2014,11,"1,000 Head",Cattle,"2,246.80",Commercial,Red Meat
Oct-2014,2014,10,"1,000 Head",Cattle,"2,639.90",Commercial,Red Meat
Sep-2014,2014,9,"1,000 Head",Cattle,"2,531.10",Commercial,Red Meat
Aug-2014,2014,8,"1,000 Head",Cattle,"2,499.60",Commercial,Red Meat
Jul-2014,2014,7,"1,000 Head",Cattle,"2,601.70",Commercial,Red Meat
Jun-2014,2014,6,"1,000 Head",Cattle,"2,606.40",Commercial,Red Meat
May-2014,2014,5,"1,000 Head",Cattle,"2,635.60",Commercial,Red Meat
Apr-2014,2014,4,"1,000 Head",Cattle,"2,595.30",Commercial,Red Meat
Mar-2014,2014,3,"1,000 Head",Cattle,"2,449.10",Commercial,Red Meat
Feb-2014,2014,2,"1,000 Head",Cattle,"2,244.10",Commercial,Red Meat
Jan-2014,2014,1,"1,000 Head",Cattle,"2,679.00",Commercial,Red Meat
Dec-2013,2013,12,"1,000 Head",Cattle,"2,561.90",Commercial,Red Meat
Nov-2013,2013,11,"1,000 Head",Cattle,"2,569.10",Commercial,Red Meat
Oct-2013,2013,10,"1,000 Head",Cattle,"2,904.30",Commercial,Red Meat
Sep-2013,2013,9,"1,000 Head",Cattle,"2,608.90",Commercial,Red Meat
Aug-2013,2013,8,"1,000 Head",Cattle,"2,817.30",Commercial,Red Meat
Jul-2013,2013,7,"1,000 Head",Cattle,"2,894.90",Commercial,Red Meat
Jun-2013,2013,6,"1,000 Head",Cattle,"2,730.90",Commercial,Red Meat
May-2013,2013,5,"1,000 Head",Cattle,"2,863.00",Commercial,Red Meat
Apr-2013,2013,4,"1,000 Head",Cattle,"2,731.10",Commercial,Red Meat
Mar-2013,2013,3,"1,000 Head",Cattle,"2,586.90",Commercial,Red Meat
Feb-2013,2013,2,"1,000 Head",Cattle,"2,358.10",Commercial,Red Meat
Jan-2013,2013,1,"1,000 Head",Cattle,"2,835.90",Commercial,Red Meat
Dec-2012,2012,12,"1,000 Head",Cattle,"2,543.00",Commercial,Red Meat
Nov-2012,2012,11,"1,000 Head",Cattle,"2,785.00",Commercial,Red Meat
Oct-2012,2012,10,"1,000 Head",Cattle,"2,954.70",Commercial,Red Meat
Sep-2012,2012,9,"1,000 Head",Cattle,"2,542.70",Commercial,Red Meat
Aug-2012,2012,8,"1,000 Head",Cattle,"2,997.70",Commercial,Red Meat
Jul-2012,2012,7,"1,000 Head",Cattle,"2,792.80",Commercial,Red Meat
Jun-2012,2012,6,"1,000 Head",Cattle,"2,864.10",Commercial,Red Meat
May-2012,2012,5,"1,000 Head",Cattle,"2,875.60",Commercial,Red Meat
Apr-2012,2012,4,"1,000 Head",Cattle,"2,569.50",Commercial,Red Meat
Mar-2012,2012,3,"1,000 Head",Cattle,"2,753.40",Commercial,Red Meat
Feb-2012,2012,2,"1,000 Head",Cattle,"2,557.60",Commercial,Red Meat
Jan-2012,2012,1,"1,000 Head",Cattle,"2,714.70",Commercial,Red Meat
Dec-2011,2011,12,"1,000 Head",Cattle,"2,753.40",Commercial,Red Meat
Nov-2011,2011,11,"1,000 Head",Cattle,"2,784.70",Commercial,Red Meat
Oct-2011,2011,10,"1,000 Head",Cattle,"2,856.90",Commercial,Red Meat
Sep-2011,2011,9,"1,000 Head",Cattle,"2,876.00",Commercial,Red Meat
Aug-2011,2011,8,"1,000 Head",Cattle,"3,097.10",Commercial,Red Meat
Jul-2011,2011,7,"1,000 Head",Cattle,"2,764.50",Commercial,Red Meat
Jun-2011,2011,6,"1,000 Head",Cattle,"3,101.70",Commercial,Red Meat
May-2011,2011,5,"1,000 Head",Cattle,"2,818.70",Commercial,Red Meat
Apr-2011,2011,4,"1,000 Head",Cattle,"2,719.10",Commercial,Red Meat
Mar-2011,2011,3,"1,000 Head",Cattle,"2,959.10",Commercial,Red Meat
Feb-2011,2011,2,"1,000 Head",Cattle,"2,621.30",Commercial,Red Meat
Jan-2011,2011,1,"1,000 Head",Cattle,"2,734.00",Commercial,Red Meat
Dec-2010,2010,12,"1,000 Head",Cattle,"2,915.90",Commercial,Red Meat
Nov-2010,2010,11,"1,000 Head",Cattle,"2,876.30",Commercial,Red Meat
Oct-2010,2010,10,"1,000 Head",Cattle,"2,862.10",Commercial,Red Meat
Sep-2010,2010,9,"1,000 Head",Cattle,"2,897.40",Commercial,Red Meat
Aug-2010,2010,8,"1,000 Head",Cattle,"2,954.90",Commercial,Red Meat
Jul-2010,2010,7,"1,000 Head",Cattle,"2,899.20",Commercial,Red Meat
Jun-2010,2010,6,"1,000 Head",Cattle,"3,049.50",Commercial,Red Meat
May-2010,2010,5,"1,000 Head",Cattle,"2,784.10",Commercial,Red Meat
Apr-2010,2010,4,"1,000 Head",Cattle,"2,846.00",Commercial,Red Meat
Mar-2010,2010,3,"1,000 Head",Cattle,"2,911.50",Commercial,Red Meat
Feb-2010,2010,2,"1,000 Head",Cattle,"2,546.80",Commercial,Red Meat
Jan-2010,2010,1,"1,000 Head",Cattle,"2,705.40",Commercial,Red Meat
Dec-2009,2009,12,"1,000 Head",Cattle,"2,754.20",Commercial,Red Meat
Nov-2009,2009,11,"1,000 Head",Cattle,"2,600.70",Commercial,Red Meat
Oct-2009,2009,10,"1,000 Head",Cattle,"2,886.10",Commercial,Red Meat
Sep-2009,2009,9,"1,000 Head",Cattle,"2,814.70",Commercial,Red Meat
Aug-2009,2009,8,"1,000 Head",Cattle,"2,781.90",Commercial,Red Meat
Jul-2009,2009,7,"1,000 Head",Cattle,"2,921.60",Commercial,Red Meat
Jun-2009,2009,6,"1,000 Head",Cattle,"2,981.50",Commercial,Red Meat
May-2009,2009,5,"1,000 Head",Cattle,"2,849.30",Commercial,Red Meat
Apr-2009,2009,4,"1,000 Head",Cattle,"2,772.60",Commercial,Red Meat
Mar-2009,2009,3,"1,000 Head",Cattle,"2,729.50",Commercial,Red Meat
Feb-2009,2009,2,"1,000 Head",Cattle,"2,528.50",Commercial,Red Meat
Jan-2009,2009,1,"1,000 Head",Cattle,"2,717.70",Commercial,Red Meat
Dec-2008,2008,12,"1,000 Head",Cattle,"2,671.50",Commercial,Red Meat
Nov-2008,2008,11,"1,000 Head",Cattle,"2,516.30",Commercial,Red Meat
Oct-2008,2008,10,"1,000 Head",Cattle,"2,989.10",Commercial,Red Meat
Sep-2008,2008,9,"1,000 Head",Cattle,"2,889.40",Commercial,Red Meat
Aug-2008,2008,8,"1,000 Head",Cattle,"2,908.30",Commercial,Red Meat
Jul-2008,2008,7,"1,000 Head",Cattle,"3,062.50",Commercial,Red Meat
Jun-2008,2008,6,"1,000 Head",Cattle,"2,956.60",Commercial,Red Meat
May-2008,2008,5,"1,000 Head",Cattle,"3,139.60",Commercial,Red Meat
Apr-2008,2008,4,"1,000 Head",Cattle,"2,961.10",Commercial,Red Meat
Mar-2008,2008,3,"1,000 Head",Cattle,"2,728.30",Commercial,Red Meat
Feb-2008,2008,2,"1,000 Head",Cattle,"2,642.70",Commercial,Red Meat
Jan-2008,2008,1,"1,000 Head",Cattle,"2,899.40",Commercial,Red Meat
Dec-2007,2007,12,"1,000 Head",Cattle,"2,647.90",Commercial,Red Meat
Nov-2007,2007,11,"1,000 Head",Cattle,"2,830.70",Commercial,Red Meat
Oct-2007,2007,10,"1,000 Head",Cattle,"3,102.00",Commercial,Red Meat
Sep-2007,2007,9,"1,000 Head",Cattle,"2,664.60",Commercial,Red Meat
Aug-2007,2007,8,"1,000 Head",Cattle,"3,132.10",Commercial,Red Meat
Jul-2007,2007,7,"1,000 Head",Cattle,"2,903.10",Commercial,Red Meat
Jun-2007,2007,6,"1,000 Head",Cattle,"3,076.50",Commercial,Red Meat
May-2007,2007,5,"1,000 Head",Cattle,"3,051.40",Commercial,Red Meat
Apr-2007,2007,4,"1,000 Head",Cattle,"2,701.40",Commercial,Red Meat
Mar-2007,2007,3,"1,000 Head",Cattle,"2,793.00",Commercial,Red Meat
Feb-2007,2007,2,"1,000 Head",Cattle,"2,561.20",Commercial,Red Meat
Jan-2007,2007,1,"1,000 Head",Cattle,"2,800.30",Commercial,Red Meat
Dec-2006,2006,12,"1,000 Head",Cattle,"2,612.50",Commercial,Red Meat
Nov-2006,2006,11,"1,000 Head",Cattle,"2,842.40",Commercial,Red Meat
Oct-2006,2006,10,"1,000 Head",Cattle,"2,858.10",Commercial,Red Meat
Sep-2006,2006,9,"1,000 Head",Cattle,"2,766.60",Commercial,Red Meat
Aug-2006,2006,8,"1,000 Head",Cattle,"3,134.40",Commercial,Red Meat
Jul-2006,2006,7,"1,000 Head",Cattle,"2,834.00",Commercial,Red Meat
Jun-2006,2006,6,"1,000 Head",Cattle,"3,159.40",Commercial,Red Meat
May-2006,2006,5,"1,000 Head",Cattle,"3,039.10",Commercial,Red Meat
Apr-2006,2006,4,"1,000 Head",Cattle,"2,608.60",Commercial,Red Meat
Mar-2006,2006,3,"1,000 Head",Cattle,"2,854.00",Commercial,Red Meat
Feb-2006,2006,2,"1,000 Head",Cattle,"2,346.60",Commercial,Red Meat
Jan-2006,2006,1,"1,000 Head",Cattle,"2,642.60",Commercial,Red Meat
Dec-2005,2005,12,"1,000 Head",Cattle,"2,667.10",Commercial,Red Meat
Nov-2005,2005,11,"1,000 Head",Cattle,"2,668.10",Commercial,Red Meat
Oct-2005,2005,10,"1,000 Head",Cattle,"2,679.20",Commercial,Red Meat
Sep-2005,2005,9,"1,000 Head",Cattle,"2,775.90",Commercial,Red Meat
Aug-2005,2005,8,"1,000 Head",Cattle,"2,992.50",Commercial,Red Meat
Jul-2005,2005,7,"1,000 Head",Cattle,"2,717.50",Commercial,Red Meat
Jun-2005,2005,6,"1,000 Head",Cattle,"2,937.60",Commercial,Red Meat
May-2005,2005,5,"1,000 Head",Cattle,"2,793.30",Commercial,Red Meat
Apr-2005,2005,4,"1,000 Head",Cattle,"2,560.30",Commercial,Red Meat
Mar-2005,2005,3,"1,000 Head",Cattle,"2,725.10",Commercial,Red Meat
Feb-2005,2005,2,"1,000 Head",Cattle,"2,342.90",Commercial,Red Meat
Jan-2005,2005,1,"1,000 Head",Cattle,"2,528.10",Commercial,Red Meat
Dec-2004,2004,12,"1,000 Head",Cattle,"2,690.30",Commercial,Red Meat
Nov-2004,2004,11,"1,000 Head",Cattle,"2,542.30",Commercial,Red Meat
Oct-2004,2004,10,"1,000 Head",Cattle,"2,745.90",Commercial,Red Meat
Sep-2004,2004,9,"1,000 Head",Cattle,"2,737.10",Commercial,Red Meat
Aug-2004,2004,8,"1,000 Head",Cattle,"2,820.50",Commercial,Red Meat
Jul-2004,2004,7,"1,000 Head",Cattle,"2,787.20",Commercial,Red Meat
Jun-2004,2004,6,"1,000 Head",Cattle,"2,994.10",Commercial,Red Meat
May-2004,2004,5,"1,000 Head",Cattle,"2,836.10",Commercial,Red Meat
Apr-2004,2004,4,"1,000 Head",Cattle,"2,697.70",Commercial,Red Meat
Mar-2004,2004,3,"1,000 Head",Cattle,"2,869.30",Commercial,Red Meat
Feb-2004,2004,2,"1,000 Head",Cattle,"2,429.20",Commercial,Red Meat
Jan-2004,2004,1,"1,000 Head",Cattle,"2,578.60",Commercial,Red Meat
Dec-2003,2003,12,"1,000 Head",Cattle,"2,675.30",Commercial,Red Meat
Nov-2003,2003,11,"1,000 Head",Cattle,"2,433.50",Commercial,Red Meat
Oct-2003,2003,10,"1,000 Head",Cattle,"3,009.50",Commercial,Red Meat
Sep-2003,2003,9,"1,000 Head",Cattle,"3,128.90",Commercial,Red Meat
Aug-2003,2003,8,"1,000 Head",Cattle,"3,138.80",Commercial,Red Meat
Jul-2003,2003,7,"1,000 Head",Cattle,"3,290.20",Commercial,Red Meat
Jun-2003,2003,6,"1,000 Head",Cattle,"3,252.60",Commercial,Red Meat
May-2003,2003,5,"1,000 Head",Cattle,"3,247.60",Commercial,Red Meat
Apr-2003,2003,4,"1,000 Head",Cattle,"2,966.10",Commercial,Red Meat
Mar-2003,2003,3,"1,000 Head",Cattle,"2,773.90",Commercial,Red Meat
Feb-2003,2003,2,"1,000 Head",Cattle,"2,569.20",Commercial,Red Meat
Jan-2003,2003,1,"1,000 Head",Cattle,"3,007.90",Commercial,Red Meat
Dec-2002,2002,12,"1,000 Head",Cattle,"2,771.80",Commercial,Red Meat
Nov-2002,2002,11,"1,000 Head",Cattle,"2,861.10",Commercial,Red Meat
Oct-2002,2002,10,"1,000 Head",Cattle,"3,266.60",Commercial,Red Meat
Sep-2002,2002,9,"1,000 Head",Cattle,"2,866.70",Commercial,Red Meat
Aug-2002,2002,8,"1,000 Head",Cattle,"3,212.80",Commercial,Red Meat
Jul-2002,2002,7,"1,000 Head",Cattle,"3,187.70",Commercial,Red Meat
Jun-2002,2002,6,"1,000 Head",Cattle,"3,062.20",Commercial,Red Meat
May-2002,2002,5,"1,000 Head",Cattle,"3,146.60",Commercial,Red Meat
Apr-2002,2002,4,"1,000 Head",Cattle,"2,948.70",Commercial,Red Meat
Mar-2002,2002,3,"1,000 Head",Cattle,"2,737.70",Commercial,Red Meat
Feb-2002,2002,2,"1,000 Head",Cattle,"2,615.60",Commercial,Red Meat
Jan-2002,2002,1,"1,000 Head",Cattle,"3,057.00",Commercial,Red Meat
Dec-2001,2001,12,"1,000 Head",Cattle,"2,779.30",Commercial,Red Meat
Nov-2001,2001,11,"1,000 Head",Cattle,"2,903.40",Commercial,Red Meat
Oct-2001,2001,10,"1,000 Head",Cattle,"3,162.00",Commercial,Red Meat
Sep-2001,2001,9,"1,000 Head",Cattle,"2,808.10",Commercial,Red Meat
Aug-2001,2001,8,"1,000 Head",Cattle,"3,239.40",Commercial,Red Meat
Jul-2001,2001,7,"1,000 Head",Cattle,"2,942.50",Commercial,Red Meat
Jun-2001,2001,6,"1,000 Head",Cattle,"3,120.20",Commercial,Red Meat
May-2001,2001,5,"1,000 Head",Cattle,"3,199.80",Commercial,Red Meat
Apr-2001,2001,4,"1,000 Head",Cattle,"2,714.00",Commercial,Red Meat
Mar-2001,2001,3,"1,000 Head",Cattle,"2,918.40",Commercial,Red Meat
Feb-2001,2001,2,"1,000 Head",Cattle,"2,580.40",Commercial,Red Meat
Jan-2001,2001,1,"1,000 Head",Cattle,"3,002.30",Commercial,Red Meat
Dec-2000,2000,12,"1,000 Head",Cattle,"2,716.90",Commercial,Red Meat
Nov-2000,2000,11,"1,000 Head",Cattle,"2,929.30",Commercial,Red Meat
Oct-2000,2000,10,"1,000 Head",Cattle,"3,141.40",Commercial,Red Meat
Sep-2000,2000,9,"1,000 Head",Cattle,"3,034.50",Commercial,Red Meat
Aug-2000,2000,8,"1,000 Head",Cattle,"3,259.40",Commercial,Red Meat
Jul-2000,2000,7,"1,000 Head",Cattle,"2,962.20",Commercial,Red Meat
Jun-2000,2000,6,"1,000 Head",Cattle,"3,236.70",Commercial,Red Meat
May-2000,2000,5,"1,000 Head",Cattle,"3,177.90",Commercial,Red Meat
Apr-2000,2000,4,"1,000 Head",Cattle,"2,783.40",Commercial,Red Meat
Mar-2000,2000,3,"1,000 Head",Cattle,"3,131.60",Commercial,Red Meat
Feb-2000,2000,2,"1,000 Head",Cattle,"2,936.90",Commercial,Red Meat
Jan-2000,2000,1,"1,000 Head",Cattle,"2,935.80",Commercial,Red Meat
Dec-1999,1999,12,"1,000 Head",Cattle,"2,874.80",Commercial,Red Meat
Nov-1999,1999,11,"1,000 Head",Cattle,"2,939.90",Commercial,Red Meat
Oct-1999,1999,10,"1,000 Head",Cattle,"3,094.20",Commercial,Red Meat
Sep-1999,1999,9,"1,000 Head",Cattle,"3,099.00",Commercial,Red Meat
Aug-1999,1999,8,"1,000 Head",Cattle,"3,150.30",Commercial,Red Meat
Jul-1999,1999,7,"1,000 Head",Cattle,"3,082.90",Commercial,Red Meat
Jun-1999,1999,6,"1,000 Head",Cattle,"3,206.80",Commercial,Red Meat
May-1999,1999,5,"1,000 Head",Cattle,"2,996.80",Commercial,Red Meat
Apr-1999,1999,4,"1,000 Head",Cattle,"2,971.00",Commercial,Red Meat
Mar-1999,1999,3,"1,000 Head",Cattle,"3,050.40",Commercial,Red Meat
Feb-1999,1999,2,"1,000 Head",Cattle,"2,722.50",Commercial,Red Meat
Jan-1999,1999,1,"1,000 Head",Cattle,"2,961.30",Commercial,Red Meat
Dec-1998,1998,12,"1,000 Head",Cattle,"2,894.50",Commercial,Red Meat
Nov-1998,1998,11,"1,000 Head",Cattle,"2,772.60",Commercial,Red Meat
Oct-1998,1998,10,"1,000 Head",Cattle,"3,054.50",Commercial,Red Meat
Sep-1998,1998,9,"1,000 Head",Cattle,"2,991.40",Commercial,Red Meat
Aug-1998,1998,8,"1,000 Head",Cattle,"3,039.50",Commercial,Red Meat
Jul-1998,1998,7,"1,000 Head",Cattle,"3,039.30",Commercial,Red Meat
Jun-1998,1998,6,"1,000 Head",Cattle,"3,108.10",Commercial,Red Meat
May-1998,1998,5,"1,000 Head",Cattle,"2,957.20",Commercial,Red Meat
Apr-1998,1998,4,"1,000 Head",Cattle,"2,927.10",Commercial,Red Meat
Mar-1998,1998,3,"1,000 Head",Cattle,"2,894.50",Commercial,Red Meat
Feb-1998,1998,2,"1,000 Head",Cattle,"2,746.80",Commercial,Red Meat
Jan-1998,1998,1,"1,000 Head",Cattle,"3,039.40",Commercial,Red Meat
Dec-1997,1997,12,"1,000 Head",Cattle,"2,877.00",Commercial,Red Meat
Nov-1997,1997,11,"1,000 Head",Cattle,"2,760.30",Commercial,Red Meat
Oct-1997,1997,10,"1,000 Head",Cattle,"3,224.40",Commercial,Red Meat
Sep-1997,1997,9,"1,000 Head",Cattle,"2,967.70",Commercial,Red Meat
Aug-1997,1997,8,"1,000 Head",Cattle,"3,107.30",Commercial,Red Meat
Jul-1997,1997,7,"1,000 Head",Cattle,"3,181.30",Commercial,Red Meat
Jun-1997,1997,6,"1,000 Head",Cattle,"3,060.70",Commercial,Red Meat
May-1997,1997,5,"1,000 Head",Cattle,"3,181.50",Commercial,Red Meat
Apr-1997,1997,4,"1,000 Head",Cattle,"3,058.40",Commercial,Red Meat
Mar-1997,1997,3,"1,000 Head",Cattle,"2,858.80",Commercial,Red Meat
Feb-1997,1997,2,"1,000 Head",Cattle,"2,795.20",Commercial,Red Meat
Jan-1997,1997,1,"1,000 Head",Cattle,"3,245.20",Commercial,Red Meat
