Date,Year,Month,Unit,Animal,Weight,Type_Of_Meat
May-2007,2007,5,Million Pounds,Beef,417.26,Red Meat
Apr-2007,2007,4,Million Pounds,Beef,427.19,Red Meat
Mar-2007,2007,3,Million Pounds,Beef,458.9,Red Meat
Feb-2007,2007,2,Million Pounds,Beef,470.57,Red Meat
Jan-2007,2007,1,Million Pounds,Beef,482.08,Red Meat
Dec-2006,2006,12,Million Pounds,Beef,520.33,Red Meat
Nov-2006,2006,11,Million Pounds,Beef,485.71,Red Meat
Oct-2006,2006,10,Million Pounds,Beef,491.92,Red Meat
Sep-2006,2006,9,Million Pounds,Beef,484.5,Red Meat
Aug-2006,2006,8,Million Pounds,Beef,479.22,Red Meat
Jul-2006,2006,7,Million Pounds,Beef,449.11,Red Meat
Jun-2006,2006,6,Million Pounds,Beef,446.28,Red Meat
May-2006,2006,5,Million Pounds,Beef,441.27,Red Meat
Apr-2006,2006,4,Million Pounds,Beef,436.16,Red Meat
Mar-2006,2006,3,Million Pounds,Beef,440.56,Red Meat
Feb-2006,2006,2,Million Pounds,Beef,465.88,Red Meat
Jan-2006,2006,1,Million Pounds,Beef,434.44,Red Meat
Dec-2005,2005,12,Million Pounds,Beef,429.89,Red Meat
Nov-2005,2005,11,Million Pounds,Beef,439.19,Red Meat
Oct-2005,2005,10,Million Pounds,Beef,438.75,Red Meat
Sep-2005,2005,9,Million Pounds,Beef,410.59,Red Meat
Aug-2005,2005,8,Million Pounds,Beef,385.25,Red Meat
Jul-2005,2005,7,Million Pounds,Beef,342.11,Red Meat
Jun-2005,2005,6,Million Pounds,Beef,318.19,Red Meat
May-2005,2005,5,Million Pounds,Beef,329.43,Red Meat
Apr-2005,2005,4,Million Pounds,Beef,372.32,Red Meat
Mar-2005,2005,3,Million Pounds,Beef,400.24,Red Meat
Feb-2005,2005,2,Million Pounds,Beef,453.26,Red Meat
Jan-2005,2005,1,Million Pounds,Beef,484.28,Red Meat
Dec-2004,2004,12,Million Pounds,Beef,463.3,Red Meat
Nov-2004,2004,11,Million Pounds,Beef,452.59,Red Meat
Oct-2004,2004,10,Million Pounds,Beef,457.24,Red Meat
Sep-2004,2004,9,Million Pounds,Beef,445.99,Red Meat
Aug-2004,2004,8,Million Pounds,Beef,427.05,Red Meat
Jul-2004,2004,7,Million Pounds,Beef,411.77,Red Meat
Jun-2004,2004,6,Million Pounds,Beef,402.82,Red Meat
May-2004,2004,5,Million Pounds,Beef,421.18,Red Meat
Apr-2004,2004,4,Million Pounds,Beef,416.77,Red Meat
Mar-2004,2004,3,Million Pounds,Beef,435.03,Red Meat
Feb-2004,2004,2,Million Pounds,Beef,434.35,Red Meat
Jan-2004,2004,1,Million Pounds,Beef,395.08,Red Meat
Dec-2003,2003,12,Million Pounds,Beef,373.77,Red Meat
Nov-2003,2003,11,Million Pounds,Beef,375.17,Red Meat
Oct-2003,2003,10,Million Pounds,Beef,379.83,Red Meat
Sep-2003,2003,9,Million Pounds,Beef,370.99,Red Meat
Aug-2003,2003,8,Million Pounds,Beef,368.25,Red Meat
Jul-2003,2003,7,Million Pounds,Beef,371.48,Red Meat
Jun-2003,2003,6,Million Pounds,Beef,385.12,Red Meat
May-2003,2003,5,Million Pounds,Beef,389.65,Red Meat
Apr-2003,2003,4,Million Pounds,Beef,403.15,Red Meat
Mar-2003,2003,3,Million Pounds,Beef,441.86,Red Meat
Feb-2003,2003,2,Million Pounds,Beef,482.42,Red Meat
Jan-2003,2003,1,Million Pounds,Beef,524.64,Red Meat
Dec-2002,2002,12,Million Pounds,Beef,512.57,Red Meat
Nov-2002,2002,11,Million Pounds,Beef,525.17,Red Meat
Oct-2002,2002,10,Million Pounds,Beef,494.91,Red Meat
Sep-2002,2002,9,Million Pounds,Beef,461.76,Red Meat
Aug-2002,2002,8,Million Pounds,Beef,416.53,Red Meat
Jul-2002,2002,7,Million Pounds,Beef,396.87,Red Meat
Jun-2002,2002,6,Million Pounds,Beef,401.76,Red Meat
May-2002,2002,5,Million Pounds,Beef,405.74,Red Meat
Apr-2002,2002,4,Million Pounds,Beef,410.49,Red Meat
Mar-2002,2002,3,Million Pounds,Beef,439.03,Red Meat
Feb-2002,2002,2,Million Pounds,Beef,455.45,Red Meat
Jan-2002,2002,1,Million Pounds,Beef,460.74,Red Meat
Dec-2001,2001,12,Million Pounds,Beef,427.55,Red Meat
Nov-2001,2001,11,Million Pounds,Beef,395.12,Red Meat
Oct-2001,2001,10,Million Pounds,Beef,382.77,Red Meat
Sep-2001,2001,9,Million Pounds,Beef,373.21,Red Meat
Aug-2001,2001,8,Million Pounds,Beef,351.36,Red Meat
Jul-2001,2001,7,Million Pounds,Beef,340.79,Red Meat
Jun-2001,2001,6,Million Pounds,Beef,325.15,Red Meat
May-2001,2001,5,Million Pounds,Beef,315.34,Red Meat
Apr-2001,2001,4,Million Pounds,Beef,332.6,Red Meat
Mar-2001,2001,3,Million Pounds,Beef,360.21,Red Meat
Feb-2001,2001,2,Million Pounds,Beef,410.89,Red Meat
Jan-2001,2001,1,Million Pounds,Beef,401.72,Red Meat
Dec-2000,2000,12,Million Pounds,Beef,411.84,Red Meat
Nov-2000,2000,11,Million Pounds,Beef,404.39,Red Meat
Oct-2000,2000,10,Million Pounds,Beef,405.7,Red Meat
Sep-2000,2000,9,Million Pounds,Beef,398.8,Red Meat
Aug-2000,2000,8,Million Pounds,Beef,391.53,Red Meat
Jul-2000,2000,7,Million Pounds,Beef,405.06,Red Meat
Jun-2000,2000,6,Million Pounds,Beef,401.09,Red Meat
May-2000,2000,5,Million Pounds,Beef,396.13,Red Meat
Apr-2000,2000,4,Million Pounds,Beef,378.15,Red Meat
Mar-2000,2000,3,Million Pounds,Beef,369.04,Red Meat
Feb-2000,2000,2,Million Pounds,Beef,350.95,Red Meat
Jan-2000,2000,1,Million Pounds,Beef,314.16,Red Meat
Dec-1999,1999,12,Million Pounds,Beef,308.94,Red Meat
Nov-1999,1999,11,Million Pounds,Beef,322.47,Red Meat
Oct-1999,1999,10,Million Pounds,Beef,294.37,Red Meat
Sep-1999,1999,9,Million Pounds,Beef,377.87,Red Meat
Aug-1999,1999,8,Million Pounds,Beef,292.72,Red Meat
Jul-1999,1999,7,Million Pounds,Beef,293.12,Red Meat
Jun-1999,1999,6,Million Pounds,Beef,306.74,Red Meat
May-1999,1999,5,Million Pounds,Beef,316.76,Red Meat
Apr-1999,1999,4,Million Pounds,Beef,309.19,Red Meat
Mar-1999,1999,3,Million Pounds,Beef,300.09,Red Meat
Feb-1999,1999,2,Million Pounds,Beef,301.1,Red Meat
Jan-1999,1999,1,Million Pounds,Beef,296.42,Red Meat
Dec-1998,1998,12,Million Pounds,Beef,328.18,Red Meat
Nov-1998,1998,11,Million Pounds,Beef,358.23,Red Meat
Oct-1998,1998,10,Million Pounds,Beef,323.06,Red Meat
Sep-1998,1998,9,Million Pounds,Beef,306.75,Red Meat
Aug-1998,1998,8,Million Pounds,Beef,303,Red Meat
Jul-1998,1998,7,Million Pounds,Beef,316.49,Red Meat
Jun-1998,1998,6,Million Pounds,Beef,310.22,Red Meat
May-1998,1998,5,Million Pounds,Beef,335.45,Red Meat
Apr-1998,1998,4,Million Pounds,Beef,329.65,Red Meat
Mar-1998,1998,3,Million Pounds,Beef,334.95,Red Meat
Feb-1998,1998,2,Million Pounds,Beef,331.08,Red Meat
Jan-1998,1998,1,Million Pounds,Beef,350.16,Red Meat
Dec-1997,1997,12,Million Pounds,Beef,378.16,Red Meat
Nov-1997,1997,11,Million Pounds,Beef,351.56,Red Meat
Oct-1997,1997,10,Million Pounds,Beef,349.09,Red Meat
Sep-1997,1997,9,Million Pounds,Beef,324.56,Red Meat
Aug-1997,1997,8,Million Pounds,Beef,302.79,Red Meat
Jul-1997,1997,7,Million Pounds,Beef,305.57,Red Meat
Jun-1997,1997,6,Million Pounds,Beef,278.74,Red Meat
May-1997,1997,5,Million Pounds,Beef,285.45,Red Meat
Apr-1997,1997,4,Million Pounds,Beef,290.42,Red Meat
Mar-1997,1997,3,Million Pounds,Beef,261.7,Red Meat
Feb-1997,1997,2,Million Pounds,Beef,290.3,Red Meat
Jan-1997,1997,1,Million Pounds,Beef,284.94,Red Meat
Dec-1996,1996,12,Million Pounds,Beef,288.02,Red Meat
Nov-1996,1996,11,Million Pounds,Beef,295.94,Red Meat
Oct-1996,1996,10,Million Pounds,Beef,312.18,Red Meat
Sep-1996,1996,9,Million Pounds,Beef,305.2,Red Meat
Aug-1996,1996,8,Million Pounds,Beef,291.14,Red Meat
Jul-1996,1996,7,Million Pounds,Beef,306.68,Red Meat
Jun-1996,1996,6,Million Pounds,Beef,307.37,Red Meat
May-1996,1996,5,Million Pounds,Beef,335.56,Red Meat
Apr-1996,1996,4,Million Pounds,Beef,347.28,Red Meat
Mar-1996,1996,3,Million Pounds,Beef,362.62,Red Meat
Feb-1996,1996,2,Million Pounds,Beef,367.89,Red Meat
Jan-1996,1996,1,Million Pounds,Beef,389.63,Red Meat
Dec-1995,1995,12,Million Pounds,Beef,381.39,Red Meat
Nov-1995,1995,11,Million Pounds,Beef,381.56,Red Meat
Oct-1995,1995,10,Million Pounds,Beef,347.7,Red Meat
Sep-1995,1995,9,Million Pounds,Beef,344.85,Red Meat
Aug-1995,1995,8,Million Pounds,Beef,359.3,Red Meat
Jul-1995,1995,7,Million Pounds,Beef,352.27,Red Meat
Jun-1995,1995,6,Million Pounds,Beef,359.09,Red Meat
May-1995,1995,5,Million Pounds,Beef,392.18,Red Meat
Apr-1995,1995,4,Million Pounds,Beef,384.48,Red Meat
Mar-1995,1995,3,Million Pounds,Beef,407.74,Red Meat
Feb-1995,1995,2,Million Pounds,Beef,420.32,Red Meat
Jan-1995,1995,1,Million Pounds,Beef,411.19,Red Meat
Dec-1994,1994,12,Million Pounds,Beef,419.47,Red Meat
Nov-1994,1994,11,Million Pounds,Beef,410.58,Red Meat
Oct-1994,1994,10,Million Pounds,Beef,406.78,Red Meat
Sep-1994,1994,9,Million Pounds,Beef,377.23,Red Meat
Aug-1994,1994,8,Million Pounds,Beef,388.88,Red Meat
Jul-1994,1994,7,Million Pounds,Beef,379.39,Red Meat
Jun-1994,1994,6,Million Pounds,Beef,367.86,Red Meat
May-1994,1994,5,Million Pounds,Beef,399.54,Red Meat
Apr-1994,1994,4,Million Pounds,Beef,423.2,Red Meat
Mar-1994,1994,3,Million Pounds,Beef,414.42,Red Meat
Feb-1994,1994,2,Million Pounds,Beef,430.24,Red Meat
Jan-1994,1994,1,Million Pounds,Beef,400.98,Red Meat
Dec-1993,1993,12,Million Pounds,Beef,376.34,Red Meat
Nov-1993,1993,11,Million Pounds,Beef,344.42,Red Meat
Oct-1993,1993,10,Million Pounds,Beef,326.83,Red Meat
Sep-1993,1993,9,Million Pounds,Beef,307.47,Red Meat
Aug-1993,1993,8,Million Pounds,Beef,285.31,Red Meat
Jul-1993,1993,7,Million Pounds,Beef,271.74,Red Meat
Jun-1993,1993,6,Million Pounds,Beef,262.14,Red Meat
May-1993,1993,5,Million Pounds,Beef,276.7,Red Meat
Apr-1993,1993,4,Million Pounds,Beef,293.9,Red Meat
Mar-1993,1993,3,Million Pounds,Beef,279.92,Red Meat
Feb-1993,1993,2,Million Pounds,Beef,286.38,Red Meat
Jan-1993,1993,1,Million Pounds,Beef,272.77,Red Meat
Dec-1992,1992,12,Million Pounds,Beef,275.92,Red Meat
Nov-1992,1992,11,Million Pounds,Beef,291.22,Red Meat
Oct-1992,1992,10,Million Pounds,Beef,275.21,Red Meat
Sep-1992,1992,9,Million Pounds,Beef,288.93,Red Meat
Aug-1992,1992,8,Million Pounds,Beef,294.1,Red Meat
Jul-1992,1992,7,Million Pounds,Beef,299.38,Red Meat
Jun-1992,1992,6,Million Pounds,Beef,303.55,Red Meat
May-1992,1992,5,Million Pounds,Beef,302.06,Red Meat
Apr-1992,1992,4,Million Pounds,Beef,313.75,Red Meat
Mar-1992,1992,3,Million Pounds,Beef,298.87,Red Meat
Feb-1992,1992,2,Million Pounds,Beef,329.09,Red Meat
Jan-1992,1992,1,Million Pounds,Beef,315.89,Red Meat
Dec-1991,1991,12,Million Pounds,Beef,306.33,Red Meat
Nov-1991,1991,11,Million Pounds,Beef,298.15,Red Meat
Oct-1991,1991,10,Million Pounds,Beef,276.71,Red Meat
Sep-1991,1991,9,Million Pounds,Beef,259.42,Red Meat
Aug-1991,1991,8,Million Pounds,Beef,273.22,Red Meat
Jul-1991,1991,7,Million Pounds,Beef,247.13,Red Meat
Jun-1991,1991,6,Million Pounds,Beef,234.72,Red Meat
May-1991,1991,5,Million Pounds,Beef,265.58,Red Meat
Apr-1991,1991,4,Million Pounds,Beef,276.94,Red Meat
Mar-1991,1991,3,Million Pounds,Beef,271.33,Red Meat
Feb-1991,1991,2,Million Pounds,Beef,298.89,Red Meat
Jan-1991,1991,1,Million Pounds,Beef,300.38,Red Meat
Dec-1990,1990,12,Million Pounds,Beef,277.17,Red Meat
Nov-1990,1990,11,Million Pounds,Beef,267.42,Red Meat
Oct-1990,1990,10,Million Pounds,Beef,243.03,Red Meat
Sep-1990,1990,9,Million Pounds,Beef,240.49,Red Meat
Aug-1990,1990,8,Million Pounds,Beef,265.36,Red Meat
Jul-1990,1990,7,Million Pounds,Beef,256.51,Red Meat
Jun-1990,1990,6,Million Pounds,Beef,270.38,Red Meat
May-1990,1990,5,Million Pounds,Beef,293.32,Red Meat
Apr-1990,1990,4,Million Pounds,Beef,304.29,Red Meat
Mar-1990,1990,3,Million Pounds,Beef,267.65,Red Meat
Feb-1990,1990,2,Million Pounds,Beef,259.84,Red Meat
Jan-1990,1990,1,Million Pounds,Beef,251.65,Red Meat
Dec-1989,1989,12,Million Pounds,Beef,237.64,Red Meat
Nov-1989,1989,11,Million Pounds,Beef,220.66,Red Meat
Oct-1989,1989,10,Million Pounds,Beef,231.82,Red Meat
Sep-1989,1989,9,Million Pounds,Beef,242.42,Red Meat
Aug-1989,1989,8,Million Pounds,Beef,249.2,Red Meat
Jul-1989,1989,7,Million Pounds,Beef,241.81,Red Meat
Jun-1989,1989,6,Million Pounds,Beef,244.11,Red Meat
May-1989,1989,5,Million Pounds,Beef,275.43,Red Meat
Apr-1989,1989,4,Million Pounds,Beef,298.85,Red Meat
Mar-1989,1989,3,Million Pounds,Beef,313.36,Red Meat
Feb-1989,1989,2,Million Pounds,Beef,315.14,Red Meat
Jan-1989,1989,1,Million Pounds,Beef,317.46,Red Meat
Dec-1988,1988,12,Million Pounds,Beef,300.41,Red Meat
Nov-1988,1988,11,Million Pounds,Beef,296.49,Red Meat
Oct-1988,1988,10,Million Pounds,Beef,307.58,Red Meat
Sep-1988,1988,9,Million Pounds,Beef,294.9,Red Meat
