,Date,Year,Month,Unit,Type of Meat,Production
79,2013-04-01,2013,4,Million Pounds,Red Meat,"2,128.609.11,940.8013.42,101.108.91,928.9012.5"
80,2013-05-01,2013,5,Million Pounds,Poultry,"3,270.1046.2504.6"
81,2013-05-01,2013,5,Million Pounds,Red Meat,"2,227.609.11,898.9014.52,201.508.91,887.8013.4"
82,2013-06-01,2013,6,Million Pounds,Poultry,"3,002.0042.9508"
83,2013-06-01,2013,6,Million Pounds,Red Meat,"2,157.008.41,676.3012.72,132.208.31,665.1012"
84,2013-07-01,2013,7,Million Pounds,Poultry,"3,278.9047.1473.4"
85,2013-07-01,2013,7,Million Pounds,Red Meat,"2,294.109.61,840.3014.22,268.309.41,827.1013.1"
86,2013-08-01,2013,8,Million Pounds,Poultry,"3,296.2050.3514.5"
87,2013-08-01,2013,8,Million Pounds,Red Meat,"2,241.2091,938.4013.82,215.608.81,924.1012.8"
88,2013-09-01,2013,9,Million Pounds,Poultry,"3,108.0044.7485"
89,2013-09-01,2013,9,Million Pounds,Red Meat,"2,073.808.61,842.9011.72,047.108.41,830.1010.8"
90,2013-10-01,2013,10,Million Pounds,Poultry,"3,475.3046.8440.6"
91,2013-10-01,2013,10,Million Pounds,Red Meat,"2,318.209.92,169.0013.12,283.809.72,154.7011.9"
92,2013-11-01,2013,11,Million Pounds,Poultry,"2,968.3035.9518.1"
93,2013-11-01,2013,11,Million Pounds,Red Meat,"2,057.609.12,039.9011.82,030.908.92,028.9011.1"
94,2013-12-01,2013,12,Million Pounds,Poultry,"3,093.3040.1479.3"
95,2013-12-01,2013,12,Million Pounds,Red Meat,"2,047.309.82,065.40132,019.109.72,053.9012.3"
96,2014-01-01,2014,1,Million Pounds,Poultry,"3,185.1043.2423"
97,2014-01-01,2014,1,Million Pounds,Red Meat,"2,140.909.32,085.7012.42,111.509.22,074.3011.7"
98,2014-02-01,2014,2,Million Pounds,Poultry,"3,015.0039.7454"
99,2014-02-01,2014,2,Million Pounds,Red Meat,"1,788.408.21,844.2011.61,762.2081,833.7010.9"
100,2014-03-01,2014,3,Million Pounds,Poultry,"3,098.6041.5421.4"
101,2014-03-01,2014,3,Million Pounds,Red Meat,"1,937.008.71,854.4013.21,911.908.61,843.7012.6"
102,2014-04-01,2014,4,Million Pounds,Poultry,"3,210.9044.4457.1"
103,2014-04-01,2014,4,Million Pounds,Red Meat,"2,043.108.41,911.0015.22,017.508.31,899.4014.3"
104,2014-05-01,2014,5,Million Pounds,Poultry,"3,201.2045.9471.2"
105,2014-05-01,2014,5,Million Pounds,Red Meat,"2,071.707.81,859.1013.92,046.807.61,849.0013"
106,2014-06-01,2014,6,Million Pounds,Poultry,"3,205.6043.5471"
107,2014-06-01,2014,6,Million Pounds,Red Meat,"2,069.007.61,734.0013.42,044.107.41,723.9012.4"
108,2014-07-01,2014,7,Million Pounds,Poultry,"3,331.1044.2486"
109,2014-07-01,2014,7,Million Pounds,Red Meat,"2,087.407.81,799.8013.92,060.807.71,788.3012.8"
110,2014-08-01,2014,8,Million Pounds,Poultry,"3,197.6045.9500.4"
111,2014-08-01,2014,8,Million Pounds,Red Meat,"2,023.507.11,752.2011.71,999.006.91,740.2010.6"
112,2014-09-01,2014,9,Million Pounds,Poultry,"3,306.6045.1483.8"
113,2014-09-01,2014,9,Million Pounds,Red Meat,"2,068.407.21,871.9012.32,041.007.11,860.0011.3"
114,2014-10-01,2014,10,Million Pounds,Poultry,"3,525.2047.4493.5"
115,2014-10-01,2014,10,Million Pounds,Red Meat,"2,171.107.82,126.4013.42,138.607.62,113.7012.3"
116,2014-11-01,2014,11,Million Pounds,Poultry,"2,939.9036.1561.6"
117,2014-11-01,2014,11,Million Pounds,Red Meat,"1,849.506.51,890.2011.51,825.406.31,880.4010.6"
118,2014-12-01,2014,12,Million Pounds,Poultry,"3,348.5044.3480.8"
119,2014-12-01,2014,12,Million Pounds,Red Meat,"2,000.207.72,114.3013.41,973.407.52,103.1012.6"
120,2015-01-01,2015,1,Million Pounds,Poultry,"3,328.1041.4474.9"
121,2015-01-01,2015,1,Million Pounds,Red Meat,"1,963.506.82,104.5011.71,936.206.72,093.5011"
122,2015-02-01,2015,2,Million Pounds,Poultry,"3,000.8041.2492.3"
123,2015-02-01,2015,2,Million Pounds,Red Meat,"1,768.106.31,945.2011.51,744.606.21,934.6010.8"
124,2015-03-01,2015,3,Million Pounds,Poultry,"3,389.0043.9434.5"
125,2015-03-01,2015,3,Million Pounds,Red Meat,"1,933.306.92,111.8014.31,907.206.82,099.1013.5"
126,2015-04-01,2015,4,Million Pounds,Poultry,"3,346.3046.4501.9"
127,2015-04-01,2015,4,Million Pounds,Red Meat,"1,928.806.62,066.9013.71,903.906.52,055.0012.8"
128,2015-05-01,2015,5,Million Pounds,Poultry,"3,246.5040.4496.6"
129,2015-05-01,2015,5,Million Pounds,Red Meat,"1,925.506.61,861.9011.91,902.606.51,851.3011.1"
130,2015-06-01,2015,6,Million Pounds,Poultry,"3,428.4045.6434"
131,2015-06-01,2015,6,Million Pounds,Red Meat,"2,001.6071,995.9013.51,977.606.91,984.5012.3"
132,2015-07-01,2015,7,Million Pounds,Poultry,"3,468.7044.6458.3"
133,2015-07-01,2015,7,Million Pounds,Red Meat,"2,046.806.91,972.9012.92,023.406.81,960.5011.8"
134,2015-08-01,2015,8,Million Pounds,Poultry,"3,417.5042.9448.5"
135,2015-08-01,2015,8,Million Pounds,Red Meat,"1,934.906.51,949.1011.71,911.006.31,935.8010.6"
136,2015-09-01,2015,9,Million Pounds,Poultry,"3,486.3045.6450.3"
137,2015-09-01,2015,9,Million Pounds,Red Meat,"2,086.606.82,035.9012.32,060.206.72,022.1011"
138,2015-10-01,2015,10,Million Pounds,Poultry,"3,466.8047.6452.3"
139,2015-10-01,2015,10,Million Pounds,Red Meat,"2,126.307.22,169.2011.92,096.507.12,155.5010.9"
140,2015-11-01,2015,11,Million Pounds,Poultry,"3,135.4038.8525.9"
141,2015-11-01,2015,11,Million Pounds,Red Meat,"1,936.107.12,080.8011.81,911.206.92,068.9010.9"
142,2015-12-01,2015,12,Million Pounds,Poultry,"3,334.5044.2470.7"
143,2015-12-01,2015,12,Million Pounds,Red Meat,"2,046.307.82,207.2013.22,020.507.72,194.5012.3"
144,2016-01-01,2016,1,Million Pounds,Poultry,"3,256.8041.8461.2"
145,2016-01-01,2016,1,Million Pounds,Red Meat,"1,954.206.72,084.2011.21,927.706.62,072.7010.3"
146,2016-02-01,2016,2,Million Pounds,Poultry,"3,256.7043.3476.5"
147,2016-02-01,2016,2,Million Pounds,Red Meat,"1,886.006.12,000.9012.51,859.7061,988.7011.6"
148,2016-03-01,2016,3,Million Pounds,Poultry,"3,525.8049.6454.6"
149,2016-03-01,2016,3,Million Pounds,Red Meat,"2,097.306.42,145.2014.32,069.506.22,131.8013.2"
150,2016-04-01,2016,4,Million Pounds,Poultry,"3,302.1043.8503.9"
151,2016-04-01,2016,4,Million Pounds,Red Meat,"1,964.0062,000.2012.91,939.805.91,988.3011.8"
152,2016-05-01,2016,5,Million Pounds,Poultry,"3,466.4045484.8"
153,2016-05-01,2016,5,Million Pounds,Red Meat,"2,030.2061,949.00132,005.705.81,936.9012"
154,2016-06-01,2016,6,Million Pounds,Poultry,"3,484.8049500"
155,2016-06-01,2016,6,Million Pounds,Red Meat,"2,193.006.42,013.5013.32,168.706.32,002.0012.1"
156,2016-07-01,2016,7,Million Pounds,Poultry,"3,246.2043.7535.4"
157,2016-07-01,2016,7,Million Pounds,Red Meat,"2,024.205.61,824.5011.42,002.405.51,812.7010.5"
158,2016-08-01,2016,8,Million Pounds,Poultry,"3,637.3053479.2"
159,2016-08-01,2016,8,Million Pounds,Red Meat,"2,265.806.12,149.6012.52,238.605.92,134.5011.5"
160,2016-09-01,2016,9,Million Pounds,Poultry,"3,454.8047.3539.1"
161,2016-09-01,2016,9,Million Pounds,Red Meat,"2,181.506.22,126.3012.12,153.4062,112.7010.9"
162,2016-10-01,2016,10,Million Pounds,Poultry,"3,417.1044.6496.4"
163,2016-10-01,2016,10,Million Pounds,Red Meat,"2,211.206.62,198.3011.72,180.206.52,184.0010.7"
164,2016-11-01,2016,11,Million Pounds,Poultry,"3,336.9044.9517.9"
165,2016-11-01,2016,11,Million Pounds,Red Meat,"2,240.206.72,240.3012.22,215.506.52,228.2011.3"
166,2016-12-01,2016,12,Million Pounds,Poultry,"3,311.5042.4514.7"
167,2016-12-01,2016,12,Million Pounds,Red Meat,"2,173.306.82,209.1013.12,146.806.62,196.4012.1"
168,2017-01-01,2017,1,Million Pounds,Poultry,"3,496.9042.8478.8"
169,2017-01-01,2017,1,Million Pounds,Red Meat,"2,119.306.32,154.8012.32,089.706.22,142.1011.4"
170,2017-02-01,2017,2,Million Pounds,Poultry,"3,153.8040.2498.8"
171,2017-02-01,2017,2,Million Pounds,Red Meat,"1,933.905.61,987.6011.21,906.705.51,976.3010.4"
172,2017-03-01,2017,3,Million Pounds,Poultry,"3,582.2045.2458.4"
173,2017-03-01,2017,3,Million Pounds,Red Meat,"2,249.706.42,267.6013.72,220.206.32,254.6012.7"
174,2017-04-01,2017,4,Million Pounds,Poultry,"3,216.3039.8530.6"
175,2017-04-01,2017,4,Million Pounds,Red Meat,"1,963.105.81,988.2011.51,936.905.71,976.9010.4"
176,2017-05-01,2017,5,Million Pounds,Poultry,"3,647.9045.9436.2"
177,2017-05-01,2017,5,Million Pounds,Red Meat,"2,163.406.32,095.9011.82,135.706.12,083.8010.5"
178,2017-06-01,2017,6,Million Pounds,Poultry,"3,542.5049.2523.2"
179,2017-06-01,2017,6,Million Pounds,Red Meat,"2,280.306.32,053.2012.42,254.606.22,042.2011.3"
180,2017-07-01,2017,7,Million Pounds,Poultry,"3,357.6043.1522.2"
181,2017-07-01,2017,7,Million Pounds,Red Meat,"2,107.905.71,864.90112,084.205.51,853.209.9"
182,2017-08-01,2017,8,Million Pounds,Poultry,"3,763.6050.7467.5"
183,2017-08-01,2017,8,Million Pounds,Red Meat,"2,402.106.42,210.5012.92,373.706.22,196.1011.6"
184,2017-09-01,2017,9,Million Pounds,Poultry,"3,429.9043.7543.1"
185,2017-09-01,2017,9,Million Pounds,Red Meat,"2,225.606.12,164.9011.32,195.005.92,151.2010.1"
186,2017-10-01,2017,10,Million Pounds,Poultry,"3,709.5048.3467.9"
187,2017-10-01,2017,10,Million Pounds,Red Meat,"2,303.006.42,316.5011.92,270.106.22,302.5010.9"
188,2017-11-01,2017,11,Million Pounds,Poultry,"3,437.3045.4554.2"
189,2017-11-01,2017,11,Million Pounds,Red Meat,"2,290.606.42,244.8012.42,265.806.32,233.5011.4"
190,2017-12-01,2017,12,Million Pounds,Poultry,"3,324.8041.2517.2"
191,2017-12-01,2017,12,Million Pounds,Red Meat,"2,148.406.62,235.0012.82,123.006.42,224.1011.8"
192,2018-01-01,2018,1,Million Pounds,Poultry,"3,639.0042.9461.1"
193,2018-01-01,2018,1,Million Pounds,Red Meat,"2,279.006.62,290.1012.72,248.406.52,278.7011.7"
194,2018-02-01,2018,2,Million Pounds,Poultry,"3,256.7038.8509.5"
195,2018-02-01,2018,2,Million Pounds,Red Meat,"1,983.905.82,058.1011.71,956.405.62,047.1010.8"
196,2018-03-01,2018,3,Million Pounds,Poultry,"3,489.7042.8460.3"
197,2018-03-01,2018,3,Million Pounds,Red Meat,"2,203.506.12,296.8014.12,174.705.92,285.2013.3"
198,2018-04-01,2018,4,Million Pounds,Poultry,"3,456.3042.9481.7"
199,2018-04-01,2018,4,Million Pounds,Red Meat,"2,117.706.12,141.9012.52,089.405.92,131.4011.5"
200,2018-05-01,2018,5,Million Pounds,Poultry,"3,738.0046.8481.7"
201,2018-05-01,2018,5,Million Pounds,Red Meat,"2,307.006.42,174.4013.72,279.906.22,164.0012.5"
202,2018-06-01,2018,6,Million Pounds,Poultry,"3,492.8049.1510.1"
203,2018-06-01,2018,6,Million Pounds,Red Meat,"2,300.905.82,008.6012.42,274.905.71,998.7011.2"
204,2018-07-01,2018,7,Million Pounds,Poultry,"3,629.5048.3485.4"
205,2018-07-01,2018,7,Million Pounds,Red Meat,"2,231.606.11,985.5012.12,205.8061,973.9011"
206,2018-08-01,2018,8,Million Pounds,Poultry,"3,892.3053.6485.7"
207,2018-08-01,2018,8,Million Pounds,Red Meat,"2,429.606.52,316.3013.52,401.606.32,302.5011.9"
208,2018-09-01,2018,9,Million Pounds,Poultry,"3,417.9042.1517"
209,2018-09-01,2018,9,Million Pounds,Red Meat,"2,157.5062,012.9011.42,129.105.92,000.4010.1"
210,2018-10-01,2018,10,Million Pounds,Poultry,"3,909.0050.9428.2"
211,2018-10-01,2018,10,Million Pounds,Red Meat,"2,430.607.22,450.5013.12,395.7072,436.6011.9"
212,2018-11-01,2018,11,Million Pounds,Poultry,"3,450.7044.5572.9"
213,2018-11-01,2018,11,Million Pounds,Red Meat,"2,315.106.72,348.0012.92,288.606.62,337.4011.8"
214,2018-12-01,2018,12,Million Pounds,Poultry,"3,228.7036.8497.4"
215,2018-12-01,2018,12,Million Pounds,Red Meat,"2,116.006.52,231.5013.22,091.406.32,221.1011.9"
216,2019-01-01,2019,1,Million Pounds,Poultry,"3,711.3045.7448.1"
217,2019-01-01,2019,1,Million Pounds,Red Meat,"2,309.606.52,373.7012.52,278.706.42,362.7011.4"
218,2019-02-01,2019,2,Million Pounds,Poultry,"3,263.1039.2510.5"
219,2019-02-01,2019,2,Million Pounds,Red Meat,"1,987.106.12,167.5011.11,960.8062,157.3010.1"
220,2019-03-01,2019,3,Million Pounds,Poultry,"3,409.8041.7458.2"
221,2019-03-01,2019,3,Million Pounds,Red Meat,"2,117.105.82,297.00132,090.005.62,286.4012.1"
222,2019-04-01,2019,4,Million Pounds,Poultry,"3,590.1042.6477.5"
223,2019-04-01,2019,4,Million Pounds,Red Meat,"2,261.7062,268.7015.22,234.005.92,258.2013.7"
224,2019-05-01,2019,5,Million Pounds,Poultry,"3,827.9046.1483.6"
225,2019-05-01,2019,5,Million Pounds,Red Meat,"2,328.006.32,218.9013.52,300.906.22,208.9012.1"
226,2019-06-01,2019,6,Million Pounds,Poultry,"3,526.6045492.4"
227,2019-06-01,2019,6,Million Pounds,Red Meat,"2,227.105.72,127.8011.42,199.705.62,118.3010.3"
228,2019-07-01,2019,7,Million Pounds,Poultry,"3,875.3040.8474.7"
229,2019-07-01,2019,7,Million Pounds,Red Meat,"2,360.706.32,210.80122,335.206.22,199.1010.7"
230,2019-08-01,2019,8,Million Pounds,Poultry,"3,845.9049.2491.6"
231,2019-08-01,2019,8,Million Pounds,Red Meat,"2,373.4062,257.9012.72,346.505.82,245.2011.1"
232,2019-09-01,2019,9,Million Pounds,Poultry,"3,680.5047.4501"
233,2019-09-01,2019,9,Million Pounds,Red Meat,"2,188.606.12,237.1010.92,160.605.92,225.409.7"
234,2019-10-01,2019,10,Million Pounds,Poultry,"4,100.1046.5460.8"
235,2019-10-01,2019,10,Million Pounds,Red Meat,"2,439.307.12,606.4012.82,403.906.92,593.4011.5"
236,2019-11-01,2019,11,Million Pounds,Poultry,"3,427.1042.5551.3"
237,2019-11-01,2019,11,Million Pounds,Red Meat,"2,296.906.12,428.6011.32,271.905.92,419.0010.2"
238,2019-12-01,2019,12,Million Pounds,Poultry,"3,647.3041.8469.2"
239,2019-12-01,2019,12,Million Pounds,Red Meat,"2,265.106.52,443.1012.12,239.206.42,432.8011"
240,2020-01-01,2020,1,Million Pounds,Poultry,"3,957.1046.6446.7"
241,2020-01-01,2020,1,Million Pounds,Red Meat,"2,388.406.42,553.3011.92,356.806.22,543.1010.9"
242,2020-02-01,2020,2,Million Pounds,Poultry,"3,418.5041.6514.9"
243,2020-02-01,2020,2,Million Pounds,Red Meat,"2,131.305.12,306.4010.72,104.2052,296.809.7"
244,2020-03-01,2020,3,Million Pounds,Poultry,"3,862.1047.1446.7"
245,2020-03-01,2020,3,Million Pounds,Red Meat,"2,411.205.82,566.5012.32,379.205.62,555.2011.3"
246,2020-04-01,2020,4,Million Pounds,Poultry,"3,600.3046.1507"
247,2020-04-01,2020,4,Million Pounds,Red Meat,"1,817.304.82,031.6011.11,782.004.62,019.409.9"
248,2020-05-01,2020,5,Million Pounds,Poultry,"3,560.1043.7441.3"
249,2020-05-01,2020,5,Million Pounds,Red Meat,"1,865.605.21,880.9012.61,827.6051,865.4011.3"
250,2020-06-01,2020,6,Million Pounds,Poultry,"3,780.0046.5427.5"
251,2020-06-01,2020,6,Million Pounds,Red Meat,"2,375.705.62,400.9012.52,334.705.42,386.1011.3"
252,2020-07-01,2020,7,Million Pounds,Poultry,"3,745.8049.7500.7"
253,2020-07-01,2020,7,Million Pounds,Red Meat,"2,423.205.82,371.4012.22,384.505.62,358.3010.6"
254,2020-08-01,2020,8,Million Pounds,Poultry,"3,733.9048.1505.1"
255,2020-08-01,2020,8,Million Pounds,Red Meat,"2,335.6052,341.0010.92,298.004.82,326.809.5"
256,2020-09-01,2020,9,Million Pounds,Poultry,"3,878.4048.5474.9"
257,2020-09-01,2020,9,Million Pounds,Red Meat,"2,356.504.92,336.0010.92,315.304.72,322.509.4"
258,2020-10-01,2020,10,Million Pounds,Poultry,"3,848.9049473.8"
259,2020-10-01,2020,10,Million Pounds,Red Meat,"2,474.205.32,598.6010.62,431.905.22,585.809.2"
260,2020-11-01,2020,11,Million Pounds,Poultry,"3,478.1040522.8"
261,2020-11-01,2020,11,Million Pounds,Red Meat,"2,267.304.92,406.2010.72,232.304.72,395.109.3"
262,2020-12-01,2020,12,Million Pounds,Poultry,"3,720.2042.5458.1"
263,2020-12-01,2020,12,Million Pounds,Red Meat,"2,327.405.62,510.40122,291.805.52,499.3010.7"
264,2021-01-01,2021,1,Million Pounds,Poultry,"3,613.0040.8470.3"
265,2021-01-01,2021,1,Million Pounds,Red Meat,"2,310.404.62,477.6010.52,271.804.52,466.209.4"
266,2021-02-01,2021,2,Million Pounds,Poultry,"3,270.8039.8447.1"
267,2021-02-01,2021,2,Million Pounds,Red Meat,"2,107.604.72,265.5010.82,070.704.62,255.209.7"
268,2021-03-01,2021,3,Million Pounds,Poultry,"4,009.5046.3420.6"
269,2021-03-01,2021,3,Million Pounds,Red Meat,"2,481.704.92,548.60142,438.804.72,536.4012.7"
270,2021-04-01,2021,4,Million Pounds,Poultry,"3,696.7044.8521.9"
271,2021-04-01,2021,4,Million Pounds,Red Meat,"2,348.604.32,343.9013.62,307.304.12,332.9012"
272,2021-05-01,2021,5,Million Pounds,Poultry,"3,611.6044.9460.6"
273,2021-05-01,2021,5,Million Pounds,Red Meat,"2,213.903.62,070.00112,173.203.52,059.909.6"
274,2021-06-01,2021,6,Million Pounds,Poultry,"3,923.6050.3451"
275,2021-06-01,2021,6,Million Pounds,Red Meat,"2,400.704.12,254.2011.42,360.0042,243.909.9"
276,2021-07-01,2021,7,Million Pounds,Poultry,"3,750.4048487.5"
277,2021-07-01,2021,7,Million Pounds,Red Meat,"2,318.603.92,049.5010.82,284.603.82,039.409.2"
278,2021-08-01,2021,8,Million Pounds,Poultry,"3,902.0047458.6"
279,2021-08-01,2021,8,Million Pounds,Red Meat,"2,360.604.32,214.5010.32,324.004.22,201.208.8"
280,2021-09-01,2021,9,Million Pounds,Poultry,"3,928.5045.8474.2"
281,2021-09-01,2021,9,Million Pounds,Red Meat,"2,300.004.42,266.0010.72,259.704.32,253.609.2"
282,2021-10-01,2021,10,Million Pounds,Poultry,"3,827.8044.3470.5"
283,2021-10-01,2021,10,Million Pounds,Red Meat,"2,363.504.62,372.1011.42,324.904.42,360.0010.1"
284,2021-11-01,2021,11,Million Pounds,Poultry,"3,665.3040.6485.5"
285,2021-11-01,2021,11,Million Pounds,Red Meat,"2,380.104.62,408.7012.12,342.804.52,397.9010.9"
286,2021-12-01,2021,12,Million Pounds,Poultry,"3,700.1044.7453.3"
287,2021-12-01,2021,12,Million Pounds,Red Meat,"2,362.505.32,404.1011.72,326.805.12,393.8010.5"
288,2022-01-01,2022,1,Million Pounds,Poultry,"3,690.3042.6427.6"
